Gene stable ID,Blue whale gene stable ID,Blue whale gene name,Blue whale homology type,Sperm whale gene stable ID,Sperm whale gene name,Sperm whale homology type,Vaquita gene stable ID,Vaquita gene name,Vaquita homology type,Gene name
ENSBTAG00000005364,,,,,,,ENSPSNG00000002194,HMBS,ortholog_one2one,HMBS
ENSBTAG00000005364,,,,,,,ENSPSNG00000002194,HMBS,ortholog_one2one,HMBS
ENSBTAG00000005364,,,,,,,ENSPSNG00000002194,HMBS,ortholog_one2one,HMBS
ENSBTAG00000005427,ENSBMSG00010009941,NRDE2,ortholog_one2one,ENSPCTG00005012097,NRDE2,ortholog_one2one,ENSPSNG00000021107,NRDE2,ortholog_one2one,NRDE2
ENSBTAG00000005465,ENSBMSG00010022488,NDUFA9,ortholog_one2one,,,,ENSPSNG00000008916,NDUFA9,ortholog_one2one,NDUFA9
ENSBTAG00000005465,ENSBMSG00010022488,NDUFA9,ortholog_one2one,,,,ENSPSNG00000008916,NDUFA9,ortholog_one2one,NDUFA9
ENSBTAG00000005465,ENSBMSG00010022488,NDUFA9,ortholog_one2one,,,,ENSPSNG00000008916,NDUFA9,ortholog_one2one,NDUFA9
ENSBTAG00000005557,ENSBMSG00010009709,AFDN,ortholog_one2one,ENSPCTG00005001219,AFDN,ortholog_one2one,ENSPSNG00000010491,AFDN,ortholog_one2one,AFDN
ENSBTAG00000005565,ENSBMSG00010003453,CLN6,ortholog_one2one,ENSPCTG00005020048,CLN6,ortholog_one2one,ENSPSNG00000001671,CLN6,ortholog_one2one,CLN6
ENSBTAG00000005652,ENSBMSG00010007286,ALG3,ortholog_one2one,ENSPCTG00005007100,ALG3,ortholog_one2one,ENSPSNG00000003037,ALG3,ortholog_one2one,ALG3
ENSBTAG00000005654,ENSBMSG00010013713,,ortholog_one2one,ENSPCTG00005004212,,ortholog_one2one,ENSPSNG00000014849,,ortholog_one2one,
ENSBTAG00000005663,ENSBMSG00010003892,HAUS2,ortholog_one2one,ENSPCTG00005011231,HAUS2,ortholog_one2one,ENSPSNG00000000093,HAUS2,ortholog_one2one,HAUS2
ENSBTAG00000005688,ENSBMSG00010021868,MRPS2,ortholog_one2one,ENSPCTG00005005046,MRPS2,ortholog_one2one,ENSPSNG00000008854,MRPS2,ortholog_one2one,MRPS2
ENSBTAG00000005763,ENSBMSG00010020985,,ortholog_one2one,ENSPCTG00005007600,AKT1S1,ortholog_one2one,ENSPSNG00000021032,AKT1S1,ortholog_one2one,AKT1S1
ENSBTAG00000005815,ENSBMSG00010011713,RNF31,ortholog_one2one,ENSPCTG00005021426,RNF31,ortholog_one2one,ENSPSNG00000011549,RNF31,ortholog_one2one,RNF31
ENSBTAG00000005843,ENSBMSG00010005137,REXO2,ortholog_one2one,ENSPCTG00005020068,REXO2,ortholog_one2one,ENSPSNG00000005534,REXO2,ortholog_one2one,REXO2
ENSBTAG00000005893,ENSBMSG00010015509,TMEM68,ortholog_one2one,ENSPCTG00005007220,TMEM68,ortholog_one2one,ENSPSNG00000011792,TMEM68,ortholog_one2one,TMEM68
ENSBTAG00000005898,ENSBMSG00010015383,TGS1,ortholog_one2one,ENSPCTG00005007087,TGS1,ortholog_one2one,ENSPSNG00000011959,TGS1,ortholog_one2one,TGS1
ENSBTAG00000005907,ENSBMSG00010001941,NDUFB6,ortholog_one2one,ENSPCTG00005001416,NDUFB6,ortholog_one2one,,,,NDUFB6
ENSBTAG00000005907,ENSBMSG00010001941,NDUFB6,ortholog_one2one,ENSPCTG00005001416,NDUFB6,ortholog_one2one,,,,NDUFB6
ENSBTAG00000005964,ENSBMSG00010010796,PIGG,ortholog_one2one,ENSPCTG00005009546,PIGG,ortholog_one2one,ENSPSNG00000016423,PIGG,ortholog_one2one,PIGG
ENSBTAG00000006003,ENSBMSG00010006491,SAP130,ortholog_one2one,ENSPCTG00005001913,SAP130,ortholog_one2one,ENSPSNG00000021903,SAP130,ortholog_one2one,SAP130
ENSBTAG00000006060,,,,,,,ENSPSNG00000013124,DCDC1,ortholog_one2one,DCDC1
ENSBTAG00000006064,ENSBMSG00010011193,,ortholog_one2one,ENSPCTG00005004792,,ortholog_one2one,ENSPSNG00000003101,,ortholog_one2one,BRME1
ENSBTAG00000006067,ENSBMSG00010003235,VMAC,ortholog_one2one,ENSPCTG00005013383,VMAC,ortholog_one2one,ENSPSNG00000017974,VMAC,ortholog_one2one,VMAC
ENSBTAG00000006072,ENSBMSG00010022507,LRRC59,ortholog_one2one,,,,ENSPSNG00000013150,LRRC59,ortholog_one2one,LRRC59
ENSBTAG00000006072,ENSBMSG00010022507,LRRC59,ortholog_one2one,,,,ENSPSNG00000013150,LRRC59,ortholog_one2one,LRRC59
ENSBTAG00000006085,ENSBMSG00010002417,DDOST,ortholog_one2one,,,,ENSPSNG00000001905,DDOST,ortholog_one2one,DDOST
ENSBTAG00000006085,ENSBMSG00010002417,DDOST,ortholog_one2one,,,,ENSPSNG00000001905,DDOST,ortholog_one2one,DDOST
ENSBTAG00000006087,ENSBMSG00010016811,COG1,ortholog_one2one,ENSPCTG00005007919,COG1,ortholog_one2one,ENSPSNG00000021846,COG1,ortholog_one2one,COG1
ENSBTAG00000006088,ENSBMSG00010016856,VCF1,ortholog_one2one,ENSPCTG00005007866,FAM104A,ortholog_one2one,ENSPSNG00000021820,VCF1,ortholog_one2one,VCF1
ENSBTAG00000006089,ENSBMSG00010016897,C17orf80,ortholog_one2one,ENSPCTG00005007841,C14H17orf80,ortholog_one2one,ENSPSNG00000021795,C17orf80,ortholog_one2one,MTNAP1
ENSBTAG00000006104,ENSBMSG00010014449,,ortholog_one2one,,,,ENSPSNG00000006667,,ortholog_one2one,SNU13
ENSBTAG00000006104,ENSBMSG00010014449,,ortholog_one2one,,,,ENSPSNG00000006667,,ortholog_one2one,SNU13
ENSBTAG00000006104,ENSBMSG00010014449,,ortholog_one2one,,,,ENSPSNG00000006667,,ortholog_one2one,SNU13
ENSBTAG00000006244,ENSBMSG00010005684,WDR83OS,ortholog_one2one,ENSPCTG00005017991,WDR83OS,ortholog_one2one,ENSPSNG00000000152,WDR83OS,ortholog_one2one,WDR83OS
ENSBTAG00000006245,ENSBMSG00010005695,WDR83,ortholog_one2one,ENSPCTG00005018037,WDR83,ortholog_one2one,ENSPSNG00000000274,WDR83,ortholog_one2one,WDR83
ENSBTAG00000006247,ENSBMSG00010005704,DHPS,ortholog_one2one,ENSPCTG00005018077,DHPS,ortholog_one2one,ENSPSNG00000000212,DHPS,ortholog_one2one,DHPS
ENSBTAG00000006277,ENSBMSG00010021069,ENGASE,ortholog_one2one,ENSPCTG00005022343,ENGASE,ortholog_one2one,ENSPSNG00000021222,ENGASE,ortholog_one2one,ENGASE
ENSBTAG00000006364,ENSBMSG00010004864,GLMP,ortholog_one2one,ENSPCTG00005020291,GLMP,ortholog_one2one,ENSPSNG00000002245,GLMP,ortholog_one2one,GLMP
ENSBTAG00000006387,ENSBMSG00010018897,TSNAXIP1,ortholog_one2one,ENSPCTG00005012812,TSNAXIP1,ortholog_one2one,,,,TSNAXIP1
ENSBTAG00000006404,ENSBMSG00010019145,CENPT,ortholog_one2one,ENSPCTG00005012556,CENPT,ortholog_one2one,ENSPSNG00000021028,CENPT,ortholog_one2one,CENPT
ENSBTAG00000006409,ENSBMSG00010001189,LRRC34,ortholog_one2one,ENSPCTG00005001296,LRRC34,ortholog_one2one,ENSPSNG00000002195,LRRC34,ortholog_one2one,LRRC34
ENSBTAG00000006423,,,,,,,ENSPSNG00000007072,PHF5A,ortholog_one2one,PHF5A
ENSBTAG00000006423,,,,,,,ENSPSNG00000007072,PHF5A,ortholog_one2one,PHF5A
ENSBTAG00000006423,,,,,,,ENSPSNG00000007072,PHF5A,ortholog_one2one,PHF5A
ENSBTAG00000006423,,,,,,,ENSPSNG00000007072,PHF5A,ortholog_one2one,PHF5A
ENSBTAG00000006486,ENSBMSG00010018429,TSEN34,ortholog_one2one,ENSPCTG00005006932,TSEN34,ortholog_one2one,ENSPSNG00000013898,TSEN34,ortholog_one2one,TSEN34
ENSBTAG00000006487,ENSBMSG00010018367,RPS9,ortholog_one2one,ENSPCTG00005006998,RPS9,ortholog_one2one,ENSPSNG00000013697,RPS9,ortholog_one2one,RPS9
ENSBTAG00000006491,ENSBMSG00010002481,AGL,ortholog_one2one,ENSPCTG00005001821,AGL,ortholog_one2one,ENSPSNG00000020199,AGL,ortholog_one2one,AGL
ENSBTAG00000006510,ENSBMSG00010002022,YRDC,ortholog_one2one,ENSPCTG00005003745,YRDC,ortholog_one2one,ENSPSNG00000018958,YRDC,ortholog_one2one,YRDC
ENSBTAG00000006581,ENSBMSG00010007784,CCDC82,ortholog_one2one,ENSPCTG00005011035,CCDC82,ortholog_one2one,ENSPSNG00000011116,CCDC82,ortholog_one2one,CCDC82
ENSBTAG00000006610,ENSBMSG00010007133,XRRA1,ortholog_one2one,ENSPCTG00005014504,XRRA1,ortholog_one2one,ENSPSNG00000006930,XRRA1,ortholog_one2one,XRRA1
ENSBTAG00000006665,ENSBMSG00010008749,ERP29,ortholog_one2one,ENSPCTG00005010443,ERP29,ortholog_one2one,ENSPSNG00000007936,ERP29,ortholog_one2one,ERP29
ENSBTAG00000006770,ENSBMSG00010012237,MTBP,ortholog_one2one,ENSPCTG00005010776,MTBP,ortholog_one2one,ENSPSNG00000010924,MTBP,ortholog_one2one,MTBP
ENSBTAG00000006776,ENSBMSG00010017296,KIAA0930,ortholog_one2one,ENSPCTG00005000995,KIAA0930,ortholog_one2one,ENSPSNG00000022046,KIAA0930,ortholog_one2one,KIAA0930
ENSBTAG00000006821,,,,ENSPCTG00005017315,PECR,ortholog_one2one,,,,PECR
ENSBTAG00000006836,ENSBMSG00010002871,FBXO33,ortholog_one2one,ENSPCTG00005012890,FBXO33,ortholog_one2one,ENSPSNG00000011388,FBXO33,ortholog_one2one,FBXO33
ENSBTAG00000006843,ENSBMSG00010004487,UTP15,ortholog_one2one,ENSPCTG00005001482,UTP15,ortholog_one2one,ENSPSNG00000006804,UTP15,ortholog_one2one,UTP15
ENSBTAG00000006925,ENSBMSG00010000962,CENPL,ortholog_one2one,ENSPCTG00005010581,CENPL,ortholog_one2one,ENSPSNG00000017352,CENPL,ortholog_one2one,CENPL
ENSBTAG00000006972,ENSBMSG00010012739,TRIP13,ortholog_one2one,ENSPCTG00005001243,TRIP13,ortholog_one2one,ENSPSNG00000002688,TRIP13,ortholog_one2one,TRIP13
ENSBTAG00000006988,ENSBMSG00010013224,M1AP,ortholog_one2one,ENSPCTG00005014351,M1AP,ortholog_one2one,ENSPSNG00000015975,M1AP,ortholog_one2one,M1AP
ENSBTAG00000007080,ENSBMSG00010010962,PREB,ortholog_one2one,ENSPCTG00005005509,PREB,ortholog_one2one,ENSPSNG00000004487,PREB,ortholog_one2one,PREB
ENSBTAG00000007112,ENSBMSG00010007169,IFT25,ortholog_one2one,ENSPCTG00005022807,HSPB11,ortholog_one2one,ENSPSNG00000000596,IFT25,ortholog_one2one,IFT25
ENSBTAG00000007121,ENSBMSG00010020558,TK1,ortholog_one2one,ENSPCTG00005019940,TK1,ortholog_one2one,ENSPSNG00000021729,TK1,ortholog_one2one,TK1
ENSBTAG00000007189,ENSBMSG00010006458,RCHY1,ortholog_one2one,ENSPCTG00005004128,RCHY1,ortholog_one2one,ENSPSNG00000007872,RCHY1,ortholog_one2one,RCHY1
ENSBTAG00000007217,ENSBMSG00010014655,TMEM94,ortholog_one2one,ENSPCTG00005006891,TMEM94,ortholog_one2one,ENSPSNG00000019220,TMEM94,ortholog_one2one,TMEM94
ENSBTAG00000007270,,,,ENSPCTG00005012922,GTF2H3,ortholog_one2one,,,,GTF2H3
ENSBTAG00000007270,,,,ENSPCTG00005012922,GTF2H3,ortholog_one2one,,,,GTF2H3
ENSBTAG00000007336,ENSBMSG00010021820,HCST,ortholog_one2one,ENSPCTG00005021552,,ortholog_one2one,ENSPSNG00000022016,HCST,ortholog_one2one,HCST
ENSBTAG00000007338,ENSBMSG00010021809,TYROBP,ortholog_one2one,ENSPCTG00005021565,TYROBP,ortholog_one2one,ENSPSNG00000021980,TYROBP,ortholog_one2one,TYROBP
ENSBTAG00000007360,ENSBMSG00010011796,TMEM43,ortholog_one2one,ENSPCTG00005021993,TMEM43,ortholog_one2one,ENSPSNG00000022701,TMEM43,ortholog_one2one,TMEM43
ENSBTAG00000007362,ENSBMSG00010011503,XPC,ortholog_one2one,ENSPCTG00005021979,XPC,ortholog_one2one,ENSPSNG00000022702,XPC,ortholog_one2one,XPC
ENSBTAG00000007363,ENSBMSG00010011411,LSM3,ortholog_one2one,ENSPCTG00005022076,LSM3,ortholog_one2one,ENSPSNG00000022703,,ortholog_one2one,LSM3
ENSBTAG00000007366,ENSBMSG00010005924,HAUS8,ortholog_one2one,ENSPCTG00005008257,HAUS8,ortholog_one2one,ENSPSNG00000001098,HAUS8,ortholog_one2one,HAUS8
ENSBTAG00000007386,ENSBMSG00010013606,,ortholog_one2one,ENSPCTG00005016799,,ortholog_one2one,ENSPSNG00000005185,NUDCD1,ortholog_one2one,NUDCD1
ENSBTAG00000007387,ENSBMSG00010013592,ENY2,ortholog_one2one,,,,ENSPSNG00000005225,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007387,ENSBMSG00010013592,ENY2,ortholog_one2one,,,,ENSPSNG00000005225,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007387,ENSBMSG00010013592,ENY2,ortholog_one2one,,,,ENSPSNG00000005225,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007387,ENSBMSG00010013592,ENY2,ortholog_one2one,,,,ENSPSNG00000005225,ENY2,ortholog_one2one,ENY2
ENSBTAG00000007534,,,,ENSPCTG00005005426,GGH,ortholog_one2one,ENSPSNG00000015614,GGH,ortholog_one2one,GGH
ENSBTAG00000007534,,,,ENSPCTG00005005426,GGH,ortholog_one2one,ENSPSNG00000015614,GGH,ortholog_one2one,GGH
ENSBTAG00000007593,,,,ENSPCTG00005003227,AIDA,ortholog_one2one,ENSPSNG00000000908,AIDA,ortholog_one2one,AIDA
ENSBTAG00000007593,,,,ENSPCTG00005003227,AIDA,ortholog_one2one,ENSPSNG00000000908,AIDA,ortholog_one2one,AIDA
ENSBTAG00000007595,ENSBMSG00010003525,BROX,ortholog_one2one,ENSPCTG00005003304,BROX,ortholog_one2one,ENSPSNG00000000861,BROX,ortholog_one2one,BROX
ENSBTAG00000007609,ENSBMSG00010022446,ITFG2,ortholog_one2one,ENSPCTG00005020114,ITFG2,ortholog_one2one,ENSPSNG00000010358,ITFG2,ortholog_one2one,ITFG2
ENSBTAG00000007683,ENSBMSG00010019930,DCAF17,ortholog_one2one,ENSPCTG00005004120,DCAF17,ortholog_one2one,ENSPSNG00000009727,DCAF17,ortholog_one2one,DCAF17
ENSBTAG00000007728,ENSBMSG00010012290,PES1,ortholog_one2one,ENSPCTG00005004967,PES1,ortholog_one2one,ENSPSNG00000006346,PES1,ortholog_one2one,PES1
ENSBTAG00000007756,ENSBMSG00010018776,TFPT,ortholog_one2one,ENSPCTG00005006601,TFPT,ortholog_one2one,ENSPSNG00000014577,TFPT,ortholog_one2one,TFPT
ENSBTAG00000007757,ENSBMSG00010018719,PRPF31,ortholog_one2one,ENSPCTG00005006633,PRPF31,ortholog_one2one,ENSPSNG00000014461,PRPF31,ortholog_one2one,PRPF31
ENSBTAG00000007779,ENSBMSG00010002241,GTF3C3,ortholog_one2one,ENSPCTG00005000262,GTF3C3,ortholog_one2one,ENSPSNG00000002123,GTF3C3,ortholog_one2one,GTF3C3
ENSBTAG00000007913,ENSBMSG00010007991,CWC15,ortholog_one2one,ENSPCTG00005012079,CWC15,ortholog_one2one,,,,CWC15
ENSBTAG00000007913,ENSBMSG00010007991,CWC15,ortholog_one2one,ENSPCTG00005012079,CWC15,ortholog_one2one,,,,CWC15
ENSBTAG00000007994,ENSBMSG00010001473,OSCP1,ortholog_one2one,ENSPCTG00005003848,OSCP1,ortholog_one2one,ENSPSNG00000016833,OSCP1,ortholog_one2one,OSCP1
ENSBTAG00000008110,ENSBMSG00010018881,IFT20,ortholog_one2one,ENSPCTG00005013519,IFT20,ortholog_one2one,,,,IFT20
ENSBTAG00000008110,ENSBMSG00010018881,IFT20,ortholog_one2one,ENSPCTG00005013519,IFT20,ortholog_one2one,,,,IFT20
ENSBTAG00000008120,ENSBMSG00010018989,TMEM199,ortholog_one2one,ENSPCTG00005010422,TMEM199,ortholog_one2one,ENSPSNG00000019456,TMEM199,ortholog_one2one,TMEM199
ENSBTAG00000008133,ENSBMSG00010008274,ALKBH1,ortholog_one2one,ENSPCTG00005022768,ALKBH1,ortholog_one2one,ENSPSNG00000016553,ALKBH1,ortholog_one2one,ALKBH1
ENSBTAG00000008135,ENSBMSG00010008287,SLIRP,ortholog_one2one,,,,ENSPSNG00000016615,SLIRP,ortholog_one2one,SLIRP
ENSBTAG00000008145,ENSBMSG00010013668,SMPD2,ortholog_one2one,ENSPCTG00005011350,SMPD2,ortholog_one2one,ENSPSNG00000011438,SMPD2,ortholog_one2one,SMPD2
ENSBTAG00000008220,ENSBMSG00010005158,C11orf71,ortholog_one2one,ENSPCTG00005020202,C16H11orf71,ortholog_one2one,,,,C15H11orf71
ENSBTAG00000008369,ENSBMSG00010003752,RBM8A,ortholog_one2one,,,,,,,RBM8A
ENSBTAG00000008369,ENSBMSG00010003752,RBM8A,ortholog_one2one,,,,,,,RBM8A
ENSBTAG00000008396,ENSBMSG00010008367,MRPL54,ortholog_one2one,ENSPCTG00005019236,MRPL54,ortholog_one2one,ENSPSNG00000018508,MRPL54,ortholog_one2one,MRPL54
ENSBTAG00000008417,ENSBMSG00010013007,,ortholog_one2one,ENSPCTG00005020862,VPS29,ortholog_one2one,ENSPSNG00000005795,VPS29,ortholog_one2one,VPS29
ENSBTAG00000008423,ENSBMSG00010017831,TIMM22,ortholog_one2one,ENSPCTG00005007258,TIMM22,ortholog_one2one,ENSPSNG00000022237,TIMM22,ortholog_one2one,TIMM22
ENSBTAG00000008432,ENSBMSG00010020322,NUP98,ortholog_one2one,,,,ENSPSNG00000007355,NUP98,ortholog_one2one,NUP98
ENSBTAG00000008432,ENSBMSG00010020322,NUP98,ortholog_one2one,,,,ENSPSNG00000007355,NUP98,ortholog_one2one,NUP98
ENSBTAG00000008433,ENSBMSG00010020521,PGAP2,ortholog_one2one,ENSPCTG00005022286,PGAP2,ortholog_one2one,ENSPSNG00000007538,PGAP2,ortholog_one2one,PGAP2
ENSBTAG00000008457,ENSBMSG00010010271,SLU7,ortholog_one2one,ENSPCTG00005003036,SLU7,ortholog_one2one,ENSPSNG00000013646,SLU7,ortholog_one2one,SLU7
ENSBTAG00000008482,ENSBMSG00010021490,SON,ortholog_one2one,,,,ENSPSNG00000001885,SON,ortholog_one2one,SON
ENSBTAG00000008482,ENSBMSG00010021490,SON,ortholog_one2one,,,,ENSPSNG00000001885,SON,ortholog_one2one,SON
ENSBTAG00000008499,ENSBMSG00010017715,TROAP,ortholog_one2one,ENSPCTG00005008366,TROAP,ortholog_one2one,ENSPSNG00000010746,TROAP,ortholog_one2one,TROAP
ENSBTAG00000008543,ENSBMSG00010011624,GTF2H5,ortholog_one2one,ENSPCTG00005003620,GTF2H5,ortholog_one2one,ENSPSNG00000020011,GTF2H5,ortholog_one2one,GTF2H5
ENSBTAG00000008590,,,,ENSPCTG00005014695,SPAG7,ortholog_one2one,ENSPSNG00000020209,SPAG7,ortholog_one2one,SPAG7
ENSBTAG00000008765,ENSBMSG00010013595,PRADC1,ortholog_one2one,ENSPCTG00005006391,PRADC1,ortholog_one2one,ENSPSNG00000010164,PRADC1,ortholog_one2one,PRADC1
ENSBTAG00000008801,ENSBMSG00010018669,ATPAF2,ortholog_one2one,ENSPCTG00005005742,ATPAF2,ortholog_one2one,ENSPSNG00000011997,ATPAF2,ortholog_one2one,ATPAF2
ENSBTAG00000008815,ENSBMSG00010008555,WDR89,ortholog_one2one,ENSPCTG00005008294,WDR89,ortholog_one2one,ENSPSNG00000012922,WDR89,ortholog_one2one,WDR89
ENSBTAG00000008825,ENSBMSG00010015197,POLR3F,ortholog_one2one,ENSPCTG00005011873,POLR3F,ortholog_one2one,ENSPSNG00000005760,POLR3F,ortholog_one2one,POLR3F
ENSBTAG00000008826,ENSBMSG00010015177,RBBP9,ortholog_one2one,,,,ENSPSNG00000005733,RBBP9,ortholog_one2one,RBBP9
ENSBTAG00000008826,ENSBMSG00010015177,RBBP9,ortholog_one2one,,,,ENSPSNG00000005733,RBBP9,ortholog_one2one,RBBP9
ENSBTAG00000008841,ENSBMSG00010011283,DCAF15,ortholog_one2one,ENSPCTG00005014575,DCAF15,ortholog_one2one,ENSPSNG00000002892,DCAF15,ortholog_one2one,DCAF15
ENSBTAG00000008883,ENSBMSG00010015813,ZNF207,ortholog_one2one,ENSPCTG00005021784,,ortholog_one2one,ENSPSNG00000022235,,ortholog_one2one,ZNF207
ENSBTAG00000008906,ENSBMSG00010000725,PCP2,ortholog_one2one,ENSPCTG00005010753,PCP2,ortholog_one2one,ENSPSNG00000009463,PCP2,ortholog_one2one,PCP2
ENSBTAG00000008925,ENSBMSG00010008081,MRE11,ortholog_one2one,ENSPCTG00005004248,MRE11,ortholog_one2one,ENSPSNG00000012783,MRE11,ortholog_one2one,MRE11
ENSBTAG00000008962,ENSBMSG00010007368,MRPL50,ortholog_one2one,ENSPCTG00005009280,MRPL50,ortholog_one2one,ENSPSNG00000015987,MRPL50,ortholog_one2one,MRPL50
ENSBTAG00000008991,ENSBMSG00010011897,EIF4ENIF1,ortholog_one2one,ENSPCTG00005004621,EIF4ENIF1,ortholog_one2one,ENSPSNG00000021109,EIF4ENIF1,ortholog_one2one,EIF4ENIF1
ENSBTAG00000008994,ENSBMSG00010004369,FPGS,ortholog_one2one,ENSPCTG00005008531,FPGS,ortholog_one2one,ENSPSNG00000010370,FPGS,ortholog_one2one,FPGS
ENSBTAG00000009029,ENSBMSG00010020663,,ortholog_one2one,ENSPCTG00005004215,,ortholog_one2one,ENSPSNG00000021607,,ortholog_one2one,THA1
ENSBTAG00000009036,ENSBMSG00010019756,SUPT6H,ortholog_one2one,ENSPCTG00005021917,SUPT6H,ortholog_one2one,ENSPSNG00000017244,SUPT6H,ortholog_one2one,SUPT6H
ENSBTAG00000009075,ENSBMSG00010003807,RNF207,ortholog_one2one,ENSPCTG00005000615,RNF207,ortholog_one2one,ENSPSNG00000003779,RNF207,ortholog_one2one,RNF207
ENSBTAG00000009084,ENSBMSG00010001777,ATG3,ortholog_one2one,ENSPCTG00005001883,ATG3,ortholog_one2one,ENSPSNG00000000290,ATG3,ortholog_one2one,ATG3
ENSBTAG00000009109,ENSBMSG00010009305,CASD1,ortholog_one2one,ENSPCTG00005003283,CASD1,ortholog_one2one,ENSPSNG00000005142,CASD1,ortholog_one2one,CASD1
ENSBTAG00000009154,ENSBMSG00010003077,U2SURP,ortholog_one2one,ENSPCTG00005000108,U2SURP,ortholog_one2one,ENSPSNG00000009448,,ortholog_one2one,U2SURP
ENSBTAG00000009163,,,,ENSPCTG00005011106,TMEM234,ortholog_one2one,ENSPSNG00000011870,TMEM234,ortholog_one2one,TMEM234
ENSBTAG00000009176,ENSBMSG00010008053,ANKRD49,ortholog_one2one,ENSPCTG00005012473,ANKRD49,ortholog_one2one,ENSPSNG00000012741,ANKRD49,ortholog_one2one,ANKRD49
ENSBTAG00000009291,ENSBMSG00010014638,CFAP61,ortholog_one2one,ENSPCTG00005011086,CFAP61,ortholog_one2one,,,,CFAP61
ENSBTAG00000009291,ENSBMSG00010014638,CFAP61,ortholog_one2one,ENSPCTG00005011086,CFAP61,ortholog_one2one,,,,CFAP61
ENSBTAG00000009307,,,,ENSPCTG00005001629,RER1,ortholog_one2one,ENSPSNG00000002099,RER1,ortholog_one2one,RER1
ENSBTAG00000009307,,,,ENSPCTG00005001629,RER1,ortholog_one2one,ENSPSNG00000002099,RER1,ortholog_one2one,RER1
ENSBTAG00000009394,ENSBMSG00010018858,NSMCE2,ortholog_one2one,ENSPCTG00005007821,NSMCE2,ortholog_one2one,ENSPSNG00000014603,NSMCE2,ortholog_one2one,NSMCE2
ENSBTAG00000009415,ENSBMSG00010016807,NUFIP1,ortholog_one2one,ENSPCTG00005020401,NUFIP1,ortholog_one2one,ENSPSNG00000014196,NUFIP1,ortholog_one2one,NUFIP1
ENSBTAG00000009433,ENSBMSG00010004757,BGLAP,ortholog_one2one,ENSPCTG00005010569,BGLAP,ortholog_one2one,ENSPSNG00000002109,BGLAP,ortholog_one2one,BGLAP
ENSBTAG00000009436,ENSBMSG00010004850,TMEM79,ortholog_one2one,ENSPCTG00005020415,TMEM79,ortholog_one2one,ENSPSNG00000002228,TMEM79,ortholog_one2one,TMEM79
ENSBTAG00000009509,,,,ENSPCTG00005021302,NDUFA6,ortholog_one2one,ENSPSNG00000005840,NDUFA6,ortholog_one2one,NDUFA6
ENSBTAG00000009509,,,,ENSPCTG00005021302,NDUFA6,ortholog_one2one,ENSPSNG00000005840,NDUFA6,ortholog_one2one,NDUFA6
ENSBTAG00000009603,ENSBMSG00010004751,,ortholog_one2one,ENSPCTG00005017654,,ortholog_one2one,ENSPSNG00000006932,,ortholog_one2one,UQCRH
ENSBTAG00000009636,ENSBMSG00010020097,SLC7A6OS,ortholog_one2one,ENSPCTG00005016048,SLC7A6OS,ortholog_one2one,ENSPSNG00000021726,SLC7A6OS,ortholog_one2one,SLC7A6OS
ENSBTAG00000009661,ENSBMSG00010005947,RNASEH2A,ortholog_one2one,ENSPCTG00005018850,RNASEH2A,ortholog_one2one,ENSPSNG00000007087,RNASEH2A,ortholog_one2one,RNASEH2A
ENSBTAG00000009681,ENSBMSG00010000349,PPP2R3C,ortholog_one2one,ENSPCTG00005008942,PPP2R3C,ortholog_one2one,ENSPSNG00000019237,PPP2R3C,ortholog_one2one,PPP2R3C
ENSBTAG00000009682,ENSBMSG00010000430,PRORP,ortholog_one2one,ENSPCTG00005009126,KIAA0391,ortholog_one2one,ENSPSNG00000019340,PRORP,ortholog_one2one,PRORP
ENSBTAG00000009689,ENSBMSG00010012927,RWDD1,ortholog_one2one,ENSPCTG00005013868,RWDD1,ortholog_one2one,ENSPSNG00000015291,RWDD1,ortholog_one2one,RWDD1
ENSBTAG00000009732,ENSBMSG00010006246,NCBP1,ortholog_one2one,ENSPCTG00005012790,NCBP1,ortholog_one2one,ENSPSNG00000011234,NCBP1,ortholog_one2one,NCBP1
ENSBTAG00000009743,ENSBMSG00010012356,PDRG1,ortholog_one2one,ENSPCTG00005014744,PDRG1,ortholog_one2one,ENSPSNG00000006427,PDRG1,ortholog_one2one,PDRG1
ENSBTAG00000009806,ENSBMSG00010006823,INVS,ortholog_one2one,ENSPCTG00005009930,INVS,ortholog_one2one,ENSPSNG00000009049,INVS,ortholog_one2one,INVS
ENSBTAG00000009811,ENSBMSG00010016546,BOP1,ortholog_one2one,,,,,,,BOP1
ENSBTAG00000009916,ENSBMSG00010019848,NTAQ1,ortholog_one2one,ENSPCTG00005019752,WDYHV1,ortholog_one2one,,,,NTAQ1
ENSBTAG00000009916,ENSBMSG00010019848,NTAQ1,ortholog_one2one,ENSPCTG00005019752,WDYHV1,ortholog_one2one,,,,NTAQ1
ENSBTAG00000009918,ENSBMSG00010017568,GSE1,ortholog_one2one,ENSPCTG00005004462,GSE1,ortholog_one2one,ENSPSNG00000020556,GSE1,ortholog_one2one,GSE1
ENSBTAG00000009923,ENSBMSG00010007939,CIPC,ortholog_one2one,ENSPCTG00005022738,CIPC,ortholog_one2one,ENSPSNG00000012933,CIPC,ortholog_one2one,CIPC
