Gene stable ID,Zebra finch gene stable ID,Zebra finch gene name,Zebra finch homology type,Great Tit gene stable ID,Great Tit gene name,Great Tit homology type,Kakapo gene stable ID,Kakapo gene name,Kakapo homology type,Gene name
ENSGALG00010004975,ENSTGUG00000012340,SNW1,ortholog_one2one,ENSPMJG00000016855,SNW1,ortholog_one2one,ENSSHBG00005004251,SNW1,ortholog_one2one,SNW1
ENSGALG00010005060,ENSTGUG00000019231,POMP,ortholog_one2one,ENSPMJG00000017472,POMP,ortholog_one2one,ENSSHBG00005009882,POMP,ortholog_one2one,POMP
ENSGALG00010005077,ENSTGUG00000020427,ERG28,ortholog_one2one,ENSPMJG00000016827,ERG28,ortholog_one2one,ENSSHBG00005001459,ERG28,ortholog_one2one,C5H14orf1
ENSGALG00010005082,ENSTGUG00000026413,,ortholog_one2one,ENSPMJG00000017479,,ortholog_one2one,ENSSHBG00005013073,,ortholog_one2one,
ENSGALG00010005177,ENSTGUG00000020920,AASDHPPT,ortholog_one2one,ENSPMJG00000017823,AASDHPPT,ortholog_one2one,ENSSHBG00005001507,AASDHPPT,ortholog_one2one,AASDHPPT
ENSGALG00010005261,,,,ENSPMJG00000011034,ATG3,ortholog_one2one,ENSSHBG00005002369,ATG3,ortholog_one2one,ATG3
ENSGALG00010005267,ENSTGUG00000001451,CYP51A1,ortholog_one2one,ENSPMJG00000007751,CYP51A1,ortholog_one2one,ENSSHBG00005005801,CYP51A1,ortholog_one2one,CYP51A1
ENSGALG00010005269,,,,,,,ENSSHBG00005004314,KIN,ortholog_one2one,KIN
ENSGALG00010005269,,,,,,,ENSSHBG00005004314,KIN,ortholog_one2one,KIN
ENSGALG00010005269,,,,,,,ENSSHBG00005004314,KIN,ortholog_one2one,KIN
ENSGALG00010005269,,,,,,,ENSSHBG00005004314,KIN,ortholog_one2one,KIN
ENSGALG00010005283,ENSTGUG00000002123,ATP5F1C,ortholog_one2one,ENSPMJG00000000993,ATP5F1C,ortholog_one2one,ENSSHBG00005004320,ATP5F1C,ortholog_one2one,ATP5C1
ENSGALG00010005293,ENSTGUG00000013429,BLZF1,ortholog_one2one,ENSPMJG00000011070,BLZF1,ortholog_one2one,ENSSHBG00005001922,BLZF1,ortholog_one2one,BLZF1
ENSGALG00010005310,ENSTGUG00000018867,LAMTOR3,ortholog_one2one,ENSPMJG00000009594,LAMTOR3,ortholog_one2one,ENSSHBG00005007926,LAMTOR3,ortholog_one2one,LAMTOR3
ENSGALG00010005329,ENSTGUG00000012305,VIPAS39,ortholog_one2one,ENSPMJG00000016849,VIPAS39,ortholog_one2one,ENSSHBG00005004337,VIPAS39,ortholog_one2one,VIPAS39
ENSGALG00010005366,ENSTGUG00000011046,AUP1,ortholog_one2one,ENSPMJG00000018562,AUP1,ortholog_one2one,ENSSHBG00005014920,AUP1,ortholog_one2one,AUP1
ENSGALG00010005438,ENSTGUG00000011209,GPR180,ortholog_one2one,ENSPMJG00000013142,GPR180,ortholog_one2one,ENSSHBG00005010264,GPR180,ortholog_one2one,GPR180
ENSGALG00010005449,ENSTGUG00000026810,TIPRL,ortholog_one2one,ENSPMJG00000011113,TIPRL,ortholog_one2one,ENSSHBG00005001777,TIPRL,ortholog_one2one,TIPRL
ENSGALG00010005475,ENSTGUG00000011062,TMEM181,ortholog_one2one,ENSPMJG00000008546,TMEM181,ortholog_one2one,ENSSHBG00005011373,TMEM181,ortholog_one2one,TMEM181
ENSGALG00010005484,ENSTGUG00000011370,GINM1,ortholog_one2one,ENSPMJG00000009292,GINM1,ortholog_one2one,ENSSHBG00005018590,GINM1,ortholog_one2one,GINM1
ENSGALG00010005514,ENSTGUG00000011337,EEF1AKMT1,ortholog_one2one,ENSPMJG00000017597,EEF1AKMT1,ortholog_one2one,ENSSHBG00005013794,EEF1AKMT1,ortholog_one2one,EEF1AKMT1
ENSGALG00010005534,ENSTGUG00000025452,,ortholog_one2one,ENSPMJG00000005527,,ortholog_one2one,ENSSHBG00005014510,,ortholog_one2one,
ENSGALG00010005549,ENSTGUG00000017517,RNF20,ortholog_one2one,,,,ENSSHBG00005002741,RNF20,ortholog_one2one,RNF20
ENSGALG00010005549,ENSTGUG00000017517,RNF20,ortholog_one2one,,,,ENSSHBG00005002741,RNF20,ortholog_one2one,RNF20
ENSGALG00010005565,ENSTGUG00000024915,PGAP4,ortholog_one2one,,,,ENSSHBG00005002716,PGAP4,ortholog_one2one,PGAP4
ENSGALG00010005668,,,,ENSPMJG00000011163,LNP1,ortholog_one2one,,,,LNP1
ENSGALG00010005694,ENSTGUG00000010992,,ortholog_one2one,ENSPMJG00000008425,,ortholog_one2one,ENSSHBG00005010811,,ortholog_one2one,PEX3
ENSGALG00010005724,ENSTGUG00000002158,PROSER2,ortholog_one2one,ENSPMJG00000001340,PROSER2,ortholog_one2one,ENSSHBG00005004394,PROSER2,ortholog_one2one,PROSER2
ENSGALG00010005853,ENSTGUG00000001208,COMMD3,ortholog_one2one,ENSPMJG00000006415,COMMD3,ortholog_one2one,ENSSHBG00005002336,COMMD3,ortholog_one2one,COMMD3
ENSGALG00010005858,ENSTGUG00000025785,CFAP97,ortholog_one2one,ENSPMJG00000002379,CFAP97,ortholog_one2one,ENSSHBG00005012940,CFAP97,ortholog_one2one,CFAP97
ENSGALG00010005963,ENSTGUG00000001274,UGCG,ortholog_one2one,ENSPMJG00000005286,UGCG,ortholog_one2one,ENSSHBG00005002377,UGCG,ortholog_one2one,UGCG
ENSGALG00010005969,ENSTGUG00000010934,,ortholog_one2one,ENSPMJG00000008174,HECA,ortholog_one2one,ENSSHBG00005000357,HECA,ortholog_one2one,HECA
ENSGALG00010006015,ENSTGUG00000002204,CDC123,ortholog_one2one,ENSPMJG00000001458,CDC123,ortholog_one2one,ENSSHBG00005004439,CDC123,ortholog_one2one,CDC123
ENSGALG00010006032,ENSTGUG00000025713,MEIG1,ortholog_one2one,ENSPMJG00000001914,MEIG1,ortholog_one2one,ENSSHBG00005004597,MEIG1,ortholog_one2one,MEIG1
ENSGALG00010006038,,,,ENSPMJG00000005434,,ortholog_one2one,ENSSHBG00005004891,,ortholog_one2one,
ENSGALG00010006049,ENSTGUG00000003915,AIMP1,ortholog_one2one,ENSPMJG00000010006,AIMP1,ortholog_one2one,ENSSHBG00005010644,AIMP1,ortholog_one2one,AIMP1
ENSGALG00010006053,ENSTGUG00000002364,TMEM243,ortholog_one2one,ENSPMJG00000001917,TMEM243,ortholog_one2one,ENSSHBG00005004601,TMEM243,ortholog_one2one,TMEM243
ENSGALG00010006108,ENSTGUG00000001982,MKLN1,ortholog_one2one,ENSPMJG00000000489,MKLN1,ortholog_one2one,ENSSHBG00005002207,MKLN1,ortholog_one2one,MKLN1
ENSGALG00010006110,,,,ENSPMJG00000017502,,ortholog_one2one,,,,
ENSGALG00010006120,ENSTGUG00000022608,MOGS,ortholog_one2one,ENSPMJG00000018659,MOGS,ortholog_one2one,,,,MOGS
ENSGALG00010006135,ENSTGUG00000020837,,ortholog_one2one,ENSPMJG00000016735,,ortholog_one2one,ENSSHBG00005001804,ZC2HC1C,ortholog_one2one,ZC2HC1C
ENSGALG00010006146,ENSTGUG00000027739,,ortholog_one2one,ENSPMJG00000018658,CCDC142,ortholog_one2one,ENSSHBG00005015019,CCDC142,ortholog_one2one,CCDC142
ENSGALG00010006151,ENSTGUG00000010830,,ortholog_one2one,ENSPMJG00000014769,SPIDR,ortholog_one2one,ENSSHBG00005000553,SPIDR,ortholog_one2one,
ENSGALG00010006193,ENSTGUG00000002013,RBM17,ortholog_one2one,ENSPMJG00000000601,RBM17,ortholog_one2one,ENSSHBG00005002246,RBM17,ortholog_one2one,RBM17
ENSGALG00010006200,ENSTGUG00000003836,GSTCD,ortholog_one2one,ENSPMJG00000009970,GSTCD,ortholog_one2one,ENSSHBG00005010413,GSTCD,ortholog_one2one,GSTCD
ENSGALG00010006205,ENSTGUG00000022844,CGGBP1,ortholog_one2one,ENSPMJG00000000471,CGGBP1,ortholog_one2one,ENSSHBG00005013006,CGGBP1,ortholog_one2one,CGGBP1
ENSGALG00010006223,ENSTGUG00000006943,ATG10,ortholog_one2one,ENSPMJG00000014291,ATG10,ortholog_one2one,ENSSHBG00005001819,ATG10,ortholog_one2one,ATG10
ENSGALG00010006229,ENSTGUG00000003817,INTS12,ortholog_one2one,ENSPMJG00000009965,INTS12,ortholog_one2one,ENSSHBG00005010390,INTS12,ortholog_one2one,INTS12
ENSGALG00010006254,ENSTGUG00000013492,PROS1,ortholog_one2one,ENSPMJG00000000352,PROS1,ortholog_one2one,ENSSHBG00005012956,PROS1,ortholog_one2one,PROS1
ENSGALG00010006280,ENSTGUG00000012125,VRTN,ortholog_one2one,ENSPMJG00000016698,VRTN,ortholog_one2one,ENSSHBG00005002185,VRTN,ortholog_one2one,VRTN
ENSGALG00010006281,ENSTGUG00000011774,TRMT11,ortholog_one2one,ENSPMJG00000013658,TRMT11,ortholog_one2one,ENSSHBG00005001865,TRMT11,ortholog_one2one,TRMT11
ENSGALG00010006352,ENSTGUG00000012039,GEMIN2,ortholog_one2one,ENSPMJG00000016684,GEMIN2,ortholog_one2one,ENSSHBG00005002466,GEMIN2,ortholog_one2one,GEMIN2
ENSGALG00010006363,ENSTGUG00000012044,TRAPPC6B,ortholog_one2one,ENSPMJG00000016685,TRAPPC6B,ortholog_one2one,ENSSHBG00005002446,TRAPPC6B,ortholog_one2one,TRAPPC6A
ENSGALG00010006378,ENSTGUG00000001360,CAAP1,ortholog_one2one,ENSPMJG00000004955,CAAP1,ortholog_one2one,ENSSHBG00005019579,CAAP1,ortholog_one2one,CAAP1
ENSGALG00010006381,ENSTGUG00000011877,SPART,ortholog_one2one,ENSPMJG00000015011,SPART,ortholog_one2one,ENSSHBG00005004292,SPART,ortholog_one2one,SPART
ENSGALG00010006382,ENSTGUG00000012046,PNN,ortholog_one2one,ENSPMJG00000016686,PNN,ortholog_one2one,ENSSHBG00005002426,PNN,ortholog_one2one,PNN
ENSGALG00010006457,ENSTGUG00000024475,NCAPH2,ortholog_one2one,,,,ENSSHBG00005014062,NCAPH2,ortholog_one2one,NCAPH2
ENSGALG00010006465,,,,ENSPMJG00000004947,PLAA,ortholog_one2one,ENSSHBG00005019573,PLAA,ortholog_one2one,PLAA
ENSGALG00010006480,,,,ENSPMJG00000004941,IFT74,ortholog_one2one,ENSSHBG00005019568,IFT74,ortholog_one2one,IFT74
ENSGALG00010006528,ENSTGUG00000016262,ZC3HC1,ortholog_one2one,ENSPMJG00000012440,ZC3HC1,ortholog_one2one,ENSSHBG00005012560,ZC3HC1,ortholog_one2one,ZC3HC1
ENSGALG00010006536,ENSTGUG00000028665,,ortholog_one2one,ENSPMJG00000012435,,ortholog_one2one,,,,
ENSGALG00010006619,ENSTGUG00000023527,LIN52,ortholog_one2one,ENSPMJG00000016694,LIN52,ortholog_one2one,ENSSHBG00005002241,LIN52,ortholog_one2one,LIN52
ENSGALG00010006633,ENSTGUG00000001932,FBH1,ortholog_one2one,ENSPMJG00000013099,FBH1,ortholog_one2one,ENSSHBG00005000165,FBH1,ortholog_one2one,FBXO18
ENSGALG00010006740,ENSTGUG00000011763,BRCA2,ortholog_one2one,ENSPMJG00000015023,BRCA2,ortholog_one2one,ENSSHBG00005013855,BRCA2,ortholog_one2one,BRCA2
ENSGALG00010006988,ENSTGUG00000011708,USPL1,ortholog_one2one,ENSPMJG00000017450,USPL1,ortholog_one2one,ENSSHBG00005015735,USPL1,ortholog_one2one,USPL1
ENSGALG00010007039,,,,,,,ENSSHBG00005001350,,ortholog_one2one,
ENSGALG00010007085,ENSTGUG00000006701,PRIMPOL,ortholog_one2one,ENSPMJG00000002243,PRIMPOL,ortholog_one2one,ENSSHBG00005012999,PRIMPOL,ortholog_one2one,PRIMPOL
ENSGALG00010007090,ENSTGUG00000008585,CEBPZ,ortholog_one2one,ENSPMJG00000015113,CEBPZ,ortholog_one2one,ENSSHBG00005000983,CEBPZ,ortholog_one2one,CEBPZ
ENSGALG00010007098,ENSTGUG00000008574,NDUFAF7,ortholog_one2one,ENSPMJG00000015112,NDUFAF7,ortholog_one2one,ENSSHBG00005000982,NDUFAF7,ortholog_one2one,NDUFAF7
ENSGALG00010007172,ENSTGUG00000026311,,ortholog_one2one,ENSPMJG00000017606,,ortholog_one2one,ENSSHBG00005013948,,ortholog_one2one,
ENSGALG00010007214,ENSTGUG00000004154,MTHFSD,ortholog_one2one,ENSPMJG00000013926,MTHFSD,ortholog_one2one,ENSSHBG00005011871,MTHFSD,ortholog_one2one,MTHFSD
ENSGALG00010007243,ENSTGUG00000009810,,ortholog_one2one,ENSPMJG00000003930,,ortholog_one2one,ENSSHBG00005010430,,ortholog_one2one,BEAN1
ENSGALG00010007258,ENSTGUG00000027929,,ortholog_one2one,,,,ENSSHBG00005021124,,ortholog_one2one,
ENSGALG00010007294,ENSTGUG00000006590,TRAPPC11,ortholog_one2one,ENSPMJG00000002099,TRAPPC11,ortholog_one2one,ENSSHBG00005013088,TRAPPC11,ortholog_one2one,TRAPPC11
ENSGALG00010007322,ENSTGUG00000028726,AK6,ortholog_one2one,ENSPMJG00000001441,AK6,ortholog_one2one,ENSSHBG00005002469,AK6,ortholog_one2one,AK6
ENSGALG00010007326,ENSTGUG00000006580,RWDD4,ortholog_one2one,ENSPMJG00000002084,RWDD4,ortholog_one2one,ENSSHBG00005013100,RWDD4,ortholog_one2one,RWDD4
ENSGALG00010007333,ENSTGUG00000013406,QTRT2,ortholog_one2one,ENSPMJG00000010949,QTRT2,ortholog_one2one,ENSSHBG00005009044,QTRT2,ortholog_one2one,QTRT2
ENSGALG00010007344,ENSTGUG00000017526,RAD17,ortholog_one2one,ENSPMJG00000001446,RAD17,ortholog_one2one,ENSSHBG00005002493,RAD17,ortholog_one2one,RAD17
ENSGALG00010007391,ENSTGUG00000008794,NANP,ortholog_one2one,ENSPMJG00000015175,NANP,ortholog_one2one,ENSSHBG00005008587,NANP,ortholog_one2one,NANP
ENSGALG00010007400,ENSTGUG00000029600,TYMP,ortholog_one2one,,,,,,,TYMP
ENSGALG00010007401,ENSTGUG00000021195,SEC61G,ortholog_one2one,ENSPMJG00000018029,SEC61G,ortholog_one2one,ENSSHBG00005013838,SEC61G,ortholog_one2one,SEC61G
ENSGALG00010007413,ENSTGUG00000008777,GPATCH11,ortholog_one2one,ENSPMJG00000015173,GPATCH11,ortholog_one2one,ENSSHBG00005008566,GPATCH11,ortholog_one2one,GPATCH11
ENSGALG00010007539,ENSTGUG00000029174,RPS3A,ortholog_one2one,ENSPMJG00000010525,RPS3A,ortholog_one2one,ENSSHBG00005010962,RPS3A,ortholog_one2one,RPS3A
ENSGALG00010007542,,,,ENSPMJG00000013793,MRPL36,ortholog_one2one,ENSSHBG00005004708,MRPL36,ortholog_one2one,MRPL36
ENSGALG00010007555,ENSTGUG00000008501,NDUFS6,ortholog_one2one,ENSPMJG00000013796,,ortholog_one2one,ENSSHBG00005004706,NDUFS6,ortholog_one2one,NDUFS6
ENSGALG00010007567,ENSTGUG00000006756,TRIP13,ortholog_one2one,ENSPMJG00000018139,TRIP13,ortholog_one2one,ENSSHBG00005004617,TRIP13,ortholog_one2one,TRIP13
ENSGALG00010007593,ENSTGUG00000008873,SEC61B,ortholog_one2one,ENSPMJG00000014157,SEC61B,ortholog_one2one,ENSSHBG00005004195,SEC61B,ortholog_one2one,SEC61B
ENSGALG00010007642,ENSTGUG00000009066,ZNF318,ortholog_one2one,ENSPMJG00000000093,ZNF318,ortholog_one2one,ENSSHBG00005014455,ZNF318,ortholog_one2one,ZNF318
ENSGALG00010007671,ENSTGUG00000027899,ABITRAM,ortholog_one2one,,,,ENSSHBG00005004522,ABITRAM,ortholog_one2one,FAM206A
ENSGALG00010007679,ENSTGUG00000012910,TMEM135,ortholog_one2one,ENSPMJG00000000812,TMEM135,ortholog_one2one,ENSSHBG00005006315,TMEM135,ortholog_one2one,TMEM135
ENSGALG00010007781,ENSTGUG00000009051,MBP,ortholog_one2one,ENSPMJG00000014269,MBP,ortholog_one2one,ENSSHBG00005002306,MBP,ortholog_one2one,MBP
ENSGALG00010007783,,,,ENSPMJG00000018203,NOL7,ortholog_one2one,ENSSHBG00005009583,NOL7,ortholog_one2one,NOL7
ENSGALG00010007784,ENSTGUG00000004335,INTS10,ortholog_one2one,ENSPMJG00000010264,INTS10,ortholog_one2one,ENSSHBG00005011798,INTS10,ortholog_one2one,INTS10
ENSGALG00010007798,ENSTGUG00000004319,HGSNAT,ortholog_one2one,ENSPMJG00000010258,HGSNAT,ortholog_one2one,ENSSHBG00005011757,HGSNAT,ortholog_one2one,HGSNAT
ENSGALG00010007809,ENSTGUG00000018916,ARV1,ortholog_one2one,ENSPMJG00000002573,ARV1,ortholog_one2one,ENSSHBG00005000690,ARV1,ortholog_one2one,ARV1
ENSGALG00010007847,ENSTGUG00000022858,CMC2,ortholog_one2one,ENSPMJG00000014012,CMC2,ortholog_one2one,ENSSHBG00005009923,CMC2,ortholog_one2one,CMC2
ENSGALG00010007853,ENSTGUG00000023787,C1orf131,ortholog_one2one,ENSPMJG00000002346,C1orf131,ortholog_one2one,ENSSHBG00005020987,C1orf131,ortholog_one2one,C1orf131
ENSGALG00010007859,ENSTGUG00000004579,CENPN,ortholog_one2one,ENSPMJG00000014005,CENPN,ortholog_one2one,ENSSHBG00005009907,CENPN,ortholog_one2one,CENPN
ENSGALG00010007906,ENSTGUG00000005798,NAF1,ortholog_one2one,ENSPMJG00000010977,,ortholog_one2one,ENSSHBG00005009128,NAF1,ortholog_one2one,NAF1
ENSGALG00010007924,ENSTGUG00000002090,ABHD18,ortholog_one2one,ENSPMJG00000007858,ABHD18,ortholog_one2one,ENSSHBG00005010389,ABHD18,ortholog_one2one,ABHD18
ENSGALG00010007926,ENSTGUG00000012216,EIF3E,ortholog_one2one,ENSPMJG00000010814,EIF3E,ortholog_one2one,ENSSHBG00005018030,EIF3E,ortholog_one2one,EIF3E
ENSGALG00010007970,ENSTGUG00000010080,SPRTN,ortholog_one2one,ENSPMJG00000003262,SPRTN,ortholog_one2one,ENSSHBG00005006772,SPRTN,ortholog_one2one,SPRTN
ENSGALG00010007972,ENSTGUG00000018403,EXOC8,ortholog_one2one,ENSPMJG00000003259,EXOC8,ortholog_one2one,ENSSHBG00005006766,EXOC8,ortholog_one2one,EXOC8
ENSGALG00010007996,ENSTGUG00000012245,NUDCD1,ortholog_one2one,ENSPMJG00000010894,NUDCD1,ortholog_one2one,ENSSHBG00005018007,NUDCD1,ortholog_one2one,NUDCD1
ENSGALG00010008004,ENSTGUG00000026246,ENY2,ortholog_one2one,ENSPMJG00000010897,ENY2,ortholog_one2one,ENSSHBG00005018005,ENY2,ortholog_one2one,ENY2
ENSGALG00010008005,ENSTGUG00000012948,ANKRD42,ortholog_one2one,ENSPMJG00000001132,ANKRD42,ortholog_one2one,ENSSHBG00005001836,ANKRD42,ortholog_one2one,ANKRD42
ENSGALG00010008033,ENSTGUG00000020283,ACOT13,ortholog_one2one,ENSPMJG00000014254,ACOT13,ortholog_one2one,ENSSHBG00005002348,ACOT13,ortholog_one2one,ACOT13
ENSGALG00010008035,ENSTGUG00000009035,TDP2,ortholog_one2one,ENSPMJG00000014256,TDP2,ortholog_one2one,ENSSHBG00005002339,TDP2,ortholog_one2one,TDP2
ENSGALG00010008075,ENSTGUG00000008245,SDHA,ortholog_one2one,ENSPMJG00000013737,SDHA,ortholog_one2one,ENSSHBG00005004766,SDHA,ortholog_one2one,SDHA
ENSGALG00010008079,,,,ENSPMJG00000013738,CCDC127,ortholog_one2one,ENSSHBG00005004762,CCDC127,ortholog_one2one,CCDC127
ENSGALG00010008083,ENSTGUG00000007970,FANCA,ortholog_one2one,ENSPMJG00000013789,FANCA,ortholog_one2one,ENSSHBG00005010193,FANCA,ortholog_one2one,FANCA
ENSGALG00010008101,ENSTGUG00000023639,,ortholog_one2one,ENSPMJG00000012999,CENPQ,ortholog_one2one,ENSSHBG00005011988,CENPQ,ortholog_one2one,CENPQ
ENSGALG00010008119,ENSTGUG00000012968,,ortholog_one2one,ENSPMJG00000001732,CCDC83,ortholog_one2one,ENSSHBG00005016062,CCDC83,ortholog_one2one,CCDC83
ENSGALG00010008136,ENSTGUG00000001421,ELP1,ortholog_one2one,ENSPMJG00000004844,ELP1,ortholog_one2one,ENSSHBG00005019522,ELP1,ortholog_one2one,ELP1
ENSGALG00010008139,ENSTGUG00000021015,,ortholog_one2one,ENSPMJG00000008682,,ortholog_one2one,,,,
ENSGALG00010008160,ENSTGUG00000021229,TXNL4B,ortholog_one2one,ENSPMJG00000011172,TXNL4B,ortholog_one2one,ENSSHBG00005001295,TXNL4B,ortholog_one2one,TXNL4A
ENSGALG00010008163,ENSTGUG00000027512,,ortholog_one2one,ENSPMJG00000013773,,ortholog_one2one,,,,CHTF8
ENSGALG00010008183,ENSTGUG00000003649,,ortholog_one2one,ENSPMJG00000008738,,ortholog_one2one,ENSSHBG00005013337,,ortholog_one2one,ALG10
ENSGALG00010008184,ENSTGUG00000023857,SLC66A2,ortholog_one2one,ENSPMJG00000018152,SLC66A2,ortholog_one2one,ENSSHBG00005004519,SLC66A2,ortholog_one2one,PQLC1
ENSGALG00010008194,ENSTGUG00000023600,PDF,ortholog_one2one,,,,,,,PDF
ENSGALG00010008199,ENSTGUG00000020604,TPRKB,ortholog_one2one,ENSPMJG00000008739,TPRKB,ortholog_one2one,ENSSHBG00005013347,TPRKB,ortholog_one2one,TPRKB
ENSGALG00010008200,ENSTGUG00000008065,COG8,ortholog_one2one,ENSPMJG00000013709,COG8,ortholog_one2one,,,,COG8
ENSGALG00010008223,ENSTGUG00000027181,,ortholog_one2one,ENSPMJG00000014062,,ortholog_one2one,ENSSHBG00005004302,,ortholog_one2one,
ENSGALG00010008238,ENSTGUG00000020251,NTAQ1,ortholog_one2one,ENSPMJG00000011274,NTAQ1,ortholog_one2one,ENSSHBG00005006607,NTAQ1,ortholog_one2one,WDYHV1
ENSGALG00010008255,ENSTGUG00000008752,MSANTD3,ortholog_one2one,ENSPMJG00000014067,MSANTD3,ortholog_one2one,ENSSHBG00005004280,MSANTD3,ortholog_one2one,C2H9ORF30
ENSGALG00010008294,ENSTGUG00000008124,NOB1,ortholog_one2one,ENSPMJG00000013704,NOB1,ortholog_one2one,ENSSHBG00005009889,NOB1,ortholog_one2one,NOB1
ENSGALG00010008298,ENSTGUG00000008753,,ortholog_one2one,ENSPMJG00000014069,,ortholog_one2one,ENSSHBG00005004270,,ortholog_one2one,
ENSGALG00010008299,ENSTGUG00000013227,ANKRD66,ortholog_one2one,,,,,,,ANKRD66
ENSGALG00010008314,ENSTGUG00000008787,INVS,ortholog_one2one,ENSPMJG00000014119,INVS,ortholog_one2one,ENSSHBG00005004242,INVS,ortholog_one2one,INVS
ENSGALG00010008317,ENSTGUG00000024409,CEP57,ortholog_one2one,ENSPMJG00000017857,CEP57,ortholog_one2one,ENSSHBG00005003137,CEP57,ortholog_one2one,CEP57
ENSGALG00010008351,ENSTGUG00000008259,IST1,ortholog_one2one,ENSPMJG00000012055,IST1,ortholog_one2one,ENSSHBG00005019013,,ortholog_one2one,IST1
ENSGALG00010008380,ENSTGUG00000014889,SIL1,ortholog_one2one,ENSPMJG00000007472,SIL1,ortholog_one2one,ENSSHBG00005013577,SIL1,ortholog_one2one,SIL1
ENSGALG00010008381,ENSTGUG00000008036,C18orf21,ortholog_one2one,ENSPMJG00000013594,C18orf21,ortholog_one2one,ENSSHBG00005001276,C18orf21,ortholog_one2one,C18orf21
ENSGALG00010008399,ENSTGUG00000020223,INO80C,ortholog_one2one,ENSPMJG00000013613,INO80C,ortholog_one2one,ENSSHBG00005000096,INO80C,ortholog_one2one,INO80C
ENSGALG00010008433,ENSTGUG00000012252,EBAG9,ortholog_one2one,ENSPMJG00000010904,EBAG9,ortholog_one2one,ENSSHBG00005018002,EBAG9,ortholog_one2one,EBAG9
ENSGALG00010008449,,,,ENSPMJG00000007965,SRA1,ortholog_one2one,,,,SRA1
ENSGALG00010008450,ENSTGUG00000000926,GIN1,ortholog_one2one,ENSPMJG00000010266,GIN1,ortholog_one2one,ENSSHBG00005002908,GIN1,ortholog_one2one,GIN1
ENSGALG00010008464,ENSTGUG00000027976,SF3B6,ortholog_one2one,ENSPMJG00000012958,SF3B6,ortholog_one2one,ENSSHBG00005000929,SF3B6,ortholog_one2one,SF3B6
ENSGALG00010008486,,,,ENSPMJG00000013847,CTU2,ortholog_one2one,ENSSHBG00005011163,CTU2,ortholog_one2one,CTU2
ENSGALG00010008492,ENSTGUG00000012823,ANKRD49,ortholog_one2one,ENSPMJG00000017866,ANKRD49,ortholog_one2one,ENSSHBG00005003336,ANKRD49,ortholog_one2one,ANKRD49
ENSGALG00010008501,,,,,,,ENSSHBG00005010089,,ortholog_one2one,FAM228
ENSGALG00010008516,ENSTGUG00000012824,MRE11,ortholog_one2one,ENSPMJG00000017867,MRE11,ortholog_one2one,ENSSHBG00005003350,MRE11,ortholog_one2one,MRE11
ENSGALG00010008693,ENSTGUG00000019648,C4orf46,ortholog_one2one,,,,ENSSHBG00005009357,C4orf46,ortholog_one2one,C4orf46
ENSGALG00010008731,ENSTGUG00000019009,NDUFB9,ortholog_one2one,ENSPMJG00000011319,NDUFB9,ortholog_one2one,ENSSHBG00005006256,NDUFB9,ortholog_one2one,NDUFB9
ENSGALG00010008764,ENSTGUG00000005625,ETFDH,ortholog_one2one,ENSPMJG00000010862,ETFDH,ortholog_one2one,ENSSHBG00005009343,ETFDH,ortholog_one2one,ETFDH
ENSGALG00010008793,ENSTGUG00000012850,C11orf54,ortholog_one2one,ENSPMJG00000017878,C11orf54,ortholog_one2one,,,,C11orf54
ENSGALG00010008821,ENSTGUG00000012851,,ortholog_one2one,ENSPMJG00000017879,TAF1D,ortholog_one2one,ENSSHBG00005003808,TAF1D,ortholog_one2one,
ENSGALG00010008866,ENSTGUG00000012498,WASHC5,ortholog_one2one,ENSPMJG00000011325,WASHC5,ortholog_one2one,ENSSHBG00005006132,WASHC5,ortholog_one2one,WASHC5
ENSGALG00010008897,ENSTGUG00000012507,NSMCE2,ortholog_one2one,ENSPMJG00000011326,NSMCE2,ortholog_one2one,ENSSHBG00005006093,NSMCE2,ortholog_one2one,NSMCE2
ENSGALG00010008918,ENSTGUG00000025327,,ortholog_one2one,ENSPMJG00000003761,,ortholog_one2one,ENSSHBG00005008124,,ortholog_one2one,PLAC9
ENSGALG00010008955,ENSTGUG00000019838,,ortholog_one2one,ENSPMJG00000007498,KRTCAP3,ortholog_one2one,ENSSHBG00005017965,KRTCAP3,ortholog_one2one,KRTCAP3
ENSGALG00010008974,ENSTGUG00000024656,SMCO4,ortholog_one2one,ENSPMJG00000017893,SMCO4,ortholog_one2one,,,,SMCO4
ENSGALG00010008995,ENSTGUG00000016583,ECD,ortholog_one2one,ENSPMJG00000015362,ECD,ortholog_one2one,ENSSHBG00005012801,ECD,ortholog_one2one,ECD
ENSGALG00010009015,ENSTGUG00000008461,TMEM231,ortholog_one2one,ENSPMJG00000012042,TMEM231,ortholog_one2one,,,,TMEM231
ENSGALG00010009015,ENSTGUG00000008461,TMEM231,ortholog_one2one,ENSPMJG00000012042,TMEM231,ortholog_one2one,,,,TMEM231
ENSGALG00010009076,,,,ENSPMJG00000007247,TMEM214,ortholog_one2one,ENSSHBG00005017609,TMEM214,ortholog_one2one,TMEM214
ENSGALG00010009076,,,,ENSPMJG00000007247,TMEM214,ortholog_one2one,ENSSHBG00005017609,TMEM214,ortholog_one2one,TMEM214
ENSGALG00010009078,,,,ENSPMJG00000014477,,ortholog_one2one,ENSSHBG00005018236,,ortholog_one2one,PTTG2
