Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
783	ENSG00000170855	12	120443964	120446384	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSG00000257218	12	120446444	120463749	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	60																			716	ENSMICG00000038646	21	9686557	9688551	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSMICG00000008669	21	9688567	9698020	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	16	373	ENSPPAG00000030127	12	121400063	121402506	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSPPAG00000029164	12	121402532	121419628	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	26	373	ENSGGOG00000023657	12	120516424	120518869	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSGGOG00000026821	12	120518907	120530561	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	38	422	ENSPTRG00000005533	12	123680832	123683290	-1	TP53 regulated inhibitor of apoptosis 1 [Source:VGNC Symbol;Acc:VGNC:5638]	TRIAP1	protein_coding	ENSPTRG00000049887	12	123683308	123704841	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	18	173	ENSCSAG00000002262	11	115798862	115800840	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSCSAG00000002259	11	115800949	115812555	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	109	1117	ENSPANG00000026352	9	114791027	114792490	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSPANG00000033975	9	114792599	114806757	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	109	367	ENSPPYG00000005029	12	119150680	119153140	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSPPYG00000005030	12	119153191	119168261	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	51	79	ENSNLEG00000015649	10	94396126	94398567	-1	TP53 regulated inhibitor of apoptosis 1 [Source:HGNC Symbol;Acc:HGNC:26937]	TRIAP1	protein_coding	ENSNLEG00000015651	10	94398605	94413987	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	38
1025	ENSG00000170270	14	93202894	93207065	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSG00000012963	14	93207241	93229215	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	176																			810	ENSMICG00000042789	3	4692642	4696477	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSMICG00000000784	3	4696522	4729386	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	45	434	ENSPPAG00000042521	14	93171999	93176201	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSPPAG00000033789	14	93176149	93198150	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	52	438	ENSGGOG00000023073	14	77198475	77203220	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSGGOG00000027838	14	77203301	77220114	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	81	493	ENSPTRG00000034044	14	78317420	78322200	-1	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]	GON7	protein_coding	ENSPTRG00000006662	14	78322051	78344263	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	UBR7	protein_coding	149																																					448	ENSPPYG00000006085	14	74889903	74894429	-1			protein_coding	ENSPPYG00000006086	14	74894255	74916926	1	ubiquitin protein ligase E3 component n-recognin 7 [Source:NCBI gene (formerly Entrezgene);Acc:100172213]	UBR7	protein_coding	174																		
1262	ENSG00000006327	16	3018445	3022383	1	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	TNFRSF12A	protein_coding	ENSG00000103145	16	3022625	3024286	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	242																			411	ENSMICG00000001879	17	2901938	2903991	1	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	TNFRSF12A	protein_coding	ENSMICG00000001884	17	2904204	2905882	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	213																																																																																																																														
1263	ENSG00000103145	16	3022625	3024286	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	ENSG00000131652	16	3024027	3027755	1	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	259																			412	ENSMICG00000001884	17	2904204	2905882	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	ENSMICG00000001887	17	2905627	2908576	1	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	255	518	ENSPPAG00000036545	16	3136818	3138484	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	ENSPPAG00000033417	16	3138229	3141876	1	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	255	522	ENSGGOG00000005157	16	3153672	3155502	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	ENSGGOG00000005160	16	3155071	3158802	1	THO complex 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	431																			668	ENSCSAG00000010254	5	2766170	2767248	-1	host cell factor C1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:21198]	HCFC1R1	protein_coding	ENSCSAG00000010244	5	2767634	2771812	1	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	386																			526	ENSPPYG00000007026	16	3319055	3321045	-1			protein_coding	ENSPPYG00000007027	16	3320428	3324184	1	THO complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:28369]	THOC6	protein_coding	617																		
1344	ENSG00000149929	16	29992330	29996074	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSG00000169592	16	29995715	30005793	1	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	INO80E	protein_coding	359																			478	ENSMICG00000036066	17	59160917	59164166	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSMICG00000031360	17	59164082	59174094	1	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	INO80E	protein_coding	84	538	ENSPPAG00000006667	16	30365725	30369486	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSPPAG00000043512	16	30369610	30379198	1	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	INO80E	protein_coding	124	549	ENSGGOG00000011998	16	30139380	30143142	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSGGOG00000012004	16	30143266	30152837	1	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	INO80E	protein_coding	124	614	ENSPTRG00000007978	16	28973647	28976755	-1	HIRA interacting protein 3 [Source:VGNC Symbol;Acc:VGNC:5783]	HIRIP3	protein_coding	ENSPTRG00000007979	16	28976879	28986455	1	INO80 complex subunit E [Source:VGNC Symbol;Acc:VGNC:51582]	INO80E	protein_coding	124																			565	ENSPANG00000016337	18	46608488	46611161	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSPANG00000032529	18	46611592	46621063	1	INO80 complex subunit E [Source:HGNC Symbol;Acc:HGNC:26905]	INO80E	protein_coding	431																			617	ENSNLEG00000007616	2	81170292	81172693	-1	HIRA interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:4917]	HIRIP3	protein_coding	ENSNLEG00000007617	2	81173311	81178842	1			protein_coding	618
1404	ENSG00000005194	16	57428187	57447420	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSG00000088682	16	57447425	57461270	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	5																			689	ENSMICG00000004666	20	53685425	53704441	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSMICG00000004671	20	53704431	53726340	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	10	552	ENSPPAG00000041694	16	56835024	56856502	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSPPAG00000010633	16	56856401	56870260	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	101	569	ENSGGOG00000012402	16	48071413	48090462	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSGGOG00000012407	16	48090364	48104491	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	98	629	ENSPTRG00000008155	16	48108249	48129573	-1	cytokine induced apoptosis inhibitor 1 [Source:VGNC Symbol;Acc:VGNC:5736]	CIAPIN1	protein_coding	ENSPTRG00000008156	16	48129573	48143450	1	coenzyme Q9 [Source:VGNC Symbol;Acc:VGNC:5744]	COQ9	protein_coding	0	703	ENSCSAG00000004912	5	43359399	43378686	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSCSAG00000004907	5	43378539	43392384	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	147																			560	ENSPPYG00000007388	16	35268651	35287859	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSPPYG00000007389	16	35287869	35301679	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	10																		
1418	ENSG00000102871	16	67154185	67159909	-1	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	TRADD	protein_coding	ENSG00000135722	16	67159932	67164570	1	F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875]	FBXL8	protein_coding	23																			698	ENSMICG00000007708	20	56155160	56160256	-1	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	TRADD	protein_coding	ENSMICG00000042011	20	56160294	56164470	1	F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875]	FBXL8	protein_coding	38																			574	ENSGGOG00000011883	16	58244841	58250555	-1			protein_coding	ENSGGOG00000011893	16	58250606	58255442	1	F-box and leucine rich repeat protein 8 [Source:HGNC Symbol;Acc:HGNC:17875]	FBXL8	protein_coding	51	635	ENSPTRG00000008215	16	58032218	58038537	-1	TNFRSF1A associated via death domain [Source:VGNC Symbol;Acc:VGNC:10133]	TRADD	protein_coding	ENSPTRG00000008216	16	58037995	58042232	1	F-box and leucine rich repeat protein 8 [Source:VGNC Symbol;Acc:VGNC:108905]	FBXL8	protein_coding	542																																																																								
1790	ENSG00000134779	18	36777647	36829216	-1	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	TPGS2	protein_coding	ENSG00000150477	18	36829106	37232172	1	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	KIAA1328	protein_coding	110																			523	ENSMICG00000006971	19	1759264	1808364	-1	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	TPGS2	protein_coding	ENSMICG00000006976	19	1808459	2089617	1	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	KIAA1328	protein_coding	95	706	ENSPPAG00000034848	18	33590771	33639528	-1	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	TPGS2	protein_coding	ENSPPAG00000009304	18	33639535	34031582	1	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	KIAA1328	protein_coding	7	656	ENSGGOG00000011061	18	33661252	33706934	-1	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]		protein_coding	ENSGGOG00000011074	18	33706604	34086975	1	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	KIAA1328	protein_coding	330	796	ENSPTRG00000009980	18	33928653	33977472	-1	tubulin polyglutamylase complex subunit 2 [Source:VGNC Symbol;Acc:VGNC:5214]	TPGS2	protein_coding	ENSPTRG00000009981	18	33977408	34375102	1	KIAA1328 [Source:VGNC Symbol;Acc:VGNC:5175]	KIAA1328	protein_coding	64																			609	ENSPANG00000007202	19	28729155	28777379	-1	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	TPGS2	protein_coding	ENSPANG00000033405	19	28777747	29158585	1	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	KIAA1328	protein_coding	368	721	ENSPPYG00000036358	18	31485138	31533514	-1	tubulin polyglutamylase complex subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:100172340]	TPGS2	protein_coding	ENSPPYG00000009117	18	31533346	31920862	1	KIAA1328 ortholog [Source:NCBI gene (formerly Entrezgene);Acc:100174626]	KIAA1328	protein_coding	168																		
2074	ENSG00000142538	19	49422419	49423441	-1	parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828]	PTH2	protein_coding	ENSG00000261949	19	49423749	49428987	1	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	GFY	protein_coding	308																			768	ENSMICG00000029136	22	19415931	19416844	-1	parathyroid hormone 2 [Source:HGNC Symbol;Acc:HGNC:30828]	PTH2	protein_coding	ENSMICG00000031077	22	19416985	19421562	1	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	GFY	protein_coding	141																																																																																											832	ENSPPYG00000010246	19	47796081	47799144	-1			protein_coding	ENSPPYG00000032044	19	47800109	47802610	1	golgi associated olfactory signaling regulator [Source:HGNC Symbol;Acc:HGNC:44663]	GFY	protein_coding	965																		
2557	ENSG00000100099	22	26443107	26483931	-1	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	HPS4	protein_coding	ENSG00000100104	22	26483877	26494658	1	SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]	SRRD	protein_coding	54																			722	ENSMICG00000032079	21	13213771	13257692	-1	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	HPS4	protein_coding	ENSMICG00000013722	21	13257739	13265731	1	SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]	SRRD	protein_coding	47	884	ENSPPAG00000011496	22	25236360	25268699	-1	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	HPS4	protein_coding	ENSPPAG00000036964	22	25268727	25276402	1	SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]	SRRD	protein_coding	28	840	ENSGGOG00000004984	22	9964704	9997746	-1	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]	HPS4	protein_coding	ENSGGOG00000004994	22	9997766	10005765	1	SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]	SRRD	protein_coding	20	1014	ENSPTRG00000014194	22	12982094	13014459	-1	HPS4 biosis of lysosomal organelles complex 3 subunit 2 [Source:VGNC Symbol;Acc:VGNC:8860]	HPS4	protein_coding	ENSPTRG00000014195	22	13014469	13023190	1	SRR1 domain containing [Source:VGNC Symbol;Acc:VGNC:5999]	SRRD	protein_coding	10																																																																								
2782	ENSG00000221120	3	184241405	184241489	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSG00000214160	3	184242301	184249548	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	812																			25	ENSMICG00000019156	1	76787872	76787957	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSMICG00000048992	1	76788841	76793932	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	884	975	ENSPPAG00000009286	3	189758775	189758859	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSPPAG00000027959	3	189759699	189766391	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	840	939	ENSGGOG00000032805	3	187356921	187357005	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSGGOG00000007563	3	187357845	187364794	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	840	1122	ENSPTRG00000034747	3	188230294	188230378	1	ptr-mir-1224 [Source:miRBase;Acc:MI0006309]	ptr-mir-1224	miRNA	ENSPTRG00000047056	3	188231220	188237907	-1	ALG3 alpha-1,3- mannosyltransferase [Source:VGNC Symbol;Acc:VGNC:57673]	ALG3	protein_coding	842																																					1004	ENSPPYG00000021004	3	181926022	181926106	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSPPYG00000014350	3	181927043	181933661	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	937	120	ENSNLEG00000024020	11	109102012	109102096	1	microRNA 1224 [Source:HGNC Symbol;Acc:HGNC:33923]	MIR1224	miRNA	ENSNLEG00000006230	11	109102934	109110075	-1	ALG3 alpha-1,3- mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23056]	ALG3	protein_coding	838
3214	ENSG00000223501	6	33250272	33272047	-1	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	VPS52	protein_coding	ENSG00000231500	6	33272075	33276511	1	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	RPS18	protein_coding	28																			1044	ENSMICG00000027900	6	3220007	3232385	-1	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	VPS52	protein_coding	ENSMICG00000035485	6	3232382	3238104	1	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	RPS18	protein_coding	3	1112	ENSPPAG00000039628	6	33936683	33958404	-1	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	VPS52	protein_coding	ENSPPAG00000037432	6	33958471	33962941	1	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	RPS18	protein_coding	67																																																																																																												
3748	ENSG00000070610	9	35736866	35749228	-1	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	GBA2	protein_coding	ENSG00000107185	9	35749287	35758585	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	RGP1	protein_coding	59																			65	ENSMICG00000002543	10	68714068	68726746	-1	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	GBA2	protein_coding	ENSMICG00000002551	10	68726738	68733396	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	RGP1	protein_coding	8	1257	ENSPPAG00000042172	9	36390409	36402949	-1	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	GBA2	protein_coding	ENSPPAG00000027240	9	36403447	36411420	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	RGP1	protein_coding	498																			1424	ENSPTRG00000020919	9	36577664	36590003	-1	glucosylceramidase beta 2 [Source:VGNC Symbol;Acc:VGNC:8825]	GBA2	protein_coding	ENSPTRG00000020920	9	36590060	36598511	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:VGNC Symbol;Acc:VGNC:4847]	RGP1	protein_coding	57																																																																								
