Cow_BIP number	Cow_Gene stable ID	Cow_Chromosome/scaffold name	Cow_Gene start (bp)	Cow_Gene end (bp)	Cow_Strand	Cow_Gene description	Cow_Gene name	Cow_Gene type	Cow_Gene stable ID.1	Cow_Chromosome/scaffold name.1	Cow_Gene start (bp).1	Cow_Gene end (bp).1	Cow_Strand.1	Cow_Gene description.1	Cow_Gene name.1	Cow_Gene type.1	Cow_distance	Domestic_Yak__BIP number	Domestic_Yak__Gene stable ID	Domestic_Yak__Chromosome/scaffold name	Domestic_Yak__Gene start (bp)	Domestic_Yak__Gene end (bp)	Domestic_Yak__Strand	Domestic_Yak__Gene description	Domestic_Yak__Gene name	Domestic_Yak__Gene type	Domestic_Yak__Gene stable ID.1	Domestic_Yak__Chromosome/scaffold name.1	Domestic_Yak__Gene start (bp).1	Domestic_Yak__Gene end (bp).1	Domestic_Yak__Strand.1	Domestic_Yak__Gene description.1	Domestic_Yak__Gene name.1	Domestic_Yak__Gene type.1	Domestic_Yak__distance	Goat_BIP number	Goat_Gene stable ID	Goat_Chromosome/scaffold name	Goat_Gene start (bp)	Goat_Gene end (bp)	Goat_Strand	Goat_Gene description	Goat_Gene name	Goat_Gene type	Goat_Gene stable ID.1	Goat_Chromosome/scaffold name.1	Goat_Gene start (bp).1	Goat_Gene end (bp).1	Goat_Strand.1	Goat_Gene description.1	Goat_Gene name.1	Goat_Gene type.1	Goat_distance	Sperm_Whale_BIP number	Sperm_Whale_Gene stable ID	Sperm_Whale_Chromosome/scaffold name	Sperm_Whale_Gene start (bp)	Sperm_Whale_Gene end (bp)	Sperm_Whale_Strand	Sperm_Whale_Gene description	Sperm_Whale_Gene name	Sperm_Whale_Gene type	Sperm_Whale_Gene stable ID.1	Sperm_Whale_Chromosome/scaffold name.1	Sperm_Whale_Gene start (bp).1	Sperm_Whale_Gene end (bp).1	Sperm_Whale_Strand.1	Sperm_Whale_Gene description.1	Sperm_Whale_Gene name.1	Sperm_Whale_Gene type.1	Sperm_Whale_distance	Vaquita_BIP number	Vaquita_Gene stable ID	Vaquita_Chromosome/scaffold name	Vaquita_Gene start (bp)	Vaquita_Gene end (bp)	Vaquita_Strand	Vaquita_Gene description	Vaquita_Gene name	Vaquita_Gene type	Vaquita_Gene stable ID.1	Vaquita_Chromosome/scaffold name.1	Vaquita_Gene start (bp).1	Vaquita_Gene end (bp).1	Vaquita_Strand.1	Vaquita_Gene description.1	Vaquita_Gene name.1	Vaquita_Gene type.1	Vaquita_distance	Sheep_BIP number	Sheep_Gene stable ID	Sheep_Chromosome/scaffold name	Sheep_Gene start (bp)	Sheep_Gene end (bp)	Sheep_Strand	Sheep_Gene description	Sheep_Gene name	Sheep_Gene type	Sheep_Gene stable ID.1	Sheep_Chromosome/scaffold name.1	Sheep_Gene start (bp).1	Sheep_Gene end (bp).1	Sheep_Strand.1	Sheep_Gene description.1	Sheep_Gene name.1	Sheep_Gene type.1	Sheep_distance	Yarkand_Deer_BIP number	Yarkand_Deer_Gene stable ID	Yarkand_Deer_Chromosome/scaffold name	Yarkand_Deer_Gene start (bp)	Yarkand_Deer_Gene end (bp)	Yarkand_Deer_Strand	Yarkand_Deer_Gene description	Yarkand_Deer_Gene name	Yarkand_Deer_Gene type	Yarkand_Deer_Gene stable ID.1	Yarkand_Deer_Chromosome/scaffold name.1	Yarkand_Deer_Gene start (bp).1	Yarkand_Deer_Gene end (bp).1	Yarkand_Deer_Strand.1	Yarkand_Deer_Gene description.1	Yarkand_Deer_Gene name.1	Yarkand_Deer_Gene type.1	Yarkand_Deer_distance	Blue_Whale_BIP number	Blue_Whale_Gene stable ID	Blue_Whale_Chromosome/scaffold name	Blue_Whale_Gene start (bp)	Blue_Whale_Gene end (bp)	Blue_Whale_Strand	Blue_Whale_Gene description	Blue_Whale_Gene name	Blue_Whale_Gene type	Blue_Whale_Gene stable ID.1	Blue_Whale_Chromosome/scaffold name.1	Blue_Whale_Gene start (bp).1	Blue_Whale_Gene end (bp).1	Blue_Whale_Strand.1	Blue_Whale_Gene description.1	Blue_Whale_Gene name.1	Blue_Whale_Gene type.1	Blue_Whale_distance
2120	ENSBTAG00000019419	7	43805667	43814329	1	NADH:ubiquinone oxidoreductase core subunit S7 [Source:VGNC Symbol;Acc:VGNC:31972]	NDUFS7	protein_coding	ENSBTAG00000004112	7	43814689	43817695	-1	guanidinoacetate N-methyltransferase [Source:VGNC Symbol;Acc:VGNC:29243]	GAMT	protein_coding	360																																																																																											1018	ENSCHYG00000009337	9	40659842	40665744	1	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]	NDUFS7	protein_coding	ENSCHYG00000009404	9	40666242	40669228	-1	guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136]	GAMT	protein_coding	498																		
2137	ENSBTAG00000057611	7	52209642	52210173	1			protein_coding	ENSBTAG00000053160	7	52210138	52225922	-1			protein_coding	35																																																																																																																														
2215	ENSBTAG00000018613	8	83925220	83951207	-1	nucleolar protein 8 [Source:VGNC Symbol;Acc:VGNC:106844]	NOL8	protein_coding	ENSBTAG00000011814	8	83951223	84187164	1	centromere protein P [Source:VGNC Symbol;Acc:VGNC:59195]	CENPP	protein_coding	16																																																																																											341	ENSCHYG00000007435	16	16364073	16386629	-1	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	NOL8	protein_coding	ENSCHYG00000007599	16	16386301	16611039	1	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	CENPP	protein_coding	328	1103	ENSBMSG00010006380	6	26293915	26318782	-1	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	NOL8	protein_coding	ENSBMSG00010006410	6	26319322	26548793	1	centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]	CENPP	protein_coding	540
733	ENSBTAG00000048308	16	47112088	47119672	1	isoprenylcysteine carboxyl methyltransferase [Source:VGNC Symbol;Acc:VGNC:30029]	ICMT	protein_coding	ENSBTAG00000009075	16	47120164	47137137	-1	ring finger protein 207 [Source:VGNC Symbol;Acc:VGNC:34048]	RNF207	protein_coding	492																			209	ENSCHIG00000011865	16	45639744	45648772	1	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	ICMT	protein_coding	ENSCHIG00000017554	16	45649337	45663822	-1	ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]	RNF207	protein_coding	565																																																																																										
924	ENSBTAG00000006387	18	35327597	35338631	1	translin associated factor X interacting protein 1 [Source:VGNC Symbol;Acc:VGNC:36424]	TSNAXIP1	protein_coding	ENSBTAG00000006404	18	35338638	35344700	-1	centromere protein T [Source:VGNC Symbol;Acc:VGNC:27185]	CENPT	protein_coding	7																			270	ENSCHIG00000014033	18	36592680	36598315	1	translin associated factor X interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18586]	TSNAXIP1	protein_coding	ENSCHIG00000026636	18	36598588	36604340	-1	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	CENPT	protein_coding	273																																																																									686	ENSBMSG00010018897	19	41909014	41925519	1	translin associated factor X interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18586]	TSNAXIP1	protein_coding	ENSBMSG00010019145	19	41925694	41931367	-1	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	CENPT	protein_coding	175
934	ENSBTAG00000004864	18	43315273	43398182	-1	centrosomal protein 89 [Source:VGNC Symbol;Acc:VGNC:27218]	CEP89	protein_coding	ENSBTAG00000010403	18	43398431	43408232	1	FA core complex associated protein 24 [Source:VGNC Symbol;Acc:VGNC:28694]	FAAP24	protein_coding	249																			273	ENSCHIG00000014142	18	44379176	44456476	-1	centrosomal protein 89 [Source:HGNC Symbol;Acc:HGNC:25907]	CEP89	protein_coding	ENSCHIG00000021119	18	44456251	44460404	1	FA core complex associated protein 24 [Source:HGNC Symbol;Acc:HGNC:28467]	FAAP24	protein_coding	225																																																																																										
946	ENSBTAG00000007336	18	46589766	46591222	1	hematopoietic cell signal transducer [Source:VGNC Symbol;Acc:VGNC:29783]	HCST	protein_coding	ENSBTAG00000007338	18	46591329	46594497	-1	transmembrane immune signaling adaptor TYROBP [Source:VGNC Symbol;Acc:VGNC:36552]	TYROBP	protein_coding	107																			278	ENSCHIG00000024763	18	47434487	47435759	1	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	HCST	protein_coding	ENSCHIG00000011501	18	47436158	47438805	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	399																																																							659	ENSCHYG00000008142	4	43900043	43902564	1			protein_coding	ENSCHYG00000008197	4	43902687	43905985	-1	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	TYROBP	protein_coding	123																		
1080	ENSBTAG00000012739	19	26114946	26120375	1	complement C1q binding protein [Source:VGNC Symbol;Acc:VGNC:26618]	C1QBP	protein_coding	ENSBTAG00000025149	19	26119984	26127138	-1	RPA interacting protein [Source:VGNC Symbol;Acc:VGNC:34097]	RPAIN	protein_coding	391																			323	ENSCHIG00000027244	19	25928398	25933530	1	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	C1QBP	protein_coding	ENSCHIG00000026155	19	25933959	25940352	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	429																																																							776	ENSCHYG00000010760	5	93768645	93773310	1	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	C1QBP	protein_coding	ENSCHYG00000010883	5	93773477	93780223	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	167	884	ENSBMSG00010017913	20	49799449	49804536	1	complement C1q binding protein [Source:HGNC Symbol;Acc:HGNC:1243]	C1QBP	protein_coding	ENSBMSG00010017979	20	49804585	49811169	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	49
1081	ENSBTAG00000025149	19	26119984	26127138	-1	RPA interacting protein [Source:VGNC Symbol;Acc:VGNC:34097]	RPAIN	protein_coding	ENSBTAG00000011507	19	26128009	26149670	1	nucleoporin 88 [Source:VGNC Symbol;Acc:VGNC:32365]	NUP88	protein_coding	871																			324	ENSCHIG00000026155	19	25933959	25940352	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	ENSCHIG00000023339	19	25940968	25962229	1	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	NUP88	protein_coding	616																																																							777	ENSCHYG00000010883	5	93773477	93780223	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	ENSCHYG00000011165	5	93780777	93802519	1	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	NUP88	protein_coding	554	885	ENSBMSG00010017979	20	49804585	49811169	-1	RPA interacting protein [Source:HGNC Symbol;Acc:HGNC:28641]	RPAIN	protein_coding	ENSBMSG00010018074	20	49811242	49841033	1	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	NUP88	protein_coding	73
1192	ENSBTAG00000018175	19	50123881	50146056	-1	hexosaminidase D [Source:VGNC Symbol;Acc:VGNC:55838]	HEXD	protein_coding	ENSBTAG00000018172	19	50145753	50161356	1	2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:VGNC Symbol;Acc:VGNC:32410]	OGFOD3	protein_coding	303																			359	ENSCHIG00000019298	19	49688843	49705160	-1	hexosaminidase D [Source:HGNC Symbol;Acc:HGNC:26307]	HEXD	protein_coding	ENSCHIG00000000593	19	49706083	49722443	1	2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26174]	OGFOD3	protein_coding	923																			1106	ENSPSNG00000020963	20	46329596	46347844	-1	hexosaminidase D [Source:NCBI gene (formerly Entrezgene);Acc:116745096]	HEXD	protein_coding	ENSPSNG00000021025	20	46347573	46367035	1	2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:NCBI gene (formerly Entrezgene);Acc:116745098]	OGFOD3	protein_coding	271																			826	ENSCHYG00000020278	5	116840513	116855655	-1	hexosaminidase D [Source:HGNC Symbol;Acc:HGNC:26307]	HEXD	protein_coding	ENSCHYG00000020379	5	116855758	116872279	1	2-oxoglutarate and iron dependent oxygenase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26174]	OGFOD3	protein_coding	103																		
1200	ENSBTAG00000000356	19	51148536	51154185	-1	coiled-coil domain containing 137 [Source:VGNC Symbol;Acc:VGNC:26849]	CCDC137	protein_coding	ENSBTAG00000000355	19	51153830	51156611	1	oxidoreductase like domain containing 1 [Source:VGNC Symbol;Acc:VGNC:32511]	OXLD1	protein_coding	355																			366	ENSCHIG00000011693	19	50517444	50521861	-1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	ENSCHIG00000016238	19	50522048	50523307	1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	187																			1113	ENSPSNG00000014847	20	46963474	46969206	-1	coiled-coil domain containing 137 [Source:NCBI gene (formerly Entrezgene);Acc:116746105]	CCDC137	protein_coding	ENSPSNG00000014909	20	46969376	46970813	1	oxidoreductase like domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:116745785]	OXLD1	protein_coding	170																			831	ENSCHYG00000024590	5	117575834	117580122	-1	coiled-coil domain containing 137 [Source:HGNC Symbol;Acc:HGNC:33451]	CCDC137	protein_coding	ENSCHYG00000005913	5	117579816	117581580	1	oxidoreductase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27901]	OXLD1	protein_coding	306																		
1202	ENSBTAG00000066259	19	51480913	51482856	-1	NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]	NDUFAF8	protein_coding	ENSBTAG00000019972	19	51482970	51494284	1	TEPSIN adaptor related protein complex 4 accessory protein [Source:VGNC Symbol;Acc:VGNC:35747]	TEPSIN	protein_coding	114																			367	ENSCHIG00000022280	19	50849781	50851439	-1	NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]	NDUFAF8	protein_coding	ENSCHIG00000016910	19	50851800	50861465	1	TEPSIN adaptor related protein complex 4 accessory protein [Source:HGNC Symbol;Acc:HGNC:26458]	TEPSIN	protein_coding	361																																																																																										
1233	ENSBTAG00000011389	19	56576201	56647156	-1	transmembrane protein 104 [Source:VGNC Symbol;Acc:VGNC:55876]	TMEM104	protein_coding	ENSBTAG00000053909	19	56647357	56652832	1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	201																			378	ENSCHIG00000015871	19	55787819	55840314	-1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	ENSCHIG00000026210	19	55840453	55844335	1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	139																			1139	ENSPSNG00000021121	20	52199741	52258233	-1	transmembrane protein 104 [Source:NCBI gene (formerly Entrezgene);Acc:116745796]	TMEM104	protein_coding	ENSPSNG00000021176	20	52258393	52262667	1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	160																			846	ENSCHYG00000003299	5	122651608	122703810	-1	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	TMEM104	protein_coding	ENSCHYG00000003325	5	122704224	122709398	1	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	NAT9	protein_coding	414																		
1374	ENSBTAG00000014675	20	9254758	9286706	-1	pentatricopeptide repeat domain 2 [Source:VGNC Symbol;Acc:VGNC:33490]	PTCD2	protein_coding	ENSBTAG00000001962	20	9286275	9397042	1	mitochondrial ribosomal protein S27 [Source:VGNC Symbol;Acc:VGNC:31667]	MRPS27	protein_coding	431																			404	ENSCHIG00000017118	20	9263695	9298287	-1	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	PTCD2	protein_coding	ENSCHIG00000024940	20	9297653	9398535	1	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	MRPS27	protein_coding	634																			1281	ENSPSNG00000007260	3	116624438	116652553	-1	pentatricopeptide repeat domain 2 [Source:NCBI gene (formerly Entrezgene);Acc:116752333]	PTCD2	protein_coding	ENSPSNG00000007388	3	116652602	116743257	1	mitochondrial ribosomal protein S27 [Source:NCBI gene (formerly Entrezgene);Acc:116750470]	MRPS27	protein_coding	49																																																						
1375	ENSBTAG00000002073	20	10341517	10375453	-1	RAD17 checkpoint clamp loader component [Source:VGNC Symbol;Acc:VGNC:33678]	RAD17	protein_coding	ENSBTAG00000046192	20	10375638	10389675	1	adenylate kinase 6 [Source:VGNC Symbol;Acc:VGNC:25775]	AK6	protein_coding	185																			405	ENSCHIG00000020796	20	10350197	10385195	-1	RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807]	RAD17	protein_coding	ENSCHIG00000017952	20	10385639	10399486	1	adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]	AK6	protein_coding	444																																																																																										
1392	ENSBTAG00000033095	20	36690359	36974107	-1	WD repeat domain 70 [Source:VGNC Symbol;Acc:VGNC:36915]	WDR70	protein_coding	ENSBTAG00000002458	20	36974218	37024151	1	nucleoporin 155 [Source:VGNC Symbol;Acc:VGNC:32352]	NUP155	protein_coding	111																			410	ENSCHIG00000012219	20	36678389	36953641	-1	WD repeat domain 70 [Source:HGNC Symbol;Acc:HGNC:25495]	WDR70	protein_coding	ENSCHIG00000016985	20	36954547	37005488	1	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	NUP155	protein_coding	906																																																																																										
1406	ENSBTAG00000046019	20	71804565	71827899	-1	succinate dehydrogenase complex flavoprotein subunit A [Source:VGNC Symbol;Acc:VGNC:34388]	SDHA	protein_coding	ENSBTAG00000047780	20	71828109	71843714	1	coiled-coil domain containing 127 [Source:VGNC Symbol;Acc:VGNC:26843]	CCDC127	protein_coding	210																			419	ENSCHIG00000017916	20	71719671	71741367	-1	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	SDHA	protein_coding	ENSCHIG00000024092	20	71741366	71752296	1	coiled-coil domain containing 127 [Source:HGNC Symbol;Acc:HGNC:30520]	CCDC127	protein_coding	1																			1302	ENSPSNG00000003340	3	174103657	174125486	-1	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	SDHA	protein_coding	ENSPSNG00000003775	3	174125597	174139065	1	coiled-coil domain containing 127 [Source:NCBI gene (formerly Entrezgene);Acc:116752072]	CCDC127	protein_coding	111																																																						
1442	ENSBTAG00000009681	21	45369633	45395978	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:VGNC Symbol;Acc:VGNC:33259]	PPP2R3C	protein_coding	ENSBTAG00000009682	21	45395476	45528538	1	protein only RNase P catalytic subunit [Source:VGNC Symbol;Acc:VGNC:55893]	PRORP	protein_coding	502																			428	ENSCHIG00000015062	21	44779737	44805611	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	PPP2R3C	protein_coding	ENSCHIG00000026248	21	44806146	44941998	1	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	PRORP	protein_coding	535	382	ENSPCTG00005008942	11	118313893	118338771	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	PPP2R3C	protein_coding	ENSPCTG00005009126	11	118339740	118459243	1	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	KIAA0391	protein_coding	969	958	ENSPSNG00000019237	2	114063329	114088998	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:NCBI gene (formerly Entrezgene);Acc:116748480]	PPP2R3C	protein_coding	ENSPSNG00000019340	2	114089070	114217914	1	protein only RNase P catalytic subunit [Source:NCBI gene (formerly Entrezgene);Acc:116748478]	PRORP	protein_coding	72																			258	ENSCHYG00000006920	13	45790453	45814488	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	PPP2R3C	protein_coding	ENSCHYG00000007053	13	45814433	45974924	1	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	PRORP	protein_coding	55	770	ENSBMSG00010000349	2	112575557	112599541	-1	protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]	PPP2R3C	protein_coding	ENSBMSG00010000430	2	112600070	112724941	1	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	PRORP	protein_coding	529
1542	ENSBTAG00000007360	22	58064573	58085356	-1	transmembrane protein 43 [Source:VGNC Symbol;Acc:VGNC:99679]	TMEM43	protein_coding	ENSBTAG00000015529	22	58085451	58092161	1	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:VGNC Symbol;Acc:VGNC:27273]	CHCHD4	protein_coding	95																			457	ENSCHIG00000020802	22	58000420	58019628	-1	transmembrane protein 43 [Source:HGNC Symbol;Acc:HGNC:28472]	TMEM43	protein_coding	ENSCHIG00000018477	22	58020133	58025250	1	coiled-coil-helix-coiled-coil-helix domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26467]	CHCHD4	protein_coding	505																																																																																										
2047	ENSBTAG00000006247	7	12816113	12820023	1	deoxyhypusine synthase [Source:VGNC Symbol;Acc:VGNC:28038]	DHPS	protein_coding	ENSBTAG00000006245	7	12819935	12824095	-1	WD repeat domain 83 [Source:VGNC Symbol;Acc:VGNC:36923]	WDR83	protein_coding	88																			641	ENSCHIG00000011017	7	98186847	98190347	1	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	DHPS	protein_coding	ENSCHIG00000025793	7	98190511	98194444	-1	WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672]	WDR83	protein_coding	164																			1211	ENSPSNG00000000212	3	9890476	9894166	1	deoxyhypusine synthase [Source:NCBI gene (formerly Entrezgene);Acc:116751308]	DHPS	protein_coding	ENSPSNG00000000274	3	9894051	9898999	-1	WD repeat domain 83 [Source:NCBI gene (formerly Entrezgene);Acc:116751309]	WDR83	protein_coding	115																			977	ENSCHYG00000020871	9	10700168	10703646	1	deoxyhypusine synthase [Source:HGNC Symbol;Acc:HGNC:2869]	DHPS	protein_coding	ENSCHYG00000021020	9	10703805	10707712	-1	WD repeat domain 83 [Source:HGNC Symbol;Acc:HGNC:32672]	WDR83	protein_coding	159																		
2059	ENSBTAG00000016429	7	15749276	15751143	-1	transmembrane protein 205 [Source:VGNC Symbol;Acc:VGNC:36027]	TMEM205	protein_coding	ENSBTAG00000032292	7	15751886	15760182	1	coiled-coil domain containing 159 [Source:VGNC Symbol;Acc:VGNC:26863]	CCDC159	protein_coding	743																			634	ENSCHIG00000007462	7	95611605	95613407	-1	transmembrane protein 205 [Source:HGNC Symbol;Acc:HGNC:29631]	TMEM205	protein_coding	ENSCHIG00000025060	7	95614346	95621403	1	coiled-coil domain containing 159 [Source:HGNC Symbol;Acc:HGNC:26996]	CCDC159	protein_coding	939																																																																																										
2186	ENSBTAG00000042458	8	59833118	59833395	-1	RNase MRP [Source:RFAM;Acc:RF00030]	RNase_MRP	ribozyme	ENSBTAG00000011413	8	59833726	59838963	1	coiled-coil domain containing 107 [Source:VGNC Symbol;Acc:VGNC:26832]	CCDC107	protein_coding	331																			660	ENSCHIG00000003734	8	59648916	59649197	-1	RNase MRP [Source:RFAM;Acc:RF00030]	RNase_MRP	ribozyme	ENSCHIG00000015321	8	59649568	59652024	1	coiled-coil domain containing 107 [Source:HGNC Symbol;Acc:HGNC:28465]	CCDC107	protein_coding	371																																																																									1116	ENSBMSG00010004962	6	79612943	79613219	-1	RNase MRP [Source:RFAM;Acc:RF00030]	RNase_MRP	ribozyme	ENSBMSG00010004968	6	79613498	79616564	1	coiled-coil domain containing 107 [Source:HGNC Symbol;Acc:HGNC:28465]	CCDC107	protein_coding	279
2189	ENSBTAG00000011431	8	59905787	59916869	-1	glucosylceramidase beta 2 [Source:VGNC Symbol;Acc:VGNC:29275]	GBA2	protein_coding	ENSBTAG00000011433	8	59917005	59922869	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:VGNC Symbol;Acc:VGNC:33908]	RGP1	protein_coding	136																			663	ENSCHIG00000025213	8	59720887	59731222	-1	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	GBA2	protein_coding	ENSCHIG00000020979	8	59732106	59736104	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	RGP1	protein_coding	884																																																																									1120	ENSBMSG00010005012	6	79684489	79694783	-1	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]	GBA2	protein_coding	ENSBMSG00010005023	6	79695371	79701009	1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	RGP1	protein_coding	588
431	ENSBTAG00000013930	13	16092866	16109748	-1	ATP synthase F1 subunit gamma [Source:VGNC Symbol;Acc:VGNC:26301]	ATP5F1C	protein_coding	ENSBTAG00000013925	13	16109948	16147256	1	Kin17 DNA and RNA binding protein [Source:VGNC Symbol;Acc:VGNC:56190]	KIN	protein_coding	200																																					349	ENSPCTG00005003924	11	29409187	29428844	-1	ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]	ATP5F1C	protein_coding	ENSPCTG00005003946	11	29428190	29465829	1	Kin17 DNA and RNA binding protein [Source:HGNC Symbol;Acc:HGNC:6327]	KIN	protein_coding	654	895	ENSPSNG00000019251	2	23863585	23883671	-1	ATP synthase F1 subunit gamma [Source:NCBI gene (formerly Entrezgene);Acc:116749061]	ATP5F1C	protein_coding	ENSPSNG00000019341	2	23883855	23921151	1	Kin17 DNA and RNA binding protein [Source:NCBI gene (formerly Entrezgene);Acc:116749818]	KIN	protein_coding	184																																																						
734	ENSBTAG00000020015	16	49213744	49228476	-1	DNA fragmentation factor subunit beta [Source:VGNC Symbol;Acc:VGNC:28018]	DFFB	protein_coding	ENSBTAG00000020014	16	49228164	49267318	1	centrosomal protein 104 [Source:VGNC Symbol;Acc:VGNC:27189]	CEP104	protein_coding	312																																					105	ENSPCTG00005000740	3	29947026	29964521	-1	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	DFFB	protein_coding	ENSPCTG00005000771	3	29964592	30023071	1	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	CEP104	protein_coding	71																																																																								
823	ENSBTAG00000012790	17	62747154	62749907	-1	TP53 regulated inhibitor of apoptosis 1 [Source:VGNC Symbol;Acc:VGNC:36307]	TRIAP1	protein_coding	ENSBTAG00000012791	17	62749438	62755938	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	469																																					804	ENSPCTG00005009347	19	10118168	10120884	-1		TRIAP1	protein_coding	ENSPCTG00005009382	19	10120139	10165179	1	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol;Acc:HGNC:25068]	GATC	protein_coding	745																																																																								
