Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
1516,ENSGALG00010009463,2,135910197,135941311,-1,mitochondrial ribosomal protein L13 [Source:NCBI gene (formerly Entrezgene);Acc:420356],MRPL13,protein_coding,ENSGALG00010009479,2,135941323,135965254,1,MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417],MTBP,protein_coding,12,559,ENSPMJG00000011255,2,138136822,138168214,-1,mitochondrial ribosomal protein L13 [Source:NCBI gene;Acc:107199731],MRPL13,protein_coding,ENSPMJG00000011256,2,138167805,138196280,1,MDM2 binding protein [Source:NCBI gene;Acc:107199729],MTBP,protein_coding,409,892,ENSTGUG00000012400,2,138334463,138365084,-1,mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278],MRPL13,protein_coding,ENSTGUG00000012401,2,138364165,138393993,1,MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417],MTBP,protein_coding,919,418,ENSAPLG00000019065,2,143953151,143985078,-1,mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278],MRPL13,protein_coding,ENSAPLG00000005442,2,143985099,144015167,1,MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417],MTBP,protein_coding,21,567,ENSMGAG00000012570,3,81157635,81171581,-1,mitochondrial ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:14278],MRPL13,protein_coding,ENSMGAG00000012572,3,81172180,81195075,1,MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417],MTBP,protein_coding,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,ENSCJPG00005005563,2,123381311,123403954,-1,mitochondrial ribosomal protein L13 [Source:NCBI gene;Acc:107310495],MRPL13,protein_coding,ENSCJPG00005005568,2,123403423,123424418,1,MDM2 binding protein [Source:NCBI gene;Acc:107310494],MTBP,protein_coding,531,,,,,,,,,,,,,,,,,,
1521,ENSGALG00010008866,2,137695911,137719117,-1,WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984],WASHC5,protein_coding,ENSGALG00010008897,2,137719120,137847187,1,"NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase [Source:NCBI gene (formerly Entrezgene);Acc:420333]",NSMCE2,protein_coding,3,564,ENSPMJG00000011325,2,139947973,139970756,-1,WASH complex subunit 5 [Source:NCBI gene;Acc:107199982],WASHC5,protein_coding,ENSPMJG00000011326,2,139971683,140098513,1,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:NCBI gene;Acc:107199984]",NSMCE2,protein_coding,927,898,ENSTGUG00000012498,2,140131317,140156371,-1,WASH complex subunit 5 [Source:NCBI gene;Acc:100222726],WASHC5,protein_coding,ENSTGUG00000012507,2,140156402,140282183,1,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:NCBI gene;Acc:100226541]",NSMCE2,protein_coding,31,423,ENSAPLG00000014127,2,145747455,145774856,-1,WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984],WASHC5,protein_coding,ENSAPLG00000014092,2,145774999,145902023,1,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]",NSMCE2,protein_coding,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,ENSCJPG00005006014,2,125012189,125031987,-1,WASH complex subunit 5 [Source:NCBI gene;Acc:107310533],WASHC5,protein_coding,ENSCJPG00005006017,2,125032008,125149575,1,"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:NCBI gene;Acc:107310536]",NSMCE2,protein_coding,21,,,,,,,,,,,,,,,,,,
1678,ENSGALG00010017705,22,1770937,1774302,1,MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703],MAK16,protein_coding,ENSGALG00010017726,22,1774058,1777575,-1,TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262],TTI2,protein_coding,244,648,ENSPMJG00000017803,22,2879482,2882589,1,MAK16 homolog [Source:NCBI gene;Acc:107213793],MAK16,protein_coding,ENSPMJG00000017804,22,2883005,2885988,-1,TELO2 interacting protein 2 [Source:NCBI gene;Acc:107213831],TTI2,protein_coding,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157,ENSSHBG00005007784,22,2393157,2396635,1,MAK16 homolog [Source:NCBI gene;Acc:115618364],MAK16,protein_coding,ENSSHBG00005007805,22,2396604,2400362,-1,TELO2 interacting protein 2 [Source:NCBI gene;Acc:115618362],TTI2,protein_coding,31,,,,,,,,,,,,,,,,,,,705,ENSCJPG00005015149,22,2965271,2968703,1,MAK16 homolog [Source:NCBI gene;Acc:107323768],MAK16,protein_coding,ENSCJPG00005015150,22,2968119,2972827,-1,TELO2 interacting protein 2 [Source:NCBI gene;Acc:107323767],TTI2,protein_coding,584,475,ENSFALG00000006827,22,4380693,4384872,1,MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703],MAK16,protein_coding,ENSFALG00000006824,22,4384889,4390089,-1,TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262],TTI2,protein_coding,17
1779,ENSGALG00010020574,3,21713552,21738199,-1,denticleless E3 ubiquitin  [Source:NCBI gene (formerly Entrezgene);Acc:421373],DTL,protein_coding,ENSGALG00010020590,3,21738435,21771201,1,integrator complex subunit 7 [Source:NCBI gene (formerly Entrezgene);Acc:421374],INTS7,protein_coding,236,684,ENSPMJG00000013575,3,21651645,21671808,-1,denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene;Acc:107202513],DTL,protein_coding,ENSPMJG00000013576,3,21671838,21695000,1,integrator complex subunit 7 [Source:NCBI gene;Acc:107202020],INTS7,protein_coding,30,,,,,,,,,,,,,,,,,,,506,ENSAPLG00000016053,3,22716595,22738811,-1,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],DTL,protein_coding,ENSAPLG00000016233,3,22738608,22779381,1,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],INTS7,protein_coding,203,412,ENSMGAG00000009764,2,21026408,21047722,-1,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],DTL,protein_coding,ENSMGAG00000009791,2,21047421,21069074,1,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],INTS7,protein_coding,301,1548,ENSSHBG00005006047,11,41874824,41896849,-1,denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene;Acc:115613941],DTL,protein_coding,ENSSHBG00005006098,11,41897138,41923060,1,integrator complex subunit 7 [Source:NCBI gene;Acc:115613450],INTS7,protein_coding,289,294,ENSACCG00020008681,13,11844000,11864620,-1,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],DTL,protein_coding,ENSACCG00020008723,13,11864619,11890009,1,integrator complex subunit 7 [Source:NCBI gene;Acc:115350019],INTS7,protein_coding,1,735,ENSCJPG00005007484,3,19431788,19453456,-1,denticleless E3 ubiquitin protein ligase homolog [Source:NCBI gene;Acc:107311097],DTL,protein_coding,ENSCJPG00005007485,3,19452822,19472608,1,integrator complex subunit 7 [Source:NCBI gene;Acc:107311080],INTS7,protein_coding,634,493,ENSFALG00000012431,3,22070217,22092290,-1,denticleless E3 ubiquitin protein ligase homolog [Source:HGNC Symbol;Acc:HGNC:30288],DTL,protein_coding,ENSFALG00000012450,3,22093044,22117007,1,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484],INTS7,protein_coding,754
2198,ENSGALG00010017789,4,84991536,85004459,-1,inner membrane mitochondrial protein [Source:NCBI gene (formerly Entrezgene);Acc:422912],IMMT,protein_coding,ENSGALG00010017807,4,85004415,85014774,1,mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489],MRPL35,protein_coding,44,790,ENSPMJG00000016788,4,63208798,63230536,-1,inner membrane mitochondrial protein [Source:NCBI gene;Acc:107203011],IMMT,protein_coding,ENSPMJG00000016789,4,63229862,63233313,1,mitochondrial ribosomal protein L35 [Source:NCBI gene;Acc:107202753],MRPL35,protein_coding,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,ENSCJPG00005006143,4,77501665,77510444,-1,inner membrane mitochondrial protein [Source:NCBI gene;Acc:107313903],IMMT,protein_coding,ENSCJPG00005006147,4,77509871,77512951,1,mitochondrial ribosomal protein L35 [Source:NCBI gene;Acc:107313907],MRPL35,protein_coding,573,,,,,,,,,,,,,,,,,,
2277,ENSGALG00010026203,5,16531228,16533624,-1,thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739],TMX2,protein_coding,ENSGALG00010026209,5,16533570,16535772,1,mediator complex subunit 19 [Source:HGNC Symbol;Acc:HGNC:29600],MED19,protein_coding,54,813,ENSPMJG00000006428,5,6327576,6329513,-1,thioredoxin related transmembrane protein 2 [Source:NCBI gene;Acc:107205514],TMX2,protein_coding,ENSPMJG00000006481,5,6329745,6331087,1,mediator complex subunit 19 [Source:NCBI gene;Acc:107205515],MED19,protein_coding,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,ENSSHBG00005001966,5,106821,109069,-1,thioredoxin related transmembrane protein 2 [Source:NCBI gene;Acc:115607106],TMX2,protein_coding,ENSSHBG00005001983,5,109172,111401,1,mediator complex subunit 19 [Source:NCBI gene;Acc:115607114],MED19,protein_coding,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,ENSGALG00010019635,5,25240197,25257252,-1,leucine rich repeat containing 57 [Source:NCBI gene (formerly Entrezgene);Acc:423236],LRRC57,protein_coding,ENSGALG00010019693,5,25256834,25261968,1,HAUS augmin like complex subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:423237],HAUS2,protein_coding,418,854,ENSPMJG00000014788,5,25892599,25897132,-1,leucine rich repeat containing 57 [Source:NCBI gene;Acc:107205590],LRRC57,protein_coding,ENSPMJG00000014789,5,25898028,25902599,1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:107205358],HAUS2,protein_coding,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,ENSSHBG00005004315,5,8582918,8588878,-1,leucine rich repeat containing 57 [Source:NCBI gene;Acc:115606498],LRRC57,protein_coding,ENSSHBG00005004324,5,8588945,8594327,1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:115606497],HAUS2,protein_coding,67,,,,,,,,,,,,,,,,,,,940,ENSCJPG00005014479,5,23078765,23082883,-1,leucine rich repeat containing 57 [Source:NCBI gene;Acc:107314897],LRRC57,protein_coding,ENSCJPG00005014480,5,23082542,23086417,1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:107314896],HAUS2,protein_coding,341,626,ENSFALG00000005637,5,26966860,26971382,-1,leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719],LRRC57,protein_coding,ENSFALG00000027493,5,26971955,26977238,1,HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530],HAUS2,protein_coding,573
2332,ENSGALG00010006363,5,37105592,37111101,-1,trafficking protein particle complex 6A [Source:NCBI gene (formerly Entrezgene);Acc:423337],TRAPPC6A,protein_coding,ENSGALG00010006382,5,37111174,37122200,1,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]",PNN,protein_coding,73,864,ENSPMJG00000016685,5,38517456,38522242,-1,trafficking protein particle complex 6B [Source:NCBI gene;Acc:107205671],TRAPPC6B,protein_coding,ENSPMJG00000016686,5,38523234,38532364,1,"pinin, desmosome associated protein [Source:NCBI gene;Acc:107205669]",PNN,protein_coding,992,1465,ENSTGUG00000012044,5,38361799,38367100,-1,trafficking protein particle complex 6B [Source:NCBI gene;Acc:100230566],TRAPPC6B,protein_coding,ENSTGUG00000012046,5,38367578,38377459,1,"pinin, desmosome associated protein [Source:NCBI gene;Acc:100227753]",PNN,protein_coding,478,,,,,,,,,,,,,,,,,,,644,ENSMGAG00000012571,5,36678539,36682917,-1,trafficking protein particle complex 6B [Source:HGNC Symbol;Acc:HGNC:23066],TRAPPC6B,protein_coding,ENSMGAG00000012573,5,36683313,36692366,1,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]",PNN,protein_coding,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,ENSGALG00010004944,5,38850952,38864160,-1,"alkB homolog 1, histone H2A dioxygenase [Source:NCBI gene (formerly Entrezgene);Acc:428898]",ALKBH1,protein_coding,ENSGALG00010004950,5,38863900,38868354,1,SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495],SLIRP,protein_coding,260,874,ENSPMJG00000016853,5,40448889,40461999,-1,"alkB homolog 1, histone H2A dioxygenase [Source:NCBI gene;Acc:107205878]",ALKBH1,protein_coding,ENSPMJG00000016854,5,40461462,40466060,1,SRA stem-loop interacting RNA binding protein [Source:NCBI gene;Acc:107205879],SLIRP,protein_coding,537,1474,ENSTGUG00000012335,5,40273622,40288385,-1,"alkB homolog 1, histone H2A dioxygenase [Source:NCBI gene;Acc:100232482]",ALKBH1,protein_coding,ENSTGUG00000012337,5,40287810,40292135,1,SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495],SLIRP,protein_coding,575,660,ENSAPLG00000015685,5,41623633,41636907,-1,"alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]",ALKBH1,protein_coding,ENSAPLG00000000880,5,41636559,41641851,1,SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495],SLIRP,protein_coding,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,ENSCJPG00005019292,5,35679842,35687817,-1,"alkB homolog 1, histone H2A dioxygenase [Source:NCBI gene;Acc:107315133]",ALKBH1,protein_coding,ENSCJPG00005019293,5,35687889,35692595,1,SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495],SLIRP,protein_coding,72,,,,,,,,,,,,,,,,,,
2392,ENSGALG00010017041,5,54311438,54315680,-1,JNK1/MAPK8-associated membrane protein [Source:NCBI gene (formerly Entrezgene);Acc:423530],JKAMP,protein_coding,ENSGALG00010017050,5,54315902,54319072,1,trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488],L3HYPDH,protein_coding,222,889,ENSPMJG00000002359,5,56988736,56993937,-1,JNK1/MAPK8 associated membrane protein [Source:NCBI gene;Acc:107206386],JKAMP,protein_coding,ENSPMJG00000002365,5,56993672,56996444,1,trans-L-3-hydroxyproline dehydratase [Source:NCBI gene;Acc:107206387],L3HYPDH,protein_coding,265,1501,ENSTGUG00000013008,5,56699066,56706435,-1,JNK1/MAPK8 associated membrane protein [Source:NCBI gene;Acc:100220101],JKAMP,protein_coding,ENSTGUG00000013009,5,56706720,56709883,1,trans-L-3-hydroxyproline dehydratase [Source:NCBI gene;Acc:100232596],L3HYPDH,protein_coding,285,669,ENSAPLG00000014595,5,58730533,58734439,-1,JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184],JKAMP,protein_coding,ENSAPLG00000028035,5,58734586,58736559,1,trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488],L3HYPDH,protein_coding,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,ENSCJPG00005005651,5,49824572,49828491,-1,JNK1/MAPK8 associated membrane protein [Source:NCBI gene;Acc:107315419],JKAMP,protein_coding,ENSCJPG00005005653,5,49828897,49831529,1,trans-L-3-hydroxyproline dehydratase [Source:NCBI gene;Acc:107315418],L3HYPDH,protein_coding,406,653,ENSFALG00000024090,5,59271722,59276668,-1,JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184],JKAMP,protein_coding,ENSFALG00000003479,5,59276458,59280868,1,trans-L-3-hydroxyproline dehydratase [Source:HGNC Symbol;Acc:HGNC:20488],L3HYPDH,protein_coding,210
2397,ENSGALG00010017201,5,55166543,55176798,-1,adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192],AP5M1,protein_coding,ENSGALG00010017252,5,55176791,55243211,1,exocyst complex component 5 [Source:NCBI gene (formerly Entrezgene);Acc:423549],EXOC5,protein_coding,7,890,ENSPMJG00000003336,5,57795060,57804988,-1,adaptor related protein complex 5 subunit mu 1 [Source:NCBI gene;Acc:107206458],AP5M1,protein_coding,ENSPMJG00000003341,5,57804888,57829739,1,exocyst complex component 5 [Source:NCBI gene;Acc:107206202],EXOC5,protein_coding,100,1503,ENSTGUG00000013050,5,57552339,57562226,-1,adaptor related protein complex 5 subunit mu 1 [Source:NCBI gene;Acc:100226786],AP5M1,protein_coding,ENSTGUG00000013051,5,57562279,57588305,1,exocyst complex component 5 [Source:NCBI gene;Acc:100218177],EXOC5,protein_coding,53,670,ENSAPLG00000001799,5,59687739,59696725,-1,adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192],AP5M1,protein_coding,ENSAPLG00000002629,5,59696997,59722855,1,exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696],EXOC5,protein_coding,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,ENSCJPG00005006162,5,50500958,50509743,-1,adaptor related protein complex 5 subunit mu 1 [Source:NCBI gene;Acc:107315458],AP5M1,protein_coding,ENSCJPG00005006164,5,50509742,50532011,1,exocyst complex component 5 [Source:NCBI gene;Acc:107315457],EXOC5,protein_coding,1,,,,,,,,,,,,,,,,,,
2475,ENSGALG00010022221,6,22887011,22891554,-1,cutC copper transporter [Source:NCBI gene (formerly Entrezgene);Acc:423829],CUTC,protein_coding,ENSGALG00010022234,6,22890734,22896237,1,"COX15, cytochrome c oxidase assembly homolog [Source:NCBI gene (formerly Entrezgene);Acc:423830]",COX15,protein_coding,820,922,ENSPMJG00000003894,6,20170351,20175101,-1,cutC copper transporter [Source:NCBI gene;Acc:107206691],CUTC,protein_coding,ENSPMJG00000003900,6,20175027,20180377,1,cytochrome c oxidase assembly protein COX15 homolog [Source:NCBI gene;Acc:107206690],COX15,protein_coding,74,1555,ENSTGUG00000009354,6,20978285,20986613,-1,cutC copper transporter [Source:NCBI gene;Acc:100219975],CUTC,protein_coding,ENSTGUG00000009368,6,20986428,20991091,1,cytochrome c oxidase assembly protein COX15 homolog [Source:NCBI gene;Acc:100232471],COX15,protein_coding,185,,,,,,,,,,,,,,,,,,,731,ENSMGAG00000009482,8,21465463,21468660,-1,cutC copper transporter [Source:HGNC Symbol;Acc:HGNC:24271],,protein_coding,ENSMGAG00000009501,8,21467953,21472327,1,cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263],COX15,protein_coding,707,975,ENSSHBG00005020740,6,67018931,67023916,-1,cutC copper transporter [Source:NCBI gene;Acc:115608014],CUTC,protein_coding,ENSSHBG00005020758,6,67023927,67030491,1,cytochrome c oxidase assembly protein COX15 homolog [Source:NCBI gene;Acc:115608015],COX15,protein_coding,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,ENSGALG00010020673,6,23119149,23133203,1,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]",MMS19,protein_coding,ENSGALG00010020682,6,23132632,23138564,-1,zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,571,927,ENSPMJG00000004087,6,20479468,20495018,1,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:NCBI gene;Acc:107206694]",MMS19,protein_coding,ENSPMJG00000004117,6,20495572,20499299,-1,zinc finger DHHC-type containing 16 [Source:NCBI gene;Acc:107206696],ZDHHC16,protein_coding,554,1563,ENSTGUG00000009642,6,21287336,21302479,1,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:NCBI gene;Acc:100225711]",MMS19,protein_coding,ENSTGUG00000009668,6,21302637,21308580,-1,zinc finger DHHC-type containing 16 [Source:NCBI gene;Acc:100222845],ZDHHC16,protein_coding,158,,,,,,,,,,,,,,,,,,,733,ENSMGAG00000009774,8,21690900,21702343,1,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]",MMS19,protein_coding,ENSMGAG00000009803,8,21702847,21707054,-1,zinc finger DHHC-type palmitoyltransferase 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,504,983,ENSSHBG00005020943,6,67328010,67343144,1,"MMS19 homolog, cytosolic iron-sulfur assembly component [Source:NCBI gene;Acc:115608263]",MMS19,protein_coding,ENSSHBG00005020956,6,67343316,67349132,-1,zinc finger DHHC-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20714],ZDHHC16,protein_coding,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
