Mouse_BIP number,Mouse_Gene stable ID,Mouse_Chromosome/scaffold name,Mouse_Gene start (bp),Mouse_Gene end (bp),Mouse_Strand,Mouse_Gene description,Mouse_Gene name,Mouse_Gene type,Mouse_Gene stable ID.1,Mouse_Chromosome/scaffold name.1,Mouse_Gene start (bp).1,Mouse_Gene end (bp).1,Mouse_Strand.1,Mouse_Gene description.1,Mouse_Gene name.1,Mouse_Gene type.1,Mouse_distance,Rat_BIP number,Rat_Gene stable ID,Rat_Chromosome/scaffold name,Rat_Gene start (bp),Rat_Gene end (bp),Rat_Strand,Rat_Gene description,Rat_Gene name,Rat_Gene type,Rat_Gene stable ID.1,Rat_Chromosome/scaffold name.1,Rat_Gene start (bp).1,Rat_Gene end (bp).1,Rat_Strand.1,Rat_Gene description.1,Rat_Gene name.1,Rat_Gene type.1,Rat_distance,Algerian_Mouse_BIP number,Algerian_Mouse_Gene stable ID,Algerian_Mouse_Chromosome/scaffold name,Algerian_Mouse_Gene start (bp),Algerian_Mouse_Gene end (bp),Algerian_Mouse_Strand,Algerian_Mouse_Gene description,Algerian_Mouse_Gene name,Algerian_Mouse_Gene type,Algerian_Mouse_Gene stable ID.1,Algerian_Mouse_Chromosome/scaffold name.1,Algerian_Mouse_Gene start (bp).1,Algerian_Mouse_Gene end (bp).1,Algerian_Mouse_Strand.1,Algerian_Mouse_Gene description.1,Algerian_Mouse_Gene name.1,Algerian_Mouse_Gene type.1,Algerian_Mouse_distance,Shrew_Mouse_BIP number,Shrew_Mouse_Gene stable ID,Shrew_Mouse_Chromosome/scaffold name,Shrew_Mouse_Gene start (bp),Shrew_Mouse_Gene end (bp),Shrew_Mouse_Strand,Shrew_Mouse_Gene description,Shrew_Mouse_Gene name,Shrew_Mouse_Gene type,Shrew_Mouse_Gene stable ID.1,Shrew_Mouse_Chromosome/scaffold name.1,Shrew_Mouse_Gene start (bp).1,Shrew_Mouse_Gene end (bp).1,Shrew_Mouse_Strand.1,Shrew_Mouse_Gene description.1,Shrew_Mouse_Gene name.1,Shrew_Mouse_Gene type.1,Shrew_Mouse_distance,Ryukyu_Mouse_BIP number,Ryukyu_Mouse_Gene stable ID,Ryukyu_Mouse_Chromosome/scaffold name,Ryukyu_Mouse_Gene start (bp),Ryukyu_Mouse_Gene end (bp),Ryukyu_Mouse_Strand,Ryukyu_Mouse_Gene description,Ryukyu_Mouse_Gene name,Ryukyu_Mouse_Gene type,Ryukyu_Mouse_Gene stable ID.1,Ryukyu_Mouse_Chromosome/scaffold name.1,Ryukyu_Mouse_Gene start (bp).1,Ryukyu_Mouse_Gene end (bp).1,Ryukyu_Mouse_Strand.1,Ryukyu_Mouse_Gene description.1,Ryukyu_Mouse_Gene name.1,Ryukyu_Mouse_Gene type.1,Ryukyu_Mouse_distance
2014,ENSMUSG00000065540,2,26481369,26481441,1,microRNA 126a [Source:MGI Symbol;Acc:MGI:2676811],Mir126a,miRNA,ENSMUSG00000105799,2,26481375,26481432,-1,microRNA 126b [Source:MGI Symbol;Acc:MGI:5562755],Mir126b,miRNA,63,,,,,,,,,,,,,,,,,,,1334,MGP_SPRETEiJ_G0008078,2,24469841,24469913,1,microRNA 126a [Source:MGI Symbol;Acc:MGI:2676811],Mir126a,miRNA,MGP_SPRETEiJ_G0008079,2,24469847,24469904,-1,microRNA 126b [Source:MGI Symbol;Acc:MGI:5562755],Mir126b,miRNA,63,1714,MGP_PahariEiJ_G0007309,3,13759456,13759528,1,microRNA 126a [Source:MGI Symbol;Acc:MGI:2676811],Mir126a,miRNA,MGP_PahariEiJ_G0007310,3,13759462,13759519,-1,microRNA 126b [Source:MGI Symbol;Acc:MGI:5562755],Mir126b,miRNA,63,1362,MGP_CAROLIEiJ_G0007689,2,22489081,22489153,1,microRNA 126a [Source:MGI Symbol;Acc:MGI:2676811],Mir126a,miRNA,MGP_CAROLIEiJ_G0007690,2,22489087,22489144,-1,microRNA 126b [Source:MGI Symbol;Acc:MGI:5562755],Mir126b,miRNA,63
2025,ENSMUSG00000026812,2,28531240,28581179,1,TSC complex subunit 1 [Source:MGI Symbol;Acc:MGI:1929183],Tsc1,protein_coding,ENSMUSG00000026809,2,28582092,28589739,-1,sperm acrosome associated 9 [Source:MGI Symbol;Acc:MGI:1917237],Spaca9,protein_coding,913,,,,,,,,,,,,,,,,,,,1344,MGP_SPRETEiJ_G0024273,2,26592123,26646550,1,TSC complex subunit 1 [Source:MGI Symbol;Acc:MGI:1929183],Tsc1,protein_coding,MGP_SPRETEiJ_G0024274,2,26647470,26655144,-1,sperm acrosome associated 9 [Source:MGI Symbol;Acc:MGI:1917237],Spaca9,protein_coding,920,1724,MGP_PahariEiJ_G0024813,3,15930425,15981915,1,TSC complex subunit 1 [Source:NCBI gene;Acc:110318637],Tsc1,protein_coding,MGP_PahariEiJ_G0024814,3,15982826,15991177,-1,sperm acrosome associated 9 [Source:MGI Symbol;Acc:MGI:1917237],Spaca9,protein_coding,911,1374,MGP_CAROLIEiJ_G0023356,2,24511304,24560730,1,TSC complex subunit 1 [Source:NCBI gene;Acc:110312162],Tsc1,protein_coding,MGP_CAROLIEiJ_G0023357,2,24561608,24570758,-1,sperm acrosome associated 9 [Source:NCBI gene;Acc:110289743],Spaca9,protein_coding,878
2038,ENSMUSG00000044320,2,30684781,30693673,-1,RIKEN cDNA 1700001O22 gene [Source:MGI Symbol;Acc:MGI:1923631],1700001O22Rik,protein_coding,ENSMUSG00000085491,2,30693805,30697441,1,RIKEN cDNA 4930527E20 gene [Source:MGI Symbol;Acc:MGI:1925448],4930527E20Rik,lncRNA,132,,,,,,,,,,,,,,,,,,,1355,MGP_SPRETEiJ_G0024316,2,28887963,28896905,-1,RIKEN cDNA 1700001O22 gene [Source:MGI Symbol;Acc:MGI:1923631],1700001O22Rik,protein_coding,MGP_SPRETEiJ_G0003317,2,28897037,28900674,1,RIKEN cDNA 4930527E20 gene [Source:MGI Symbol;Acc:MGI:1925448],4930527E20Rik,antisense,132,1735,MGP_PahariEiJ_G0024856,3,18070190,18079396,-1,chromosome 3 C9orf50 homolog [Source:NCBI gene;Acc:110319287],1700001O22Rik,protein_coding,MGP_PahariEiJ_G0003256,3,18079532,18083167,1,RIKEN cDNA 4930527E20 gene [Source:MGI Symbol;Acc:MGI:1925448],4930527E20Rik,antisense,136,1385,MGP_CAROLIEiJ_G0023399,2,26661313,26670500,-1,chromosome 2 C9orf50 homolog [Source:NCBI gene;Acc:110289466],1700001O22Rik,protein_coding,MGP_CAROLIEiJ_G0003154,2,26670639,26674245,1,RIKEN cDNA 4930527E20 gene [Source:MGI Symbol;Acc:MGI:1925448],4930527E20Rik,antisense,139
2044,ENSMUSG00000090157,2,31940098,31954923,-1,predicted gene 16534 [Source:MGI Symbol;Acc:MGI:4413442],Gm16534,lncRNA,ENSMUSG00000099075,2,31940958,31941020,1,microRNA 7674 [Source:MGI Symbol;Acc:MGI:5530945],Mir7674,miRNA,922,,,,,,,,,,,,,,,,,,,1361,MGP_SPRETEiJ_G0014303,2,30250380,30267881,-1,predicted gene 16534 [Source:MGI Symbol;Acc:MGI:4413442],Gm16534,processed_transcript,MGP_SPRETEiJ_G0008090,2,30251237,30251299,1,microRNA 7674 [Source:MGI Symbol;Acc:MGI:5530945],Mir7674,miRNA,919,,,,,,,,,,,,,,,,,,,1391,MGP_CAROLIEiJ_G0013546,2,27927715,27942890,-1,predicted gene 16534 [Source:MGI Symbol;Acc:MGI:4413442],Gm16534,processed_transcript,MGP_CAROLIEiJ_G0007701,2,27928569,27928631,1,microRNA 7674 [Source:MGI Symbol;Acc:MGI:5530945],Mir7674,miRNA,916
2052,ENSMUSG00000053746,2,32665798,32667609,1,peptidyl-tRNA hydrolase 1 homolog [Source:MGI Symbol;Acc:MGI:1913779],Ptrh1,protein_coding,ENSMUSG00000038987,2,32667393,32674440,-1,cilia and flagella associated protein 157 [Source:MGI Symbol;Acc:MGI:2447809],Cfap157,protein_coding,216,,,,,,,,,,,,,,,,,,,1369,MGP_SPRETEiJ_G0024367,2,31034314,31036132,1,peptidyl-tRNA hydrolase 1 homolog [Source:MGI Symbol;Acc:MGI:1913779],Ptrh1,protein_coding,MGP_SPRETEiJ_G0024368,2,31035915,31042937,-1,cilia and flagella associated protein 157 [Source:MGI Symbol;Acc:MGI:2447809],Cfap157,protein_coding,217,1748,MGP_PahariEiJ_G0024907,3,20047022,20048973,1,peptidyl-tRNA hydrolase 1 homolog [Source:NCBI gene;Acc:110317818],Ptrh1,protein_coding,MGP_PahariEiJ_G0024908,3,20048756,20055268,-1,cilia and flagella associated protein 157 [Source:NCBI gene;Acc:110317817],Cfap157,protein_coding,217,1399,MGP_CAROLIEiJ_G0023450,2,28652009,28653824,1,peptidyl-tRNA hydrolase 1 homolog [Source:NCBI gene;Acc:110287884],Ptrh1,protein_coding,MGP_CAROLIEiJ_G0023451,2,28653607,28660847,-1,cilia and flagella associated protein 157 [Source:NCBI gene;Acc:110287873],Cfap157,protein_coding,217
2062,ENSMUSG00000026889,2,36006091,36026785,-1,RNA binding motif protein 18 [Source:MGI Symbol;Acc:MGI:1915139],Rbm18,protein_coding,ENSMUSG00000026887,2,36026401,36080659,1,mitochondrial ribosome recycling factor [Source:MGI Symbol;Acc:MGI:1915121],Mrrf,protein_coding,384,,,,,,,,,,,,,,,,,,,1376,MGP_SPRETEiJ_G0024405,2,34551772,34571377,-1,RNA binding motif protein 18 [Source:MGI Symbol;Acc:MGI:1915139],Rbm18,protein_coding,MGP_SPRETEiJ_G0024406,2,34571151,34632671,1,mitochondrial ribosome recycling factor [Source:MGI Symbol;Acc:MGI:1915121],Mrrf,protein_coding,226,1757,MGP_PahariEiJ_G0024945,3,23431300,23450993,-1,RNA binding motif protein 18 [Source:NCBI gene;Acc:110317745],Rbm18,protein_coding,MGP_PahariEiJ_G0024946,3,23450767,23504850,1,mitochondrial ribosome recycling factor [Source:NCBI gene;Acc:110317744],Mrrf,protein_coding,226,1406,MGP_CAROLIEiJ_G0023488,2,32005384,32026836,-1,RNA binding motif protein 18 [Source:NCBI gene;Acc:110289368],Rbm18,protein_coding,MGP_CAROLIEiJ_G0023489,2,32026450,32079920,1,mitochondrial ribosome recycling factor [Source:MGI Symbol;Acc:MGI:1915121],Mrrf,protein_coding,386
2079,ENSMUSG00000084938,2,57017489,57071783,-1,expressed sequence BB557941 [Source:MGI Symbol;Acc:MGI:3034820],BB557941,lncRNA,ENSMUSG00000086396,2,57071843,57078269,1,RIKEN cDNA 4930555B11 gene [Source:MGI Symbol;Acc:MGI:1922529],4930555B11Rik,lncRNA,60,,,,,,,,,,,,,,,,,,,1392,MGP_SPRETEiJ_G0014309,2,56060535,56110745,-1,expressed sequence BB557941 [Source:MGI Symbol;Acc:MGI:3034820],BB557941,processed_transcript,MGP_SPRETEiJ_G0014310,2,56110822,56118228,1,,,processed_transcript,77,1771,MGP_PahariEiJ_G0012359,3,43720220,43766638,-1,uncharacterized LOC110319311 [Source:NCBI gene;Acc:110319311],,processed_transcript,MGP_PahariEiJ_G0012360,3,43766715,43772994,1,,,processed_transcript,77,1419,MGP_CAROLIEiJ_G0013552,2,52091985,52139450,-1,uncharacterized LOC110307984 [Source:NCBI gene;Acc:110307984],,processed_transcript,MGP_CAROLIEiJ_G0013553,2,52139527,52145735,1,,,processed_transcript,77
2080,ENSMUSG00000054181,2,57126239,57128520,-1,RIKEN cDNA A930012O16 gene [Source:MGI Symbol;Acc:MGI:2442255],A930012O16Rik,lncRNA,ENSMUSG00000026827,2,57127647,57260731,1,"glycerol phosphate dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99778]",Gpd2,protein_coding,873,,,,,,,,,,,,,,,,,,,1393,MGP_SPRETEiJ_G0014311,2,56164663,56166960,-1,RIKEN cDNA A930012O16 gene [Source:MGI Symbol;Acc:MGI:2442255],A930012O16Rik,processed_transcript,MGP_SPRETEiJ_G0024488,2,56166086,56307235,1,"glycerol phosphate dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99778]",Gpd2,protein_coding,874,1772,MGP_PahariEiJ_G0012361,3,43808895,43811172,-1,,,processed_transcript,MGP_PahariEiJ_G0025018,3,43810289,43949899,1,"glycerol phosphate dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99778]",Gpd2,protein_coding,883,1420,MGP_CAROLIEiJ_G0013554,2,52186699,52188978,-1,RIKEN cDNA A930012O16 gene [Source:MGI Symbol;Acc:MGI:2442255],A930012O16Rik,processed_transcript,MGP_CAROLIEiJ_G0023567,2,52188103,52322241,1,glycerol-3-phosphate dehydrogenase 2 [Source:NCBI gene;Acc:110289297],Gpd2,protein_coding,875
2087,ENSMUSG00000086515,2,70333554,70339651,-1,"glutamate rich 2, opposite strand [Source:MGI Symbol;Acc:MGI:3826593]",Erich2os,lncRNA,ENSMUSG00000075302,2,70339163,70371228,1,glutamate rich 2 [Source:MGI Symbol;Acc:MGI:1913998],Erich2,protein_coding,488,,,,,,,,,,,,,,,,,,,1398,MGP_SPRETEiJ_G0003361,2,69959420,69965027,-1,"glutamate rich 2, opposite strand [Source:MGI Symbol;Acc:MGI:3826593]",Erich2os,antisense,MGP_SPRETEiJ_G0024556,2,69964646,69996057,1,glutamate rich 2 [Source:MGI Symbol;Acc:MGI:1913998],Erich2,protein_coding,381,1778,MGP_PahariEiJ_G0003297,3,56541745,56547734,-1,"glutamate rich 2, opposite strand [Source:MGI Symbol;Acc:MGI:3826593]",Erich2os,antisense,MGP_PahariEiJ_G0025086,3,56547353,56581561,1,glutamate rich 2 [Source:NCBI gene;Acc:110317635],Erich2,protein_coding,381,1425,MGP_CAROLIEiJ_G0003199,2,65040172,65045969,-1,"glutamate rich 2, opposite strand [Source:MGI Symbol;Acc:MGI:3826593]",Erich2os,antisense,MGP_CAROLIEiJ_G0023634,2,65045588,65079330,1,glutamate rich 2 [Source:MGI Symbol;Acc:MGI:1913998],Erich2,protein_coding,381
2093,ENSMUSG00000009207,2,74350635,74409779,-1,"lunapark, ER junction formation factor [Source:MGI Symbol;Acc:MGI:1918115]",Lnpk,protein_coding,ENSMUSG00000087205,2,74409420,74414888,1,RIKEN cDNA 4930445N08 gene [Source:MGI Symbol;Acc:MGI:1925372],4930445N08Rik,lncRNA,359,,,,,,,,,,,,,,,,,,,1405,MGP_SPRETEiJ_G0024588,2,74198494,74262671,-1,"lunapark, ER junction formation factor [Source:MGI Symbol;Acc:MGI:1918115]",Lnpk,protein_coding,MGP_SPRETEiJ_G0003372,2,74262310,74267798,1,,,antisense,361,1784,MGP_PahariEiJ_G0025117,3,60556287,60621202,-1,"lunapark, ER junction formation factor [Source:NCBI gene;Acc:110318446]",Lnpk,protein_coding,MGP_PahariEiJ_G0003308,3,60620802,60627394,1,,,antisense,400,1432,MGP_CAROLIEiJ_G0023665,2,69319671,69378361,-1,"lunapark, ER junction formation factor [Source:NCBI gene;Acc:110289423]",Lnpk,protein_coding,MGP_CAROLIEiJ_G0003210,2,69378002,69383348,1,RIKEN cDNA 4930445N08 gene [Source:MGI Symbol;Acc:MGI:1925372],4930445N08Rik,antisense,359
2094,ENSMUSG00000086077,2,74525864,74527709,1,predicted gene 14396 [Source:MGI Symbol;Acc:MGI:3649369],Gm14396,lncRNA,ENSMUSG00000100209,2,74527112,74527930,-1,predicted gene 28793 [Source:MGI Symbol;Acc:MGI:5579499],Gm28793,lncRNA,597,,,,,,,,,,,,,,,,,,,1406,MGP_SPRETEiJ_G0005656,2,74379367,74381222,1,predicted gene 14396 [Source:MGI Symbol;Acc:MGI:3649369],Gm14396,lincRNA,MGP_SPRETEiJ_G0003373,2,74380625,74381455,-1,predicted gene 28793 [Source:MGI Symbol;Acc:MGI:5579499],Gm28793,antisense,597,1785,MGP_PahariEiJ_G0005478,3,60731838,60733743,1,uncharacterized LOC110319233 [Source:NCBI gene;Acc:110319233],Gm14396,lincRNA,MGP_PahariEiJ_G0003309,3,60733131,60733956,-1,predicted gene 28793 [Source:MGI Symbol;Acc:MGI:5579499],Gm28793,antisense,612,1433,MGP_CAROLIEiJ_G0005406,2,69500044,69501905,1,uncharacterized LOC110308539 [Source:NCBI gene;Acc:110308539],Gm14396,lincRNA,MGP_CAROLIEiJ_G0003211,2,69501308,69502124,-1,predicted gene 28793 [Source:MGI Symbol;Acc:MGI:5579499],Gm28793,antisense,597
2121,ENSMUSG00000027244,2,91504963,91540921,-1,autophagy related 13 [Source:MGI Symbol;Acc:MGI:1196429],Atg13,protein_coding,ENSMUSG00000027243,2,91541197,91551890,1,harbinger transposase derived 1 [Source:MGI Symbol;Acc:MGI:2443194],Harbi1,protein_coding,276,,,,,,,,,,,,,,,,,,,1426,MGP_SPRETEiJ_G0024877,2,91415952,91451653,-1,autophagy related 13 [Source:MGI Symbol;Acc:MGI:1196429],Atg13,protein_coding,MGP_SPRETEiJ_G0024878,2,91451928,91466120,1,harbinger transposase derived 1 [Source:MGI Symbol;Acc:MGI:2443194],Harbi1,protein_coding,275,1806,MGP_PahariEiJ_G0025404,3,76820226,76858063,-1,autophagy related 13 [Source:NCBI gene;Acc:110317587],Atg13,protein_coding,MGP_PahariEiJ_G0025405,3,76858339,76872906,1,harbinger transposase derived 1 [Source:NCBI gene;Acc:110318886],Harbi1,protein_coding,276,1452,MGP_CAROLIEiJ_G0023967,2,85792298,85832371,-1,autophagy related 13 [Source:NCBI gene;Acc:110312135],Atg13,protein_coding,MGP_CAROLIEiJ_G0023968,2,85832646,85846837,1,harbinger transposase derived 1 [Source:NCBI gene;Acc:110289323],Harbi1,protein_coding,275
2125,ENSMUSG00000085261,2,92314164,92360164,1,predicted gene 13814 [Source:MGI Symbol;Acc:MGI:3649319],Gm13814,lncRNA,ENSMUSG00000085293,2,92360039,92371325,-1,predicted gene 13817 [Source:MGI Symbol;Acc:MGI:3649315],Gm13817,lncRNA,125,,,,,,,,,,,,,,,,,,,1429,MGP_SPRETEiJ_G0005678,2,92263188,92326606,1,,,lincRNA,MGP_SPRETEiJ_G0005679,2,92326491,92340088,-1,,,lincRNA,115,1809,MGP_PahariEiJ_G0005499,3,77631504,77680471,1,predicted gene 13814 [Source:MGI Symbol;Acc:MGI:3649319],Gm13814,lincRNA,MGP_PahariEiJ_G0005500,3,77680356,77691896,-1,predicted gene 13817 [Source:MGI Symbol;Acc:MGI:3649315],Gm13817,lincRNA,115,1455,MGP_CAROLIEiJ_G0005426,2,86612554,86659392,1,predicted gene 13814 [Source:MGI Symbol;Acc:MGI:3649319],Gm13814,lincRNA,MGP_CAROLIEiJ_G0005427,2,86659277,86670771,-1,predicted gene 13817 [Source:MGI Symbol;Acc:MGI:3649315],Gm13817,lincRNA,115
2136,ENSMUSG00000057147,2,114346897,114485445,-1,diphthamine biosynthesis 6 [Source:MGI Symbol;Acc:MGI:1913882],Dph6,protein_coding,ENSMUSG00000084785,2,114484906,114528320,1,predicted gene 13972 [Source:MGI Symbol;Acc:MGI:3649226],Gm13972,lncRNA,539,,,,,,,,,,,,,,,,,,,1439,MGP_SPRETEiJ_G0025021,2,114585482,114714824,-1,diphthamine biosynthesis 6 [Source:MGI Symbol;Acc:MGI:1913882],Dph6,protein_coding,MGP_SPRETEiJ_G0014347,2,114714285,114760376,1,predicted gene 13972 [Source:MGI Symbol;Acc:MGI:3649226],Gm13972,processed_transcript,539,1820,MGP_PahariEiJ_G0025548,3,98025931,98147659,-1,diphthamine biosynthesis 6 [Source:NCBI gene;Acc:110319199],Dph6,protein_coding,MGP_PahariEiJ_G0012394,3,98147110,98188268,1,predicted gene 13972 [Source:MGI Symbol;Acc:MGI:3649226],Gm13972,processed_transcript,549,1467,MGP_CAROLIEiJ_G0024105,2,107399382,107540599,-1,diphthamine biosynthesis 6 [Source:MGI Symbol;Acc:MGI:1913882],Dph6,protein_coding,MGP_CAROLIEiJ_G0013589,2,107540050,107581125,1,predicted gene 13972 [Source:MGI Symbol;Acc:MGI:3649226],Gm13972,processed_transcript,549
2137,ENSMUSG00000087309,2,115159745,115174761,-1,RIKEN cDNA 4930528P14 gene [Source:MGI Symbol;Acc:MGI:1925443],4930528P14Rik,lncRNA,ENSMUSG00000086197,2,115174866,115177449,1,predicted gene 13976 [Source:MGI Symbol;Acc:MGI:3651280],Gm13976,lncRNA,105,,,,,,,,,,,,,,,,,,,1440,MGP_SPRETEiJ_G0005707,2,115452104,115466999,-1,RIKEN cDNA 4930528P14 gene [Source:MGI Symbol;Acc:MGI:1925443],4930528P14Rik,lincRNA,MGP_SPRETEiJ_G0005708,2,115467104,115469684,1,predicted gene 13976 [Source:MGI Symbol;Acc:MGI:3651280],Gm13976,lincRNA,105,1821,MGP_PahariEiJ_G0005526,3,98826932,98842324,-1,RIKEN cDNA 4930528P14 gene [Source:MGI Symbol;Acc:MGI:1925443],4930528P14Rik,lincRNA,MGP_PahariEiJ_G0005527,3,98842429,98845060,1,predicted gene 13976 [Source:MGI Symbol;Acc:MGI:3651280],Gm13976,lincRNA,105,1468,MGP_CAROLIEiJ_G0005454,2,108207960,108223388,-1,RIKEN cDNA 4930528P14 gene [Source:MGI Symbol;Acc:MGI:1925443],4930528P14Rik,lincRNA,MGP_CAROLIEiJ_G0005455,2,108223497,108226123,1,predicted gene 13976 [Source:MGI Symbol;Acc:MGI:3651280],Gm13976,lincRNA,109
2138,ENSMUSG00000086735,2,115387267,115412036,-1,predicted gene 13977 [Source:MGI Symbol;Acc:MGI:3652169],Gm13977,lncRNA,ENSMUSG00000040282,2,115412197,115609249,1,CDAN1 interacting nuclease 1 [Source:MGI Symbol;Acc:MGI:3026886],Cdin1,protein_coding,161,,,,,,,,,,,,,,,,,,,1441,MGP_SPRETEiJ_G0003397,2,115706425,115741262,-1,,,antisense,MGP_SPRETEiJ_G0025022,2,115741423,115942641,1,cDNA sequence BC052040 [Source:MGI Symbol;Acc:MGI:3026886],Cdin1,protein_coding,161,1822,MGP_PahariEiJ_G0003333,3,99064778,99089642,-1,predicted gene 13977 [Source:MGI Symbol;Acc:MGI:3652169],Gm13977,antisense,MGP_PahariEiJ_G0025549,3,99089803,99287273,1,chromosome 3 C15orf41 homolog [Source:NCBI gene;Acc:110318573],Cdin1,protein_coding,161,1469,MGP_CAROLIEiJ_G0003236,2,108440386,108465106,-1,predicted gene 13977 [Source:MGI Symbol;Acc:MGI:3652169],Gm13977,antisense,MGP_CAROLIEiJ_G0024106,2,108465267,108666849,1,cDNA sequence BC052040 [Source:MGI Symbol;Acc:MGI:3026886],Cdin1,protein_coding,161
2139,ENSMUSG00000086328,2,115896675,115897931,-1,RIKEN cDNA 2700033N17 gene [Source:MGI Symbol;Acc:MGI:1919853],2700033N17Rik,lncRNA,ENSMUSG00000086308,2,115897696,115916393,1,RIKEN cDNA G630016G05 gene [Source:MGI Symbol;Acc:MGI:3603178],G630016G05Rik,lncRNA,235,,,,,,,,,,,,,,,,,,,1442,MGP_SPRETEiJ_G0005710,2,116239942,116241166,-1,RIKEN cDNA 2700033N17 gene [Source:MGI Symbol;Acc:MGI:1919853],,lincRNA,MGP_SPRETEiJ_G0005711,2,116240947,116259725,1,RIKEN cDNA G630016G05 gene [Source:MGI Symbol;Acc:MGI:3603178],G630016G05Rik,lincRNA,219,1823,MGP_PahariEiJ_G0005529,3,99580341,99581566,-1,RIKEN cDNA 2700033N17 gene [Source:MGI Symbol;Acc:MGI:1919853],,lincRNA,MGP_PahariEiJ_G0005530,3,99581347,99600349,1,RIKEN cDNA G630016G05 gene [Source:MGI Symbol;Acc:MGI:3603178],G630016G05Rik,lincRNA,219,1470,MGP_CAROLIEiJ_G0005457,2,108956727,108957959,-1,RIKEN cDNA 2700033N17 gene [Source:MGI Symbol;Acc:MGI:1919853],,lincRNA,MGP_CAROLIEiJ_G0005458,2,108957740,108976463,1,RIKEN cDNA G630016G05 gene [Source:MGI Symbol;Acc:MGI:3603178],G630016G05Rik,lincRNA,219
2149,ENSMUSG00000027286,2,120434719,120440001,-1,leucine rich repeat containing 57 [Source:MGI Symbol;Acc:MGI:1913856],Lrrc57,protein_coding,ENSMUSG00000027285,2,120439864,120452041,1,"HAUS augmin-like complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1913546]",Haus2,protein_coding,137,,,,,,,,,,,,,,,,,,,1451,MGP_SPRETEiJ_G0025087,2,121060805,121066098,-1,leucine rich repeat containing 57 [Source:MGI Symbol;Acc:MGI:1913856],Lrrc57,protein_coding,MGP_SPRETEiJ_G0025088,2,121065961,121081417,1,"HAUS augmin-like complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1913546]",Haus2,protein_coding,137,1833,MGP_PahariEiJ_G0025613,3,104017888,104023450,-1,leucine rich repeat containing 57 [Source:NCBI gene;Acc:110318462],Lrrc57,protein_coding,MGP_PahariEiJ_G0025614,3,104023314,104038796,1,HAUS augmin like complex subunit 2 [Source:NCBI gene;Acc:110318464],Haus2,protein_coding,136,1481,MGP_CAROLIEiJ_G0024171,2,113436446,113441721,-1,leucine rich repeat containing 57 [Source:NCBI gene;Acc:110289775],Lrrc57,protein_coding,MGP_CAROLIEiJ_G0024172,2,113441584,113454804,1,"HAUS augmin-like complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1913546]",Haus2,protein_coding,137
2151,ENSMUSG00000054484,2,120807498,120838333,1,transmembrane protein 62 [Source:MGI Symbol;Acc:MGI:2139461],Tmem62,protein_coding,ENSMUSG00002075710,2,120808132,120808208,-1,"predicted gene, 55820 [Source:MGI Symbol;Acc:MGI:6848106]",Gm55820,miRNA,710,,,,,,,,,,,,,,,,,,,1453,MGP_SPRETEiJ_G0025093,2,121453206,121486651,1,transmembrane protein 62 [Source:MGI Symbol;Acc:MGI:2139461],Tmem62,protein_coding,MGP_SPRETEiJ_G0008136,2,121453840,121453916,-1,"predicted gene, 44325 [Source:MGI Symbol;Acc:MGI:5690717]",Gm55820,miRNA,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,ENSMUSG00000003662,2,127082858,127089736,-1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],Ciao1,protein_coding,ENSMUSG00000034850,2,127089828,127103027,1,transmembrane protein 127 [Source:MGI Symbol;Acc:MGI:1916720],Tmem127,protein_coding,92,,,,,,,,,,,,,,,,,,,1470,MGP_SPRETEiJ_G0025171,2,127904216,127911569,-1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],Ciao1,protein_coding,MGP_SPRETEiJ_G0025172,2,127911857,127926785,1,transmembrane protein 127 [Source:MGI Symbol;Acc:MGI:1916720],Tmem127,protein_coding,288,,,,,,,,,,,,,,,,,,,1497,MGP_CAROLIEiJ_G0024251,2,120070329,120075898,-1,cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998],Ciao1,protein_coding,MGP_CAROLIEiJ_G0024252,2,120075990,120088973,1,transmembrane protein 127 [Source:NCBI gene;Acc:110287240],Tmem127,protein_coding,92
