Gene stable ID,Donkey gene stable ID,Donkey gene name,Donkey homology type,Gene name
ENSECAG00000017099,ENSEASG00005002859,BABAM1,ortholog_one2one,BABAM1
ENSECAG00000017126,ENSEASG00005021686,NPHP4,ortholog_one2one,NPHP4
ENSECAG00000017127,ENSEASG00005010597,CENPO,ortholog_one2one,CENPO
ENSECAG00000017200,ENSEASG00005006697,HDDC3,ortholog_one2one,HDDC3
ENSECAG00000017211,ENSEASG00005016551,ASCC1,ortholog_one2one,ASCC1
ENSECAG00000017251,ENSEASG00005021213,PARK7,ortholog_one2one,PARK7
ENSECAG00000017285,ENSEASG00005014025,UROS,ortholog_one2one,UROS
ENSECAG00000017288,ENSEASG00005016730,CHFR,ortholog_one2one,CHFR
ENSECAG00000017344,ENSEASG00005017713,URGCP,ortholog_one2one,URGCP
ENSECAG00000017355,ENSEASG00005037396,TCTA,ortholog_one2one,TCTA
ENSECAG00000017383,ENSEASG00005019044,BLZF1,ortholog_one2one,BLZF1
ENSECAG00000017469,ENSEASG00005034900,SPC24,ortholog_one2one,SPC24
ENSECAG00000017496,ENSEASG00005006672,TM7SF3,ortholog_one2one,TM7SF3
ENSECAG00000017510,ENSEASG00005007165,PIGU,ortholog_one2one,PIGU
ENSECAG00000017587,ENSEASG00005013996,ZRANB1,ortholog_one2one,ZRANB1
ENSECAG00000017593,ENSEASG00005003977,HMBS,ortholog_one2one,HMBS
ENSECAG00000017624,ENSEASG00005002591,CARF,ortholog_one2one,CARF
ENSECAG00000017754,ENSEASG00005002121,,ortholog_one2one,VPS72
ENSECAG00000017850,ENSEASG00005012293,TAF1D,ortholog_one2one,TAF1D
ENSECAG00000017892,ENSEASG00005030067,,ortholog_one2one,HCST
ENSECAG00000017911,ENSEASG00005000126,PDCD10,ortholog_one2one,PDCD10
ENSECAG00000017957,ENSEASG00005020659,C6orf15,ortholog_one2one,C20H6orf15
ENSECAG00000017994,ENSEASG00005005071,EDC3,ortholog_one2one,EDC3
ENSECAG00000018009,ENSEASG00005017741,POLD2,ortholog_one2one,POLD2
ENSECAG00000018046,ENSEASG00005010225,GRN,ortholog_one2one,GRN
ENSECAG00000018064,ENSEASG00005011214,CCDC82,ortholog_one2one,CCDC82
ENSECAG00000018089,ENSEASG00005002136,ZC4H2,ortholog_one2one,ZC4H2
ENSECAG00000018201,ENSEASG00005015181,PRADC1,ortholog_one2one,PRADC1
ENSECAG00000018273,ENSEASG00005021595,TFPT,ortholog_one2one,TFPT
ENSECAG00000018277,ENSEASG00005028654,MED29,ortholog_one2one,MED29
ENSECAG00000018367,ENSEASG00005006339,ZWILCH,ortholog_one2one,ZWILCH
ENSECAG00000018478,ENSEASG00005004772,,ortholog_one2one,NIFK
ENSECAG00000018492,ENSEASG00005007582,WDR48,ortholog_one2one,WDR48
ENSECAG00000018519,ENSEASG00005014211,FANCD2,ortholog_one2one,FANCD2
ENSECAG00000018545,ENSEASG00005016858,MRPL47,ortholog_one2one,MRPL47
ENSECAG00000018577,ENSEASG00005001698,SLX4IP,ortholog_one2one,SLX4IP
ENSECAG00000018610,ENSEASG00005032766,,ortholog_one2one,
ENSECAG00000018657,ENSEASG00005011244,BSCL2,ortholog_one2one,BSCL2
ENSECAG00000018676,ENSEASG00005018522,RAD52,ortholog_one2one,RAD52
ENSECAG00000018683,ENSEASG00005012749,PCF11,ortholog_one2one,PCF11
ENSECAG00000018712,ENSEASG00005026710,ARHGEF33,ortholog_one2one,ARHGEF33
ENSECAG00000018806,ENSEASG00005002785,INTS7,ortholog_one2one,INTS7
ENSECAG00000018867,ENSEASG00005036218,LINS1,ortholog_one2one,LINS1
ENSECAG00000018884,ENSEASG00005006454,INTS14,ortholog_one2one,INTS14
ENSECAG00000018918,ENSEASG00005018251,TRIP13,ortholog_one2one,TRIP13
ENSECAG00000018957,ENSEASG00005007345,CEBPZ,ortholog_one2one,CEBPZ
ENSECAG00000018966,ENSEASG00005007313,FBXO48,ortholog_one2one,FBXO48
ENSECAG00000019020,ENSEASG00005009991,WDCP,ortholog_one2one,WDCP
ENSECAG00000019051,ENSEASG00005006793,,ortholog_one2one,FYTTD1
ENSECAG00000019056,ENSEASG00005012908,GTF2H1,ortholog_one2one,GTF2H1
ENSECAG00000019106,ENSEASG00005015142,IQCB1,ortholog_one2one,IQCB1
ENSECAG00000019186,ENSEASG00005002779,MED24,ortholog_one2one,MED24
ENSECAG00000019221,ENSEASG00005002065,PRORP,ortholog_one2one,PRORP
ENSECAG00000019258,ENSEASG00005007733,,ortholog_one2one,MRPL21
ENSECAG00000019373,ENSEASG00005000388,GARS1,ortholog_one2one,GARS1
ENSECAG00000019399,ENSEASG00005016371,TGS1,ortholog_one2one,TGS1
ENSECAG00000019428,ENSEASG00005018111,UTP15,ortholog_one2one,UTP15
ENSECAG00000019493,ENSEASG00005032021,USB1,ortholog_one2one,USB1
ENSECAG00000019530,ENSEASG00005019432,KRTCAP2,ortholog_one2one,KRTCAP2
ENSECAG00000019531,ENSEASG00005009948,IFT56,ortholog_one2one,IFT56
ENSECAG00000019551,ENSEASG00005031864,CXCL12,ortholog_one2one,CXCL12
ENSECAG00000019553,ENSEASG00005005053,ENGASE,ortholog_one2one,ENGASE
ENSECAG00000019630,ENSEASG00005008344,DPY30,ortholog_one2one,DPY30
ENSECAG00000019664,ENSEASG00005000266,HID1,ortholog_one2one,HID1
ENSECAG00000019760,ENSEASG00005030853,,ortholog_one2one,SDHAF2
ENSECAG00000019865,ENSEASG00005008780,ZNF277,ortholog_one2one,ZNF277
ENSECAG00000019876,ENSEASG00005033798,ATP23,ortholog_one2one,ATP23
ENSECAG00000019969,ENSEASG00005010620,CCDC142,ortholog_one2one,CCDC142
ENSECAG00000020002,ENSEASG00005013436,DCDC1,ortholog_one2one,DCDC1
ENSECAG00000020012,ENSEASG00005017319,KATNIP,ortholog_one2one,KATNIP
ENSECAG00000020063,ENSEASG00005015804,TDO2,ortholog_one2one,TDO2
ENSECAG00000020085,ENSEASG00005020320,RELL2,ortholog_one2one,RELL2
ENSECAG00000020253,ENSEASG00005022205,RPS7,ortholog_one2one,RPS7
ENSECAG00000020255,ENSEASG00005012419,DIABLO,ortholog_one2one,DIABLO
ENSECAG00000020269,ENSEASG00005004152,XRCC4,ortholog_one2one,XRCC4
ENSECAG00000020293,ENSEASG00005012855,ACD,ortholog_one2one,ACD
ENSECAG00000020387,ENSEASG00005013234,,ortholog_one2one,MRPS18C
ENSECAG00000020441,ENSEASG00005012545,GTF2E1,ortholog_one2one,GTF2E1
ENSECAG00000020496,ENSEASG00005023837,PDZD9,ortholog_one2one,PDZD9
ENSECAG00000020498,ENSEASG00005021772,C1orf174,ortholog_one2one,C2H1orf174
ENSECAG00000020507,ENSEASG00005015159,PDCD11,ortholog_one2one,PDCD11
ENSECAG00000020513,ENSEASG00005021099,CEP89,ortholog_one2one,CEP89
ENSECAG00000020540,ENSEASG00005021775,DFFB,ortholog_one2one,DFFB
ENSECAG00000020575,ENSEASG00005010999,TFG,ortholog_one2one,TFG
ENSECAG00000020584,ENSEASG00005017673,PEMT,ortholog_one2one,PEMT
ENSECAG00000020622,ENSEASG00005001151,NAA60,ortholog_one2one,NAA60
ENSECAG00000020624,ENSEASG00005019110,TSACC,ortholog_one2one,TSACC
ENSECAG00000020658,ENSEASG00005013447,ELP4,ortholog_one2one,ELP4
ENSECAG00000020667,ENSEASG00005021593,PRPF31,ortholog_one2one,PRPF31
ENSECAG00000020674,ENSEASG00005034994,NDUFB3,ortholog_one2one,NDUFB3
ENSECAG00000020695,ENSEASG00005022200,RNASEH1,ortholog_one2one,RNASEH1
ENSECAG00000020724,ENSEASG00005005475,TPR,ortholog_one2one,TPR
ENSECAG00000020767,ENSEASG00005020566,IL7,ortholog_one2one,IL7
ENSECAG00000020851,ENSEASG00005001400,NIF3L1,ortholog_one2one,NIF3L1
ENSECAG00000020900,ENSEASG00005015672,CEP95,ortholog_one2one,CEP95
ENSECAG00000020925,ENSEASG00005014895,TMCO4,ortholog_one2one,TMCO4
ENSECAG00000021039,ENSEASG00005012603,KMT5A,ortholog_one2one,KMT5A
ENSECAG00000021059,ENSEASG00005021554,MED16,ortholog_one2one,MED16
ENSECAG00000021133,ENSEASG00005016434,FDFT1,ortholog_one2one,FDFT1
ENSECAG00000021139,ENSEASG00005033454,,ortholog_one2one,NPFF
ENSECAG00000021247,ENSEASG00005015367,DET1,ortholog_one2one,DET1
ENSECAG00000021260,ENSEASG00005003059,BYSL,ortholog_one2one,BYSL
ENSECAG00000021330,ENSEASG00005018428,HMGCR,ortholog_one2one,HMGCR
ENSECAG00000021347,ENSEASG00005009119,GCKR,ortholog_one2one,GCKR
ENSECAG00000021352,ENSEASG00005021781,CEP104,ortholog_one2one,CEP104
ENSECAG00000021406,ENSEASG00005021309,COG8,ortholog_one2one,COG8
ENSECAG00000021420,ENSEASG00005026477,,ortholog_one2one,
ENSECAG00000021455,ENSEASG00005001129,ADISSP,ortholog_one2one,ADISSP
ENSECAG00000021477,ENSEASG00005005962,NDUFV1,ortholog_one2one,NDUFV1
ENSECAG00000021504,ENSEASG00005012728,SPATA22,ortholog_one2one,SPATA22
ENSECAG00000021514,ENSEASG00005000745,PGAP2,ortholog_one2one,PGAP2
ENSECAG00000021534,ENSEASG00005012733,ASPA,ortholog_one2one,ASPA
ENSECAG00000021620,ENSEASG00005006418,GSS,ortholog_one2one,GSS
ENSECAG00000021657,ENSEASG00005020159,SF3B1,ortholog_one2one,SF3B1
ENSECAG00000021780,ENSEASG00005011766,S100PBP,ortholog_one2one,S100PBP
ENSECAG00000021835,ENSEASG00005001965,CTDP1,ortholog_one2one,CTDP1
ENSECAG00000021880,ENSEASG00005014459,EIF3A,ortholog_one2one,EIF3A
ENSECAG00000021952,ENSEASG00005034276,LRRC63,ortholog_one2one,LRRC63
ENSECAG00000021995,ENSEASG00005025448,M6PR,ortholog_one2one,M6PR
ENSECAG00000022024,ENSEASG00005007455,RBM8A,ortholog_one2one,RBM8A
ENSECAG00000022057,ENSEASG00005003608,BBS9,ortholog_one2one,BBS9
ENSECAG00000022108,ENSEASG00005035885,BORA,ortholog_one2one,BORA
ENSECAG00000022235,ENSEASG00005021148,LZIC,ortholog_one2one,LZIC
ENSECAG00000022265,ENSEASG00005009355,SMC6,ortholog_one2one,SMC6
ENSECAG00000022323,ENSEASG00005009999,PSMC3IP,ortholog_one2one,PSMC3IP
ENSECAG00000022484,ENSEASG00005020657,BRD8,ortholog_one2one,BRD8
ENSECAG00000022485,ENSEASG00005035686,MRPS18B,ortholog_one2one,MRPS18B
ENSECAG00000022654,ENSEASG00005026304,CREBL2,ortholog_one2one,CREBL2
ENSECAG00000022704,ENSEASG00005017058,ECD,ortholog_one2one,ECD
ENSECAG00000022793,ENSEASG00005003628,HECTD3,ortholog_one2one,HECTD3
ENSECAG00000022802,ENSEASG00005001409,CFAP57,ortholog_one2one,CFAP57
ENSECAG00000022922,ENSEASG00005018288,FTO,ortholog_one2one,FTO
ENSECAG00000023042,ENSEASG00005014945,RFT1,ortholog_one2one,RFT1
ENSECAG00000023054,ENSEASG00005023108,CLPP,ortholog_one2one,CLPP
ENSECAG00000023059,ENSEASG00005012543,RABL3,ortholog_one2one,RABL3
ENSECAG00000023071,ENSEASG00005023722,DDIAS,ortholog_one2one,DDIAS
ENSECAG00000023101,ENSEASG00005024242,,ortholog_one2one,TP53I11
ENSECAG00000023171,ENSEASG00005006670,MED21,ortholog_one2one,MED21
ENSECAG00000023179,ENSEASG00005006373,RPL4,ortholog_one2one,RPL4
ENSECAG00000023288,ENSEASG00005004862,RNPS1,ortholog_one2one,RNPS1
ENSECAG00000023310,ENSEASG00005025057,PEX11G,ortholog_one2one,PEX11G
ENSECAG00000023326,ENSEASG00005022646,TMEM175,ortholog_one2one,TMEM175
ENSECAG00000023354,ENSEASG00005011528,DEXI,ortholog_one2one,DEXI
ENSECAG00000023364,ENSEASG00005030495,C17orf49,ortholog_one2one,C17orf49
ENSECAG00000023476,ENSEASG00005011055,,ortholog_one2one,NADSYN1
ENSECAG00000023736,ENSEASG00005005425,CIMAP3,ortholog_one2one,CIMAP3
ENSECAG00000023748,ENSEASG00005021356,NOB1,ortholog_one2one,NOB1
ENSECAG00000023959,ENSEASG00005012773,GTF2H3,ortholog_one2one,GTF2H3
ENSECAG00000023962,ENSEASG00005010254,SF3A1,ortholog_one2one,SF3A1
ENSECAG00000024006,ENSEASG00005017351,NSMCE1,ortholog_one2one,NSMCE1
ENSECAG00000024031,ENSEASG00005005182,KIAA0232,ortholog_one2one,KIAA0232
ENSECAG00000024168,ENSEASG00005010987,TBC1D23,ortholog_one2one,TBC1D23
ENSECAG00000024193,ENSEASG00005003969,ITGB1BP1,ortholog_one2one,ITGB1BP1
ENSECAG00000024211,ENSEASG00005013325,CTNS,ortholog_one2one,CTNS
ENSECAG00000024241,ENSEASG00005017493,,ortholog_one2one,
ENSECAG00000024276,ENSEASG00005003063,TAF8,ortholog_one2one,TAF8
ENSECAG00000024304,ENSEASG00005023539,EIF1AD,ortholog_one2one,EIF1AD
ENSECAG00000024311,ENSEASG00005038018,BANF1,ortholog_one2one,BANF1
ENSECAG00000024362,ENSEASG00005016721,PGAM5,ortholog_one2one,PGAM5
ENSECAG00000024390,ENSEASG00005006557,COPE,ortholog_one2one,COPE
ENSECAG00000024410,ENSEASG00005014193,EMC3,ortholog_one2one,EMC3
ENSECAG00000024439,ENSEASG00005006285,CCNC,ortholog_one2one,CCNC
ENSECAG00000024452,ENSEASG00005015208,HARBI1,ortholog_one2one,HARBI1
ENSECAG00000024506,ENSEASG00005006460,ARMC2,ortholog_one2one,ARMC2
ENSECAG00000024509,ENSEASG00005013246,PMFBP1,ortholog_one2one,PMFBP1
ENSECAG00000024548,ENSEASG00005031545,,ortholog_one2one,POLR3G
ENSECAG00000024596,ENSEASG00005010770,CCP110,ortholog_one2one,CCP110
ENSECAG00000024606,ENSEASG00005015246,ATG13,ortholog_one2one,ATG13
ENSECAG00000024635,ENSEASG00005024439,EMC6,ortholog_one2one,EMC6
ENSECAG00000024638,ENSEASG00005009748,MED23,ortholog_one2one,MED23
ENSECAG00000024720,ENSEASG00005005682,TEPSIN,ortholog_one2one,TEPSIN
ENSECAG00000024819,ENSEASG00005018760,C17orf80,ortholog_one2one,C11H17orf80
ENSECAG00000024998,ENSEASG00005027204,MED31,ortholog_one2one,MED31
ENSECAG00000025009,ENSEASG00005017151,NFKBIL1,ortholog_one2one,NFKBIL1
ENSECAG00000025031,ENSEASG00005006724,PIGX,ortholog_one2one,PIGX
ENSECAG00000025048,ENSEASG00005019460,SKIC3,ortholog_one2one,SKIC3
ENSECAG00000025049,ENSEASG00005017278,EMC4,ortholog_one2one,EMC4
ENSECAG00000025125,ENSEASG00005000720,SAP30BP,ortholog_one2one,SAP30BP
ENSECAG00000025154,ENSEASG00005016052,ADPRM,ortholog_one2one,ADPRM
ENSECAG00000025709,ENSEASG00005004800,SNORD60,ortholog_one2one,
ENSECAG00000025785,ENSEASG00005009863,MIR451A,ortholog_one2one,eca-mir-451
ENSECAG00000025935,ENSEASG00005017067,,ortholog_one2one,
ENSECAG00000026000,ENSEASG00005007142,MIR424,ortholog_one2one,eca-mir-424
ENSECAG00000026262,ENSEASG00005017075,,ortholog_one2one,
ENSECAG00000026274,ENSEASG00005002861,MIR143,ortholog_one2one,eca-mir-143
ENSECAG00000026328,ENSEASG00005002791,MIR142,ortholog_one2one,MIR142
ENSECAG00000026852,ENSEASG00005037597,ZCCHC10,ortholog_one2one,ZCCHC10
ENSECAG00000026861,ENSEASG00005028845,,ortholog_one2one,SMIM7
ENSECAG00000026900,ENSEASG00005010048,CNTD1,ortholog_one2one,CNTD1
ENSECAG00000026901,ENSEASG00005001510,SLC10A7,ortholog_one2one,SLC10A7
ENSECAG00000026981,ENSEASG00005004270,SRRM1,ortholog_one2one,SRRM1
ENSECAG00000027206,ENSEASG00005018592,SNORD123,ortholog_one2one,SNORD123
ENSECAG00000028196,ENSEASG00005015170,,ortholog_one2one,
ENSECAG00000028314,ENSEASG00005033483,ETFRF1,ortholog_one2one,ETFRF1
ENSECAG00000028444,ENSEASG00005030213,,ortholog_one2one,MZT1
ENSECAG00000028530,ENSEASG00005031388,,ortholog_one2one,
ENSECAG00000028550,ENSEASG00005014092,,ortholog_one2one,
ENSECAG00000028695,ENSEASG00005031359,C1orf232,ortholog_one2one,C1orf232
ENSECAG00000029489,ENSEASG00005018249,,ortholog_one2one,eca-mir-9119
ENSECAG00000029686,ENSEASG00005022766,CFAP99,ortholog_one2one,CFAP99
ENSECAG00000029844,ENSEASG00005034316,TSR2,ortholog_one2one,TSR2
ENSECAG00000031647,ENSEASG00005027879,,ortholog_one2one,
ENSECAG00000031682,ENSEASG00005026411,SMIM17,ortholog_one2one,
ENSECAG00000031994,ENSEASG00005026605,ELP5,ortholog_one2one,ELP5
ENSECAG00000032332,ENSEASG00005014402,,ortholog_one2one,
ENSECAG00000032490,ENSEASG00005014188,POLR1G,ortholog_one2one,POLR1G
ENSECAG00000032550,ENSEASG00005025022,,ortholog_one2one,C10H19orf81
ENSECAG00000032711,ENSEASG00005021493,POLRMT,ortholog_one2one,POLRMT
ENSECAG00000032734,ENSEASG00005007092,GTPBP6,ortholog_one2one,GTPBP6
ENSECAG00000032911,ENSEASG00005028714,DKK2,ortholog_one2one,DKK2
ENSECAG00000033173,ENSEASG00005030978,ALKBH4,ortholog_one2one,ALKBH4
ENSECAG00000033638,ENSEASG00005006976,,ortholog_one2one,eca-mir-9056
ENSECAG00000033892,ENSEASG00005034648,,ortholog_one2one,
ENSECAG00000033943,ENSEASG00005025849,,ortholog_one2one,
ENSECAG00000034017,ENSEASG00005034607,FBXL8,ortholog_one2one,FBXL8
ENSECAG00000034333,ENSEASG00005008295,IZUMO2,ortholog_one2one,IZUMO2
ENSECAG00000036148,ENSEASG00005021975,AMH,ortholog_one2one,AMH
ENSECAG00000036457,ENSEASG00005018675,,ortholog_one2one,
ENSECAG00000036783,ENSEASG00005013098,,ortholog_one2one,SVIP
ENSECAG00000037491,ENSEASG00005023646,IL21,ortholog_one2one,IL21
ENSECAG00000037581,ENSEASG00005018826,MIR320A,ortholog_one2one,MIR320A
ENSECAG00000037664,ENSEASG00005024407,,ortholog_one2one,
ENSECAG00000037718,ENSEASG00005001824,,ortholog_one2one,
ENSECAG00000038182,ENSEASG00005004992,GFY,ortholog_one2one,GFY
ENSECAG00000038363,ENSEASG00005008925,MRPL43,ortholog_one2one,MRPL43
ENSECAG00000038425,ENSEASG00005038095,,ortholog_one2one,
ENSECAG00000038528,ENSEASG00005024302,SPATA45,ortholog_one2one,SPATA45
ENSECAG00000038641,ENSEASG00005016315,C6orf47,ortholog_one2one,C20H6orf47
ENSECAG00000038828,ENSEASG00005019237,PCSK1N,ortholog_one2one,PCSK1N
ENSECAG00000039007,ENSEASG00005033329,,ortholog_one2one,
ENSECAG00000039359,ENSEASG00005025190,CYS1,ortholog_one2one,CYS1
ENSECAG00000039947,ENSEASG00005014301,VGLL4,ortholog_one2one,VGLL4
ENSECAG00000039989,ENSEASG00005030162,,ortholog_one2one,METTL26
ENSECAG00000040090,ENSEASG00005009534,,ortholog_one2one,
ENSECAG00000040238,ENSEASG00005003169,RRP36,ortholog_one2one,RRP36
ENSECAG00000040676,ENSEASG00005002169,,ortholog_one2one,
ENSECAG00000040685,ENSEASG00005030223,SMIM2,ortholog_one2one,SMIM2
ENSECAG00000040744,ENSEASG00005001444,,ortholog_one2one,TYROBP
ENSECAG00000041115,ENSEASG00005015927,,ortholog_one2one,
ENSECAG00000042553,ENSEASG00005031546,LY6G5B,ortholog_one2one,
ENSECAG00000043131,ENSEASG00005024399,CCER2,ortholog_one2one,CCER2
ENSECAG00000043192,ENSEASG00005004465,SART1,ortholog_one2one,SART1
ENSECAG00000043412,ENSEASG00005036506,TEKTIP1,ortholog_one2one,TEKTIP1
ENSECAG00000043642,ENSEASG00005027084,NREP,ortholog_one2one,NREP
ENSECAG00000043788,ENSEASG00005003480,C18orf54,ortholog_one2one,C8H18orf54
ENSECAG00000044027,ENSEASG00005006267,,ortholog_one2one,
ENSECAG00000046594,ENSEASG00005006924,DEPP1,ortholog_one2one,DEPP1
ENSECAG00000047094,ENSEASG00005019468,SRD5A3,ortholog_one2one,SRD5A3
ENSECAG00000047265,ENSEASG00005033656,,ortholog_one2one,
ENSECAG00000048122,ENSEASG00005031998,C17orf100,ortholog_one2one,C17orf100
ENSECAG00000049165,ENSEASG00005027171,,ortholog_one2one,
ENSECAG00000050555,ENSEASG00005032837,,ortholog_one2one,
ENSECAG00000050902,ENSEASG00005025157,SHLD3,ortholog_one2one,SHLD3
ENSECAG00000052196,ENSEASG00005010046,,ortholog_one2one,
ENSECAG00000052775,ENSEASG00005023210,ADRM1,ortholog_one2one,ADRM1
ENSECAG00000054197,ENSEASG00005005468,SPMIP8,ortholog_one2one,
ENSECAG00000054598,ENSEASG00005020635,,ortholog_one2one,
ENSECAG00000054629,ENSEASG00005029796,,ortholog_one2one,
ENSECAG00000055205,ENSEASG00005035417,PFDN6,ortholog_one2one,PFDN6
ENSECAG00000056607,ENSEASG00005018369,,ortholog_one2one,
ENSECAG00000057516,ENSEASG00005035883,MRPL57,ortholog_one2one,MRPL57
ENSECAG00000057595,ENSEASG00005027665,IHO1,ortholog_one2one,IHO1
ENSECAG00000058311,ENSEASG00005031559,,ortholog_one2one,
ENSECAG00000058392,ENSEASG00005003195,PIGM,ortholog_one2one,PIGM
ENSECAG00000058483,ENSEASG00005015764,LY6G6F,ortholog_one2one,
ENSECAG00000060027,ENSEASG00005028147,KTI12,ortholog_one2one,KTI12
