Gene stable ID,American bison gene stable ID,American bison gene name,American bison homology type,Gene name
ENSBTAG00000011556,ENSBBBG00000023316,MED22,ortholog_one2one,MED22
ENSBTAG00000011591,ENSBBBG00000021999,KRR1,ortholog_one2one,KRR1
ENSBTAG00000011608,ENSBBBG00000009081,KIAA1191,ortholog_one2one,KIAA1191
ENSBTAG00000011717,ENSBBBG00000021035,SAP30BP,ortholog_one2one,SAP30BP
ENSBTAG00000011732,ENSBBBG00000000329,PGAP3,ortholog_one2one,PGAP3
ENSBTAG00000011814,ENSBBBG00000011595,CENPP,ortholog_one2one,CENPP
ENSBTAG00000011815,ENSBBBG00000006846,SMG9,ortholog_one2one,SMG9
ENSBTAG00000011834,ENSBBBG00000007936,CCDC47,ortholog_one2one,CCDC47
ENSBTAG00000011889,ENSBBBG00000018121,NOC4L,ortholog_one2one,NOC4L
ENSBTAG00000011902,ENSBBBG00000025225,,ortholog_one2one,WASHC1
ENSBTAG00000011937,ENSBBBG00000003034,RITA1,ortholog_one2one,RITA1
ENSBTAG00000011950,ENSBBBG00000016436,EMC1,ortholog_one2one,EMC1
ENSBTAG00000011951,ENSBBBG00000016345,MRTO4,ortholog_one2one,MRTO4
ENSBTAG00000012073,ENSBBBG00000019829,VOPP1,ortholog_one2one,VOPP1
ENSBTAG00000012156,ENSBBBG00000021151,NAIF1,ortholog_one2one,NAIF1
ENSBTAG00000012177,ENSBBBG00000000935,SNRPD2,ortholog_one2one,SNRPD2
ENSBTAG00000012232,ENSBBBG00000020674,CYC1,ortholog_one2one,CYC1
ENSBTAG00000012241,ENSBBBG00000004159,POLD2,ortholog_one2one,POLD2
ENSBTAG00000012267,ENSBBBG00000010740,ZFC3H1,ortholog_one2one,ZFC3H1
ENSBTAG00000012275,ENSBBBG00000003048,ENDOU,ortholog_one2one,ENDOU
ENSBTAG00000012277,ENSBBBG00000011003,,ortholog_one2one,SRRD
ENSBTAG00000012334,ENSBBBG00000012834,FLACC1,ortholog_one2one,FLACC1
ENSBTAG00000012372,ENSBBBG00000004212,TMEM53,ortholog_one2one,TMEM53
ENSBTAG00000012398,ENSBBBG00000024468,APOC3,ortholog_one2one,APOC3
ENSBTAG00000012419,ENSBBBG00000007163,BCL2L15,ortholog_one2one,BCL2L15
ENSBTAG00000012470,ENSBBBG00000013033,SNAPIN,ortholog_one2one,SNAPIN
ENSBTAG00000012501,ENSBBBG00000009307,FTO,ortholog_one2one,FTO
ENSBTAG00000012560,ENSBBBG00000014583,SFTPC,ortholog_one2one,SFTPC
ENSBTAG00000012577,ENSBBBG00000022375,,ortholog_one2one,UVSSA
ENSBTAG00000012595,ENSBBBG00000006940,,ortholog_one2one,RIDA
ENSBTAG00000012607,ENSBBBG00000022760,,ortholog_one2one,NCAPH2
ENSBTAG00000012642,ENSBBBG00000007361,TRADD,ortholog_one2one,TRADD
ENSBTAG00000012658,ENSBBBG00000003389,TMA16,ortholog_one2one,TMA16
ENSBTAG00000012672,ENSBBBG00000003083,ZNHIT3,ortholog_one2one,ZNHIT3
ENSBTAG00000012735,ENSBBBG00000020703,CFAP157,ortholog_one2one,CFAP157
ENSBTAG00000012736,ENSBBBG00000020731,PTRH1,ortholog_one2one,PTRH1
ENSBTAG00000012739,ENSBBBG00000013727,C1QBP,ortholog_one2one,C1QBP
ENSBTAG00000012741,ENSBBBG00000001012,CCPG1,ortholog_one2one,CCPG1
ENSBTAG00000012744,ENSBBBG00000001975,UBE2M,ortholog_one2one,UBE2M
ENSBTAG00000012768,ENSBBBG00000006289,HMGXB3,ortholog_one2one,HMGXB3
ENSBTAG00000012791,ENSBBBG00000012755,GATC,ortholog_one2one,GATC
ENSBTAG00000012936,ENSBBBG00000020053,THYN1,ortholog_one2one,THYN1
ENSBTAG00000013032,ENSBBBG00000013271,CCNDBP1,ortholog_one2one,CCNDBP1
ENSBTAG00000013042,ENSBBBG00000020012,EXOC5,ortholog_one2one,EXOC5
ENSBTAG00000013043,ENSBBBG00000020032,AP5M1,ortholog_one2one,AP5M1
ENSBTAG00000013063,ENSBBBG00000012050,ITGB1BP1,ortholog_one2one,ITGB1BP1
ENSBTAG00000013069,ENSBBBG00000015247,IQCB1,ortholog_one2one,IQCB1
ENSBTAG00000013126,ENSBBBG00000013624,EMG1,ortholog_one2one,EMG1
ENSBTAG00000013168,ENSBBBG00000019682,RPA3,ortholog_one2one,RPA3
ENSBTAG00000013192,ENSBBBG00000010745,CEP19,ortholog_one2one,CEP19
ENSBTAG00000013224,ENSBBBG00000012797,RMND1,ortholog_one2one,RMND1
ENSBTAG00000013236,ENSBBBG00000023105,MED1,ortholog_one2one,MED1
ENSBTAG00000013253,ENSBBBG00000008217,,ortholog_one2one,THAP4
ENSBTAG00000013273,ENSBBBG00000014302,PIGL,ortholog_one2one,PIGL
ENSBTAG00000013277,ENSBBBG00000005225,CCDC22,ortholog_one2one,CCDC22
ENSBTAG00000013283,ENSBBBG00000021600,PRR19,ortholog_one2one,PRR19
ENSBTAG00000013291,ENSBBBG00000015629,ARMC6,ortholog_one2one,ARMC6
ENSBTAG00000013326,ENSBBBG00000002783,ANAPC10,ortholog_one2one,ANAPC10
ENSBTAG00000013413,ENSBBBG00000012907,CCDC51,ortholog_one2one,CCDC51
ENSBTAG00000013538,ENSBBBG00000021542,,ortholog_one2one,PEX14
ENSBTAG00000013812,ENSBBBG00000018249,RO60,ortholog_one2one,RO60
ENSBTAG00000013914,ENSBBBG00000014330,GATB,ortholog_one2one,GATB
ENSBTAG00000013925,ENSBBBG00000008522,KIN,ortholog_one2one,KIN
ENSBTAG00000013927,ENSBBBG00000023812,GSTCD,ortholog_one2one,GSTCD
ENSBTAG00000013930,ENSBBBG00000021081,ATP5F1C,ortholog_one2one,ATP5F1C
ENSBTAG00000013946,ENSBBBG00000023595,PRPF3,ortholog_one2one,PRPF3
ENSBTAG00000013955,ENSBBBG00000004601,TRAPPC9,ortholog_one2one,TRAPPC9
ENSBTAG00000013956,ENSBBBG00000000521,,ortholog_one2one,BCL2L13
ENSBTAG00000013983,ENSBBBG00000014352,ZC2HC1C,ortholog_one2one,ZC2HC1C
ENSBTAG00000014024,ENSBBBG00000002357,POMP,ortholog_one2one,POMP
ENSBTAG00000014044,ENSBBBG00000018251,VEZT,ortholog_one2one,VEZT
ENSBTAG00000014156,ENSBBBG00000019843,AMN1,ortholog_one2one,AMN1
ENSBTAG00000014325,ENSBBBG00000025073,AIRIM,ortholog_one2one,AIRIM
ENSBTAG00000014326,ENSBBBG00000025109,CDCA8,ortholog_one2one,CDCA8
ENSBTAG00000014359,ENSBBBG00000022039,DRAXIN,ortholog_one2one,DRAXIN
ENSBTAG00000014388,ENSBBBG00000012475,EIF3I,ortholog_one2one,EIF3I
ENSBTAG00000014430,ENSBBBG00000008430,CDC26,ortholog_one2one,CDC26
ENSBTAG00000014450,ENSBBBG00000007115,,ortholog_one2one,NOSIP
ENSBTAG00000014520,ENSBBBG00000015037,LIAS,ortholog_one2one,LIAS
ENSBTAG00000014522,ENSBBBG00000015086,SMIM14,ortholog_one2one,SMIM14
ENSBTAG00000014660,ENSBBBG00000007301,WDR53,ortholog_one2one,WDR53
ENSBTAG00000014675,ENSBBBG00000013984,PTCD2,ortholog_one2one,PTCD2
ENSBTAG00000014687,ENSBBBG00000005078,TP53I13,ortholog_one2one,TP53I13
ENSBTAG00000014693,ENSBBBG00000012238,TMEM88,ortholog_one2one,TMEM88
ENSBTAG00000014694,ENSBBBG00000002677,JTB,ortholog_one2one,JTB
ENSBTAG00000014695,ENSBBBG00000012243,NAA38,ortholog_one2one,NAA38
ENSBTAG00000014722,ENSBBBG00000018895,TSTD2,ortholog_one2one,TSTD2
ENSBTAG00000014773,ENSBBBG00000015491,HMMR,ortholog_one2one,HMMR
ENSBTAG00000014790,ENSBBBG00000012799,ZBTB2,ortholog_one2one,ZBTB2
ENSBTAG00000014793,ENSBBBG00000000769,FIRRM,ortholog_one2one,FIRRM
ENSBTAG00000014822,ENSBBBG00000023959,MRPL52,ortholog_one2one,MRPL52
ENSBTAG00000014841,ENSBBBG00000001067,GBA1,ortholog_one2one,GBA1
ENSBTAG00000014877,ENSBBBG00000023400,UNC50,ortholog_one2one,UNC50
ENSBTAG00000014956,ENSBBBG00000024475,JSRP1,ortholog_one2one,JSRP1
ENSBTAG00000015004,ENSBBBG00000022232,TBCB,ortholog_one2one,TBCB
ENSBTAG00000015014,ENSBBBG00000018527,CENPO,ortholog_one2one,CENPO
ENSBTAG00000015032,ENSBBBG00000012180,CD14,ortholog_one2one,CD14
ENSBTAG00000015051,ENSBBBG00000004180,POLRMT,ortholog_one2one,POLRMT
ENSBTAG00000015069,ENSBBBG00000020649,PCNP,ortholog_one2one,PCNP
ENSBTAG00000015075,ENSBBBG00000010645,HSCB,ortholog_one2one,HSCB
ENSBTAG00000015097,ENSBBBG00000014674,,ortholog_one2one,CACFD1
ENSBTAG00000015117,ENSBBBG00000008167,,ortholog_one2one,GADD45GIP1
ENSBTAG00000015140,ENSBBBG00000002187,RUNDC1,ortholog_one2one,RUNDC1
ENSBTAG00000015156,ENSBBBG00000009750,,ortholog_one2one,
ENSBTAG00000015336,ENSBBBG00000000262,PRUNE1,ortholog_one2one,PRUNE1
ENSBTAG00000015339,ENSBBBG00000017557,ENDOV,ortholog_one2one,ENDOV
ENSBTAG00000015346,ENSBBBG00000016147,NASP,ortholog_one2one,NASP
ENSBTAG00000015349,ENSBBBG00000006397,,ortholog_one2one,C3H1orf56
ENSBTAG00000015388,ENSBBBG00000011073,RPL18,ortholog_one2one,RPL18
ENSBTAG00000015403,ENSBBBG00000000805,TPP1,ortholog_one2one,TPP1
ENSBTAG00000015407,ENSBBBG00000007886,IL22,ortholog_one2one,IL22
ENSBTAG00000015432,ENSBBBG00000005124,TMEM231,ortholog_one2one,TMEM231
ENSBTAG00000015529,ENSBBBG00000010930,CHCHD4,ortholog_one2one,CHCHD4
ENSBTAG00000015579,ENSBBBG00000003321,,ortholog_one2one,TMEM160
ENSBTAG00000015591,ENSBBBG00000013370,SQSTM1,ortholog_one2one,SQSTM1
ENSBTAG00000015593,ENSBBBG00000008287,KIAA0753,ortholog_one2one,KIAA0753
ENSBTAG00000015602,ENSBBBG00000013424,,ortholog_one2one,MRNIP
ENSBTAG00000015636,ENSBBBG00000015312,SHFL,ortholog_one2one,SHFL
ENSBTAG00000015659,ENSBBBG00000024771,CIAO1,ortholog_one2one,CIAO1
ENSBTAG00000015667,ENSBBBG00000024788,TMEM127,ortholog_one2one,TMEM127
ENSBTAG00000015719,ENSBBBG00000011263,PIGF,ortholog_one2one,PIGF
ENSBTAG00000015758,ENSBBBG00000001519,USB1,ortholog_one2one,USB1
ENSBTAG00000015778,ENSBBBG00000009285,SASS6,ortholog_one2one,SASS6
ENSBTAG00000015781,ENSBBBG00000009286,TRMT13,ortholog_one2one,TRMT13
ENSBTAG00000015878,ENSBBBG00000012013,RHNO1,ortholog_one2one,RHNO1
ENSBTAG00000015912,ENSBBBG00000023684,DMKN,ortholog_one2one,DMKN
ENSBTAG00000015915,ENSBBBG00000023516,,ortholog_one2one,SBSN
ENSBTAG00000016014,ENSBBBG00000000771,NUP42,ortholog_one2one,NUP42
ENSBTAG00000016017,ENSBBBG00000018281,,ortholog_one2one,CCDC40
ENSBTAG00000016122,ENSBBBG00000020278,PIGT,ortholog_one2one,PIGT
ENSBTAG00000016126,ENSBBBG00000022127,NUP85,ortholog_one2one,NUP85
ENSBTAG00000016202,ENSBBBG00000020886,TREH,ortholog_one2one,TREH
ENSBTAG00000016218,ENSBBBG00000021308,PTGES2,ortholog_one2one,PTGES2
ENSBTAG00000016231,ENSBBBG00000010045,POFUT1,ortholog_one2one,POFUT1
ENSBTAG00000016252,ENSBBBG00000018252,LSM12,ortholog_one2one,LSM12
ENSBTAG00000016266,ENSBBBG00000011615,SDHD,ortholog_one2one,SDHD
ENSBTAG00000016311,ENSBBBG00000007485,EIF2S1,ortholog_one2one,EIF2S1
ENSBTAG00000016316,ENSBBBG00000025075,ZZEF1,ortholog_one2one,ZZEF1
ENSBTAG00000016363,ENSBBBG00000021172,,ortholog_one2one,TFG
ENSBTAG00000016429,ENSBBBG00000017753,,ortholog_one2one,TMEM205
ENSBTAG00000016548,ENSBBBG00000011572,TEX12,ortholog_one2one,TEX12
ENSBTAG00000016725,ENSBBBG00000018246,KIAA1143,ortholog_one2one,KIAA1143
ENSBTAG00000016743,ENSBBBG00000012574,DNTTIP1,ortholog_one2one,DNTTIP1
ENSBTAG00000016900,ENSBBBG00000013812,TRAPPC13,ortholog_one2one,TRAPPC13
ENSBTAG00000016908,ENSBBBG00000013134,METTL1,ortholog_one2one,METTL1
ENSBTAG00000016912,ENSBBBG00000013174,TSFM,ortholog_one2one,TSFM
ENSBTAG00000016969,ENSBBBG00000021131,ORC3,ortholog_one2one,ORC3
ENSBTAG00000017027,ENSBBBG00000016244,MMACHC,ortholog_one2one,MMACHC
ENSBTAG00000017029,ENSBBBG00000008918,CCDC163,ortholog_one2one,CCDC163
ENSBTAG00000017038,ENSBBBG00000011007,,ortholog_one2one,HPS4
ENSBTAG00000017090,ENSBBBG00000001019,SMCR8,ortholog_one2one,SMCR8
ENSBTAG00000017129,ENSBBBG00000009334,CLCC1,ortholog_one2one,CLCC1
ENSBTAG00000017212,ENSBBBG00000009932,HYPK,ortholog_one2one,HYPK
ENSBTAG00000017213,ENSBBBG00000009922,MFAP1,ortholog_one2one,MFAP1
ENSBTAG00000017215,ENSBBBG00000009914,WDR76,ortholog_one2one,WDR76
ENSBTAG00000017355,ENSBBBG00000015250,ERCC1,ortholog_one2one,ERCC1
ENSBTAG00000017371,ENSBBBG00000010596,RELL2,ortholog_one2one,RELL2
ENSBTAG00000017386,ENSBBBG00000009566,C1orf50,ortholog_one2one,C3H1orf50
ENSBTAG00000017407,ENSBBBG00000014691,HSF2BP,ortholog_one2one,HSF2BP
ENSBTAG00000017482,ENSBBBG00000015329,ISYNA1,ortholog_one2one,ISYNA1
ENSBTAG00000017695,ENSBBBG00000013757,,ortholog_one2one,CCDC150
ENSBTAG00000017775,ENSBBBG00000017231,SDCCAG8,ortholog_one2one,SDCCAG8
ENSBTAG00000017794,ENSBBBG00000019721,CCDC153,ortholog_one2one,CCDC153
ENSBTAG00000017835,ENSBBBG00000013233,C5orf63,ortholog_one2one,C7H5orf63
ENSBTAG00000017890,ENSBBBG00000010014,ZMAT5,ortholog_one2one,ZMAT5
ENSBTAG00000017907,ENSBBBG00000006139,COG3,ortholog_one2one,COG3
ENSBTAG00000017921,ENSBBBG00000006040,,ortholog_one2one,NELFA
ENSBTAG00000017932,ENSBBBG00000007630,CENATAC,ortholog_one2one,CENATAC
ENSBTAG00000017964,ENSBBBG00000002448,LRRC51,ortholog_one2one,LRRC51
ENSBTAG00000018025,ENSBBBG00000011126,IQCG,ortholog_one2one,IQCG
ENSBTAG00000018065,ENSBBBG00000002320,YARS1,ortholog_one2one,YARS1
ENSBTAG00000018067,ENSBBBG00000012277,S100PBP,ortholog_one2one,S100PBP
ENSBTAG00000018070,ENSBBBG00000013137,SCNM1,ortholog_one2one,SCNM1
ENSBTAG00000018116,ENSBBBG00000001656,MTFP1,ortholog_one2one,MTFP1
ENSBTAG00000018126,ENSBBBG00000007152,VPS53,ortholog_one2one,VPS53
ENSBTAG00000018142,ENSBBBG00000024611,DTL,ortholog_one2one,DTL
ENSBTAG00000018172,ENSBBBG00000001056,OGFOD3,ortholog_one2one,OGFOD3
ENSBTAG00000018175,ENSBBBG00000001071,HEXD,ortholog_one2one,HEXD
ENSBTAG00000018186,ENSBBBG00000003579,PDXK,ortholog_one2one,PDXK
ENSBTAG00000018207,ENSBBBG00000016215,M6PR,ortholog_one2one,M6PR
ENSBTAG00000018256,ENSBBBG00000019549,SMC6,ortholog_one2one,SMC6
ENSBTAG00000018257,ENSBBBG00000011938,APIP,ortholog_one2one,APIP
ENSBTAG00000018260,ENSBBBG00000005195,MFSD11,ortholog_one2one,MFSD11
ENSBTAG00000018282,ENSBBBG00000012964,NIF3L1,ortholog_one2one,NIF3L1
ENSBTAG00000018314,ENSBBBG00000014179,MED11,ortholog_one2one,MED11
ENSBTAG00000018315,ENSBBBG00000014246,PELP1,ortholog_one2one,PELP1
ENSBTAG00000018363,ENSBBBG00000018046,RBM48,ortholog_one2one,RBM48
ENSBTAG00000018379,ENSBBBG00000022884,TMEM175,ortholog_one2one,TMEM175
ENSBTAG00000018387,ENSBBBG00000005379,EIPR1,ortholog_one2one,EIPR1
ENSBTAG00000018401,ENSBBBG00000016534,APLF,ortholog_one2one,APLF
ENSBTAG00000018417,ENSBBBG00000001566,PSMF1,ortholog_one2one,PSMF1
ENSBTAG00000018483,ENSBBBG00000012284,NDUFS3,ortholog_one2one,NDUFS3
ENSBTAG00000018502,ENSBBBG00000006701,ARMC9,ortholog_one2one,ARMC9
ENSBTAG00000018531,ENSBBBG00000015287,JCHAIN,ortholog_one2one,JCHAIN
ENSBTAG00000018548,ENSBBBG00000024708,INTS7,ortholog_one2one,INTS7
ENSBTAG00000018593,ENSBBBG00000006064,PSENEN,ortholog_one2one,PSENEN
ENSBTAG00000018594,ENSBBBG00000023109,LIN37,ortholog_one2one,LIN37
ENSBTAG00000018599,ENSBBBG00000023086,PROSER3,ortholog_one2one,PROSER3
ENSBTAG00000018613,ENSBBBG00000007305,NOL8,ortholog_one2one,NOL8
ENSBTAG00000018628,ENSBBBG00000001346,,ortholog_one2one,RPL29
ENSBTAG00000018709,ENSBBBG00000009804,CATSPERB,ortholog_one2one,CATSPERB
ENSBTAG00000018715,ENSBBBG00000016185,MPLKIP,ortholog_one2one,MPLKIP
ENSBTAG00000018735,ENSBBBG00000005362,ADISSP,ortholog_one2one,ADISSP
ENSBTAG00000018737,ENSBBBG00000022033,GLMN,ortholog_one2one,GLMN
ENSBTAG00000018739,ENSBBBG00000022008,RPAP2,ortholog_one2one,RPAP2
ENSBTAG00000018745,ENSBBBG00000018938,CEP290,ortholog_one2one,CEP290
ENSBTAG00000018775,ENSBBBG00000009967,TPX2,ortholog_one2one,TPX2
ENSBTAG00000018783,ENSBBBG00000024184,NELFCD,ortholog_one2one,NELFCD
ENSBTAG00000018803,ENSBBBG00000021356,SNF8,ortholog_one2one,SNF8
ENSBTAG00000018823,ENSBBBG00000018992,GRN,ortholog_one2one,GRN
ENSBTAG00000018894,ENSBBBG00000018399,PEX11G,ortholog_one2one,PEX11G
ENSBTAG00000018903,ENSBBBG00000001398,ACD,ortholog_one2one,ACD
ENSBTAG00000018906,ENSBBBG00000001366,C16orf86,ortholog_one2one,C18H16orf86
ENSBTAG00000018918,ENSBBBG00000013435,NDUFAF3,ortholog_one2one,NDUFAF3
ENSBTAG00000019023,ENSBBBG00000018953,NANS,ortholog_one2one,NANS
ENSBTAG00000019025,ENSBBBG00000021309,NDUFA11,ortholog_one2one,NDUFA11
ENSBTAG00000019029,ENSBBBG00000009298,DPH5,ortholog_one2one,DPH5
ENSBTAG00000019053,ENSBBBG00000001178,MAP9,ortholog_one2one,MAP9
ENSBTAG00000019120,ENSBBBG00000004815,WDHD1,ortholog_one2one,WDHD1
ENSBTAG00000019121,ENSBBBG00000002240,IFT122,ortholog_one2one,IFT122
ENSBTAG00000019161,ENSBBBG00000003517,NPRL2,ortholog_one2one,NPRL2
ENSBTAG00000019198,ENSBBBG00000008349,LRRC42,ortholog_one2one,LRRC42
ENSBTAG00000019209,ENSBBBG00000022772,RAD1,ortholog_one2one,RAD1
ENSBTAG00000019211,ENSBBBG00000022789,BRIX1,ortholog_one2one,BRIX1
ENSBTAG00000019231,ENSBBBG00000001643,MAIP1,ortholog_one2one,MAIP1
ENSBTAG00000019281,ENSBBBG00000023218,MCRS1,ortholog_one2one,MCRS1
ENSBTAG00000019358,ENSBBBG00000023813,RNF214,ortholog_one2one,RNF214
ENSBTAG00000019387,ENSBBBG00000014405,NIFK,ortholog_one2one,NIFK
ENSBTAG00000019403,ENSBBBG00000004003,MALSU1,ortholog_one2one,MALSU1
ENSBTAG00000019419,ENSBBBG00000004517,NDUFS7,ortholog_one2one,NDUFS7
ENSBTAG00000019446,ENSBBBG00000001242,ELP5,ortholog_one2one,ELP5
ENSBTAG00000019457,ENSBBBG00000002160,MRPL22,ortholog_one2one,MRPL22
ENSBTAG00000019502,ENSBBBG00000018533,MED4,ortholog_one2one,MED4
ENSBTAG00000019511,ENSBBBG00000018300,CDC123,ortholog_one2one,CDC123
ENSBTAG00000019563,ENSBBBG00000020074,C22orf23,ortholog_one2one,C5H22orf23
ENSBTAG00000019564,ENSBBBG00000006981,SMU1,ortholog_one2one,SMU1
ENSBTAG00000019605,ENSBBBG00000003720,OPA3,ortholog_one2one,OPA3
ENSBTAG00000019718,ENSBBBG00000015779,,ortholog_one2one,RPS15
ENSBTAG00000019777,ENSBBBG00000013314,CDCA3,ortholog_one2one,CDCA3
ENSBTAG00000019830,ENSBBBG00000015963,MRPL46,ortholog_one2one,MRPL46
ENSBTAG00000019836,ENSBBBG00000022943,GSKIP,ortholog_one2one,GSKIP
ENSBTAG00000019846,ENSBBBG00000002149,ALKBH2,ortholog_one2one,ALKBH2
ENSBTAG00000019854,ENSBBBG00000015148,ABCE1,ortholog_one2one,ABCE1
ENSBTAG00000019886,ENSBBBG00000024561,BORA,ortholog_one2one,BORA
ENSBTAG00000019891,ENSBBBG00000015669,MRPL40,ortholog_one2one,MRPL40
ENSBTAG00000019895,ENSBBBG00000024710,PIBF1,ortholog_one2one,PIBF1
ENSBTAG00000019911,ENSBBBG00000011374,COA3,ortholog_one2one,COA3
ENSBTAG00000019912,ENSBBBG00000002078,CNTD1,ortholog_one2one,CNTD1
ENSBTAG00000019952,ENSBBBG00000015823,ARMC8,ortholog_one2one,ARMC8
ENSBTAG00000019972,ENSBBBG00000016643,TEPSIN,ortholog_one2one,TEPSIN
ENSBTAG00000020014,ENSBBBG00000004695,CEP104,ortholog_one2one,CEP104
ENSBTAG00000020015,ENSBBBG00000004707,DFFB,ortholog_one2one,DFFB
ENSBTAG00000020123,ENSBBBG00000008783,AUP1,ortholog_one2one,AUP1
ENSBTAG00000020142,ENSBBBG00000023202,LMBRD2,ortholog_one2one,LMBRD2
ENSBTAG00000020152,ENSBBBG00000007126,PFDN2,ortholog_one2one,PFDN2
ENSBTAG00000020273,ENSBBBG00000003792,YOD1,ortholog_one2one,YOD1
ENSBTAG00000020307,ENSBBBG00000006821,C9orf78,ortholog_one2one,C11H9orf78
ENSBTAG00000020340,ENSBBBG00000003814,ZNF830,ortholog_one2one,ZNF830
ENSBTAG00000020367,ENSBBBG00000005105,SLC30A9,ortholog_one2one,SLC30A9
ENSBTAG00000020371,ENSBBBG00000012526,ACOT8,ortholog_one2one,ACOT8
ENSBTAG00000020421,ENSBBBG00000014234,SUPT16H,ortholog_one2one,SUPT16H
ENSBTAG00000020428,ENSBBBG00000004736,PAF1,ortholog_one2one,PAF1
ENSBTAG00000020429,ENSBBBG00000018763,MED29,ortholog_one2one,MED29
ENSBTAG00000020432,ENSBBBG00000002890,MIS12,ortholog_one2one,MIS12
ENSBTAG00000020475,ENSBBBG00000005610,VIPAS39,ortholog_one2one,VIPAS39
ENSBTAG00000020610,ENSBBBG00000024944,ANKZF1,ortholog_one2one,ANKZF1
ENSBTAG00000020629,ENSBBBG00000015533,UTP18,ortholog_one2one,UTP18
ENSBTAG00000020662,ENSBBBG00000003239,SARNP,ortholog_one2one,SARNP
ENSBTAG00000020720,ENSBBBG00000016183,C1orf35,ortholog_one2one,C7H1orf35
ENSBTAG00000020782,ENSBBBG00000009711,CNOT1,ortholog_one2one,CNOT1
ENSBTAG00000020850,ENSBBBG00000016013,MUL1,ortholog_one2one,MUL1
ENSBTAG00000020883,ENSBBBG00000025311,IL2,ortholog_one2one,IL2
ENSBTAG00000020907,ENSBBBG00000011137,PSMC3IP,ortholog_one2one,PSMC3IP
ENSBTAG00000020994,ENSBBBG00000016016,C17orf75,ortholog_one2one,C19H17orf75
ENSBTAG00000020996,ENSBBBG00000007522,,ortholog_one2one,CLDND1
ENSBTAG00000020999,ENSBBBG00000007213,DDB2,ortholog_one2one,DDB2
ENSBTAG00000021021,ENSBBBG00000010120,C15orf39,ortholog_one2one,C21H15orf39
ENSBTAG00000021102,ENSBBBG00000017563,GALM,ortholog_one2one,GALM
ENSBTAG00000021141,ENSBBBG00000019023,,ortholog_one2one,CD8A
ENSBTAG00000021227,ENSBBBG00000005864,ATP5PD,ortholog_one2one,ATP5PD
ENSBTAG00000021303,ENSBBBG00000000668,RSAD1,ortholog_one2one,RSAD1
ENSBTAG00000021304,ENSBBBG00000007206,TP53BP1,ortholog_one2one,TP53BP1
ENSBTAG00000021319,ENSBBBG00000000312,,ortholog_one2one,MFF
ENSBTAG00000021421,ENSBBBG00000004010,SSR4,ortholog_one2one,SSR4
ENSBTAG00000021449,ENSBBBG00000002883,DCAF13,ortholog_one2one,DCAF13
ENSBTAG00000021485,ENSBBBG00000008854,C1orf54,ortholog_one2one,C3H1orf54
ENSBTAG00000021607,ENSBBBG00000003179,NDUFAF2,ortholog_one2one,NDUFAF2
ENSBTAG00000021633,ENSBBBG00000016156,TDG,ortholog_one2one,TDG
ENSBTAG00000021637,ENSBBBG00000019021,POLR3C,ortholog_one2one,POLR3C
ENSBTAG00000021660,ENSBBBG00000016711,IKBIP,ortholog_one2one,IKBIP
ENSBTAG00000021661,ENSBBBG00000016661,APAF1,ortholog_one2one,APAF1
ENSBTAG00000021671,ENSBBBG00000000768,METTL18,ortholog_one2one,METTL18
ENSBTAG00000021695,ENSBBBG00000015393,,ortholog_one2one,GLYCTK
ENSBTAG00000021720,ENSBBBG00000020427,MRPL27,ortholog_one2one,MRPL27
ENSBTAG00000021796,ENSBBBG00000012482,C12orf43,ortholog_one2one,C17H12orf43
ENSBTAG00000021829,ENSBBBG00000022694,GM2A,ortholog_one2one,GM2A
ENSBTAG00000021931,ENSBBBG00000014332,C17orf49,ortholog_one2one,C19H17orf49
ENSBTAG00000021944,ENSBBBG00000015063,RTRAF,ortholog_one2one,RTRAF
ENSBTAG00000022114,ENSBBBG00000019716,TMEM65,ortholog_one2one,TMEM65
ENSBTAG00000022520,ENSBBBG00000011982,BRCA1,ortholog_one2one,BRCA1
ENSBTAG00000022632,ENSBBBG00000008744,TCTA,ortholog_one2one,TCTA
ENSBTAG00000022986,ENSBBBG00000020452,,ortholog_one2one,TAFA5
ENSBTAG00000023453,ENSBBBG00000008759,ACTMAP,ortholog_one2one,ACTMAP
ENSBTAG00000023632,ENSBBBG00000014921,FBXL8,ortholog_one2one,FBXL8
ENSBTAG00000023814,ENSBBBG00000001574,ECT2,ortholog_one2one,ECT2
ENSBTAG00000023831,ENSBBBG00000012792,ELP4,ortholog_one2one,ELP4
ENSBTAG00000024701,ENSBBBG00000014919,TIMM10,ortholog_one2one,TIMM10
ENSBTAG00000024803,ENSBBBG00000020475,ENDOD1,ortholog_one2one,ENDOD1
ENSBTAG00000025078,ENSBBBG00000003234,LRRC75A,ortholog_one2one,LRRC75A
ENSBTAG00000025149,ENSBBBG00000013756,RPAIN,ortholog_one2one,RPAIN
ENSBTAG00000025233,ENSBBBG00000018301,CBARP,ortholog_one2one,CBARP
ENSBTAG00000025452,ENSBBBG00000024453,SF3A2,ortholog_one2one,SF3A2
ENSBTAG00000025540,ENSBBBG00000020847,ALKBH7,ortholog_one2one,ALKBH7
ENSBTAG00000025632,ENSBBBG00000001628,NOP10,ortholog_one2one,NOP10
ENSBTAG00000025755,ENSBBBG00000006030,RNF212B,ortholog_one2one,RNF212B
ENSBTAG00000025817,ENSBBBG00000015701,,ortholog_one2one,BORCS8
ENSBTAG00000026008,ENSBBBG00000013751,METTL5,ortholog_one2one,METTL5
